TID,ES
TID_BOSS_RACE_INTRO_TEXT,¡Inflige todo el daño que puedas al jefe!
TID_EVENT_POPUP_GMV_LABEL_ALL_VS_ALL,Todos contra todos
TID_BOSS_RACE_1,Epicentro robótico
TID_BOSS_RACE_IN_LEAD,¡Vas en primer lugar!
TID_BOSS_RACE_DOING_GOOD,¡Bien hecho! ¡Sigue así!
TID_BOSS_RACE_DOING_OK,¡Lo estás haciendo genial!
TID_BOSS_RACE_DOING_BAD,¡Hazle más daño al jefe!
TID_SHOP_SCID_SKIN_OFFER_TITLE,¡CONÉCTATE A SUPERCELL ID Y CONSIGUE A <NAME> <c<COLOR>>GRATIS</c>!
TID_SHOP_SCID_SKIN_OFFER_DESC,SUPERCELL ID
TID_SHOP_SCID_SKIN_OFFER_CLAIM,CONECTAR
TID_GAME_MODE_15,ESTRELLA SOLITARIA
TID_GAME_MODE_15_DESC,"Derrota a otros jugadores para obtener estrellas. Cada vez que elimines a un rival, conseguirás una estrella, y podrás tener hasta siete estrellas.\n\nQuien tenga más estrellas cuando el tiempo se acabe ganará el combate."
TID_SOLO_BOUNTY_IN_LEAD,¡Vas en primer lugar!
TID_SOLO_BOUNTY_DOING_GOOD,¡Bien hecho! ¡Sigue así!
TID_SOLO_BOUNTY_DOING_OK,¡Lo estás haciendo genial!
TID_SOLO_BOUNTY_DOING_BAD,¡Necesitas más estrellas!
TID_SANDSTORM_SHORT_DESC,APOYO
TID_SANDSTORM_DESC,Sandy es un brawler adormilado que tiene una conexión especial con la arena. Ataca a los enemigos a pedradas e invoca una tormenta de arena para proteger a los aliados.
TID_SANDSTORM_WEAPON,A PEDRADA LIMPIA
TID_SANDSTORM_WEAPON_DESC,Sandy apedrea a los enemigos con guijarros afiladísimos. ¡Qué dolor!
TID_SANDSTORM_ULTI,TORMENTA DE ARENA
TID_SANDSTORM_ULTI_DESC,Sandy invoca una tormenta de arena que dura <time> segundos y esconde a los brawlers aliados.
TID_STAT_SANDSTORM,Tormenta de arena
TID_SPEC_ABI_SANDSTORM_DOT,ARENA SEPULTADORA
TID_SPEC_ABI_SANDSTORM_DOT_DESC,La tormenta de arena inflige <c00cc00><VALUE1></c> puntos de daño por segundo al enemigo.
TID_SPEC_ABI_SANDSTORM_HOT,MINERALES CURATIVOS
TID_SPEC_ABI_SANDSTORM_HOT_DESC,La tormenta de arena les cura a los brawlers aliados <c00cc00><VALUE1></c> puntos de salud por segundo.
TID_SHOP_SKIN_SALE,OFERTA DE ASPECTO
TID_IAP_B2S_19_PACK_1,¡VUELTA AL COLE!
TID_IAP_B2S_19_PACK_2,¡VUELTA AL COLE!
TID_IAP_B2S_19_PACK_3,¡VUELTA AL COLE!
TID_GENE_PIRATE_SKIN,GENIO PIRATA
TID_GENE_PIRATE_SKIN_SHOP,GENIO\nPIRATA
TID_BARLEY_RED_WIZARD_SKIN,BARLEY MAGO ROJO
TID_BARLEY_RED_WIZARD_SKIN_SHOP,BARLEY MAGO\nROJO
TID_SANDY_SLEEPY_SKIN,SANDY DORMILÓN
TID_SANDY_SLEEPY_SKIN_SHOP,SANDY\nDORMILÓN
TID_BOSS_RACE_2,Jefe mequetrefe
TID_BOSS_RACE_3,Ciudad frenética
TID_BOSS_RACE_4,A ultranza
TID_BOSS_RACE_5,Entrenamiento violento
TID_BOSS_RACE_6,Laberinto serpenteante
TID_BOSS_RACE_7,Enfrentamiento ridículo
TID_SHOP_SKIN_NEW_RELEASE,¡NOVEDAD!
TID_SEASON_END_OFFER,OFERTA DE FINAL DE TEMPORADA
TID_IAP_OCTOBER_OFFER,OFERTA DE OCTUBRE
TID_IAP_MONDAY_OFFER,¡COMIENZA LA SEMANA!
TID_IAP_VERY_SPECIAL_OFFER,OFERTA MUY ESPECIAL
TID_IAP_IKE_ROYALE,IKE ROYALE
TID_IAP_COIN_SHOWER,LLUVIA DE MONEDAS
TID_MUMMY,EMZ
TID_ADDITIONAL_GEM_TOOLTIP_FOR_JAPAN,\n\nGemas compradas: <PAID>\nGemas gratis:<FREE>\nTotal: <TOTAL>
TID_RANK,Puesto: <val>/10
TID_SOLO_BOUNTY_NO_RANK,¡Derrota a otros brawlers para ganar estrellas!
TID_BOSS_RACE_NO_RANK,¡Hazle daño al jefe!
TID_MUMMY_SHORT_DESC,DESTRUCTORA
TID_MUMMY_DESC,"Emz rocía a sus enemigos con laca, que inflige daño durante un tiempo. Su súper ralentiza a los rivales."
TID_MUMMY_WEAPON,AEROSOL
TID_MUMMY_WEAPON_DESC,Emz rocía al enemigo con una laca nociva que tira a los enemigos de espaldas y acaba con ellos.
TID_MUMMY_ULTI,CARISMA CORROSIVO
TID_MUMMY_ULTI_DESC,Emz genera una nube tóxica a su alrededor que ralentiza e inflige daño a los rivales que se encuentren en el área de efecto.
TID_STAT_MUMMY,Emz
TID_SPEC_ABI_TICK_DMG_GROW,KARMA
TID_SPEC_ABI_TICK_DMG_GROW_DESC,Los rivales que permanecen dentro del área de efecto del aerosol de Emz sufren cada vez más daño (<c00cc00><VALUE1> %</c> más por impacto).
TID_SPEC_ABI_HEAL_SUPER_DMG,AUTOBOMBO
TID_SPEC_ABI_HEAL_SUPER_DMG_DESC,Emz recupera <c00cc00><VALUE1></c> puntos de salud por segundo por cada brawler rival que se encuentre dentro del área de efecto de su súper.
TID_FRIEND_ADD_YOUR_ID,Tu ID: <ID>
TID_FRIEND_ADD_BUTTON,AÑADIR\nAMIGO
TID_FRIEND_ADD_BUTTON_SHORT,AÑADIR
TID_FRIEND_ADD_DEFAULT_TEXT,Escribir ID de jugador
TID_FRIEND_ADD_CODE_SENT,Solicitud de amistad enviada
TID_FRIEND_ADD_CODE_INVALID,¡El ID no es válido!
TID_IAP_CYBER_WEEK_19_1,OFERTA DE LA CIBERSEMANA
TID_IAP_CYBER_WEEK_19_2,OFERTA DE LA CIBERSEMANA
TID_IAP_CYBER_WEEK_19_3,OFERTA DE LA CIBERSEMANA
TID_IAP_GSTAR2019_FINALS,LOTE DE FINALES MUNDIALES
TID_IAP_BRAWLOWEEN_19_1,¡ES BRAWL-O-WEEN!
TID_IAP_BRAWLOWEEN_19_2,¿TRUCO O... MONEDAS?
TID_IAP_BRAWLOWEEN_19_3,¡TODOS LOS ASPECTOS!
TID_IAP_ARABIC_19_1,JUEGA EN ÁRABE
TID_IAP_ARABIC_19_2,JUEGA EN ÁRABE
TID_EVENT_MODIFIER_8,JEFE CON RAYOS LÁSER
TID_EVENT_MODIFIER_DESC_8,El jefe dispara rayos láser.
TID_EVENT_MODIFIER_9,JEFE CON RAYOS EN CADENA
TID_EVENT_MODIFIER_DESC_9,El jefe dispara rayos en cadena.
TID_EVENT_MODIFIER_10,JEFE CON COHETES
TID_EVENT_MODIFIER_DESC_10,El jefe dispara cohetes.
TID_STAT_DAMAGE_PER_HALF_SECOND,"Daño cada 0,5 segundos"
TID_FRIENDS_PAGE_BUTTON_INVITE,INVITAR
TID_TEAM_ROOM_CODE,Código del equipo:
TID_TEAM_ROOM_CODE_SHORT,EQUIPO:\n<NUM>
TID_FRIENDS_PAGE_SOCIAL_NETWORKS,REDES SOCIALES
TID_CLAN_TAB_MEMBERS,Miembros (<NUM>/<TOTAL>)
TID_CLAN_TAB_CHAT,Chat
TID_SHELLY_WITCH_SKIN,SHELLY BRUJA
TID_SHELLY_WITCH_SKIN_SHOP,SHELLY\nBRUJA
TID_LEON_WEREWOLF_SKIN,LEON LOBO
TID_LEON_WEREWOLF_SKIN_SHOP,LEON\nLOBO
TID_PIPER_CALAVERA_SKIN,PIPER CATRINA
TID_PIPER_CALAVERA_SKIN_SHOP,PIPER\nCATRINA
TID_FRANK_DJ_SKIN,FRANK DJ
TID_FRANK_DJ_SKIN_SHOP,FRANK\nDJ
TID_JESSIE_DARK_KNIGHT_SKIN,JESSIE MEDIEVAL OSCURA
TID_JESSIE_DARK_KNIGHT_SKIN_SHOP,JESSIE\nMEDIEVAL OSCURA
TID_SKIN_FEATURE_MODEL,— Aspecto de brawler especial
TID_SKIN_FEATURE_PET,— Aspecto de mascota especial
TID_SKIN_FEATURE_TURRET,— Aspecto de torreta especial
TID_SKIN_FEATURE_VFX,— Efectos especiales
TID_SKIN_FEATURE_ANIM,— Animaciones especiales
TID_SKIN_FEATURE_SFX,— Efectos de sonido especiales
TID_SKIN_FEATURE_VOICE,— Voz especial
TID_SKIN_FEATURE_TEXTURE,— Textura especial
TID_SKIN_FEATURE_COLOR,— Colores especiales
TID_HINT_44,"En las partidas de Lucha estelar, se te asignan rivales según los puntos que tengas en la temporada actual de Lucha estelar."
TID_OPTIONAL_OR,O
TID_LONESTAR_01,Pendiente desamparada
TID_LONESTAR_02,A tiro de piedra
TID_LONESTAR_03,Terreno escabroso
TID_LONESTAR_04,Coraje robado
TID_LONESTAR_05,Coliflor
TID_LONESTAR_06,Decisión ardua
TID_LONESTAR_07,Vuelta de tuerca
TID_LONESTAR_08,Encrucijadas
TID_BOSS_RACE_8,Pico petrolero
TID_BOSS_RACE_9,Golpe chiflado
TID_BOSS_RACE_10,Chatarrería
TID_BOSS_RACE_11,Gato encerrado
TID_BOSS_RACE_12,En guardia
TID_BOSS_RACE_13,Callejón caimán
TID_BOSS_RACE_14,Estrechez
TID_CONTACT_US_WELCOME_TEXT,¡Hola!
TID_TEAM_CHAT_POPUP_INVITE,INVITAR
TID_IAPS_NOT_READY,Las ofertas aún no se han cargado. Inténtalo más tarde.
TID_IAP_NOT_FOUND,Producto no encontrado
TID_TEAM_LOG_TAB,REGISTRO DEL EQUIPO
TID_TEAM_LOG_TITLE,REGISTRO DEL EQUIPO
TID_LEON_SALLY_SKIN,LEON SALLY
TID_LEON_SALLY_SKIN_SHOP,LEON\nSALLY
TID_CARL_LEONARD_SKIN,CARL LEONARD
TID_CARL_LEONARD_SKIN_SHOP,CARL\nLEONARD
TID_EL_PRIMO_BROWN_SKIN,EL BROWN
TID_EL_PRIMO_BROWN_SKIN_SHOP,EL BROWN
TID_PLAYER_CTX_SEND_FRIEND_REQUEST,ENVIAR SOLICITUD DE AMISTAD
TID_PLAYER_CTX_PROFILE,PERFIL
TID_PLAYER_CTX_KICK,EXPULSAR
TID_EMOJIS_TITLE,EMOTICONOS
TID_SHOP_OFFER_TITLE_NEW_BRAWLER,NUEVO BRAWLER
TID_SHOP_OFFER_TITLE_NEW_SKIN,NUEVO ASPECTO
TID_SHOP_OFFER_TITLE_NEW_BRAWLER_AND_SKIN,NUEVO BRAWLER Y ASPECTO
TID_SHOP_OFFER_TITLE_BRAWLER_AND_NEW_SKIN,BRAWLER Y NUEVO ASPECTO
TID_SHOP_OFFER_TITLE_BRAWLIDAYS_GIFT,REGALO DE BRAWLIDAD
TID_LONESTAR_09,Distritos distintos
TID_EXTRA_COPYRIGHT,"\nBROWN & FRIENDS, copyright LINE\n"
TID_ESTIMATED_MAINENANCE_TIME,Tiempo estimado: <TIME>
TID_IAP_XMAS_19_0,FELICES FIESTAS
TID_IAP_XMAS_19_1,FELIZ BRAWLIDAD
TID_IAP_XMAS_19_2,FELIZ BRAWLIDAD
TID_IAP_XMAS_19_3,FELIZ BRAWLIDAD
TID_IAP_XMAS_19_4,FELIZ BRAWLIDAD
TID_IAP_COINPACK_11_19,MONEDAS Y MÁS MONEDAS
TID_IAP_NEWYEAR_20,FELIZ AÑO NUEVO
TID_SKIN_INFO_CAMPAIGN_4_NOT_AVAILABLE,Aspecto de BROWN & FRIENDS
TID_HOME_PAGE_PENDING_DONATION,MENSAJE\nIMPORTANTE
TID_SETTINGS_BLOCK_FRIEND_REQUESTS,BLOQUEAR SOLICITUDES DE AMISTAD
TID_SPAWNER_DUDE,SEÑOR P
TID_BEE_SNIPER,BEA
TID_BEE_SNIPER_SHORT_DESC,DESTRUCTORA
TID_BEE_SNIPER_DESC,"Bea es una brawler de lo más avispada. Lanza abejorros robóticos a distancia y, con su súper, invoca un enjambre de abejas enfurecidas."
TID_BEE_SNIPER_WEAPON,PICADURA
TID_BEE_SNIPER_WEAPON_DESC,"Bea lanza un disparo de largo alcance que, al impactar al objetivo, aumenta el daño del siguiente disparo. ¡Que no te pique!"
TID_BEE_SNIPER_ULTI,ENJAMBRE ROBÓTICO
TID_BEE_SNIPER_ULTI_DESC,Bea invoca un enjambre de abejas robóticas que vuelan dando giros. Ralentizan con sus zumbidos a todos los rivales que encuentren.
TID_SPEC_ABI_BEE_SNIPER_1,ABEJA REINA
TID_SPEC_ABI_BEE_SNIPER_1_DESC,Vuelve a cargar el ataque potenciado de Bea automáticamente una vez si no impacta a ningún rival.
TID_SPEC_ABI_BEE_SNIPER_2,PANAL
TID_SPEC_ABI_BEE_SNIPER_2_DESC,Bea recibe un escudo de un <c00cc00><VALUE1> %</c> cuando su ataque está sobrecargado.
TID_SPEEDY,MAX
TID_SPEEDY_SHORT_DESC,APOYO
TID_SPEEDY_DESC,¡Max va como las balas! Ataca con un torrente de disparos y su súper aumenta su velocidad y la de sus aliados.
TID_SPEEDY_WEAPON,TIROTEO VELOZ
TID_SPEEDY_WEAPON_DESC,Dispara un montón de proyectiles a la velocidad de la luz. ¡Tiene mucha munición y recarga su ataque superrápido!
TID_SPEEDY_ULTI,COMO LAS BALAS
TID_SPEEDY_ULTI_DESC,Max acelera por un momento su velocidad de movimiento y la de los aliados dentro del área de efecto. ¡No hay tiempo que perder!
TID_SPEC_ABI_SPEEDY_1,SÚPER CARGADO
TID_SPEC_ABI_SPEEDY_1_DESC,Max carga su súper mientras se desplaza.
TID_SPEC_ABI_SPEEDY_2,¡CORRE Y VUELA!
TID_SPEC_ABI_SPEEDY_2_DESC,Max recarga su ataque más rápido mientras se desplaza.
TID_SPEEDY_ULTI_STAT,Como las balas
TID_QUICK_MESSAGE_CHOOSE_BRAWLER,Juguemos con...
TID_QUICK_MESSAGE_CHOOSE_MODE,Juguemos a...
TID_QUICK_MESSAGE_CHOOSE_FRIENDLY_LOCATION,Juguemos a...
TID_QUICK_MESSAGE_CHANGE_BRAWLERS,¡Cambiemos de brawlers!
TID_QUICK_MESSAGE_GOOD_GAME,¡Buena partida!
TID_QUICK_MESSAGE_PLAY_AGAIN,¿Volvemos a jugar?
TID_QUICK_MESSAGE_WELL_PLAYED,¡Bien jugado!
TID_QUICK_MESSAGE_WOW,¡Guau!
TID_QUICK_MESSAGE_OK,¡Vale!
TID_QUICK_MESSAGE_GOTTA_GO,Me voy. ¡Suerte!
TID_QUICK_MESSAGE_CHANGE_MODE,¡Juguemos a otro modo!
TID_QUICK_MESSAGE_BYE,¡Adiós!
TID_QUICK_MESSAGE_CLOSE_MATCH,¡Por los pelos!
TID_QUICK_MESSAGE_READY,¿Todo listo?
TID_QUICK_MESSAGE_READY_GO,¿Todo listo? ¡A jugar!
TID_QUICK_MESSAGE_HI,¡Hola!
TID_QUICK_MESSAGE_NEED_BREAK,¡Necesito un respiro!
TID_QUICK_MESSAGE_NEED_TO_GO,Me voy. ¡Pasadlo bien!
TID_QUICK_MESSAGE_THANKS,¡Gracias!
TID_QUICK_MESSAGE_SORRY,¡Perdón!
TID_QUICK_MESSAGE_OOPS,Vaya...
TID_QUICK_MESSAGE_SUGGEST_BRAWLER,¿Puedes jugar con <c<COLOR>><NAME></c>?
TID_QUICK_MESSAGE_SUGGEST_STARPOWER,¿Puedes usar la habilidad <c<COLOR>><NAME></c>?
TID_QUICK_MESSAGE_SUGGEST_MODE,¡Juguemos a <c<COLOR>><NAME></c>!
TID_QUICK_MESSAGE_ASK_BRAWLER,¿A qué brawler elijo?
TID_QUICK_MESSAGE_ASK_MODE,¿A qué evento jugamos?
TID_PLAYER_CTX_SUGGEST_BRAWLER_SHORT,SUGERIR
TID_PLAYER_CTX_SUGGEST_CANCEL,CANCELAR SUGERENCIA
TID_SUGGEST_BRAWLER_TITLE_SHORT,SUGERIR UN BRAWLER
TID_SUGGEST_BRAWLER_TITLE,SUGERIR UN BRAWLER A <NAME>
TID_SUGGEST_EVENT_TITLE,SUGERIR EVENTO
TID_SUGGEST_EVENT_BUTTON_SHORT,SUGERIR
TID_SUGGEST_EVENT_BUTTON,SUGERIR EVENTO
TID_EVENT_SUGGESTION_EXPIRED,La sugerencia de este evento ha caducado.
TID_SUGGESTED_BRAWLER_TITLE,SUGERENCIA DE BRAWLER
TID_SUGGESTED_BRAWLER_DESC,¿Quieres usar a <c<COLOR>><NAME></c>?
TID_SUGGESTED_BRAWLER_YES,SÍ
TID_SUGGESTED_BRAWLER_NO,NO
TID_EVENT_SUGGESTION_TITLE,Confirmar evento
TID_EVENT_SUGGESTION_DESC,¿Quieres jugar a este evento?
TID_EVENT_SUGGESTION_YES,SÍ
TID_EVENT_SUGGESTION_NO,NO
TID_CHAT_LETSPLAY_ITEM,Juguemos a
TID_CHAT_SWAP_BRAWLER_ITEM,Brawler sugerido para <NAME>:
TID_CHAT_SWAP_BRAWLER_ITEM_YOU,Brawler sugerido para ti:
TID_MAINTENANCE_DEEP_LINKS_NOT_AVAILABLE,No disponible durante el mantenimiento
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_TITLE,Actualización en curso
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE,Estamos actualizando el juego. ¡Inténtalo de nuevo más tarde!
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_BUTTON,Vale
TID_CONTEXT_MENU_PROFILE,PERFIL
TID_CONTEXT_MENU_SPECTATE,VISIONAR
TID_CONTEXT_MENU_KICK,EXPULSAR
TID_CONTEXT_MENU_SWAP,CAMBIAR EQUIPO
TID_CONTEXT_MENU_REMOVE,ELIMINAR
TID_CONTEXT_MENU_JOIN,UNIRSE AL EQUIPO
TID_CONTEXT_MENU_INVITE,INVITAR AL EQUIPO
TID_CONTEXT_MENU_REPORT,DENUNCIAR
TID_CONTEXT_MENU_SUGGEST_BRAWLER,SUGERIR BRAWLER
TID_CONTEXT_MENU_SUGGEST_STAR_POWER,SUGERIR\nHABILIDAD ESTELAR
TID_CONTEXT_MENU_CLAN_PROMOTE,ASCENDER
TID_CONTEXT_MENU_CLAN_DEMOTE,DEGRADAR
TID_CONTEXT_MENU_CLAN_KICK,EXPULSAR
TID_CONTEXT_MENU_SEE_PLAYING_TEAMS,MOSTRAR EQUIPOS
TID_TEAM_CHAT_TAB_MESSAGE,CHAT
TID_TEAM_CHAT_TAB_LOG,REGISTRO
TID_TEAM_CHAT_TAB_SAY,DI...
TID_TEAM_CHAT_TAB_CHAT,CHAT
TID_BUTTON_NAVI_FRIENDS,AMIGOS
TID_BUTTON_NAVI_CLAN,CLUB
TID_CLAN_POPUP_TITLE,CLUB
TID_CLAN_SEARCH_POPUP_TITLE,BUSCAR CLUBS
TID_CLAN_JOIN_POPUP_TITLE,UNIRSE A UN CLUB
TID_CLAN_POPUP_TAB_CHAT,CHAT
TID_BUTTON_SCID,SUPERCELL ID
TID_BUTTON_NAVI_CHAT,CHAT
TID_BUTTON_NAVI_TEAM,EQUIPO
TID_GAME_MODE_16,ROBO DE TROFEOS
TID_GAME_MODE_16_DESC,Roba los trofeos del equipo rival y tráelos hasta tu base. La partida termina cuando un equipo haya capturado dos trofeos o cuando se termine el tiempo.
TID_CTF_INTRO_TEXT,¡Roba dos trofeos para ganar!
TID_TEAM_CHAT_NOT_AVAILABLE_NO_TEAM,¡Crea primero un equipo para jugar y chatear con amigos!
TID_CTF_2,Laterales
TID_HINT_CTF_STEAL_GIFT,¡Roba el trofeo del equipo rival!
TID_HINT_CTF_BRING_GIFT_BACK,¡Lleva el trofeo a tu base!
TID_CTF_GOAL,¡<name>\nha robado un trofeo!
TID_IAP_XMAS_19_GENERIC,FELIZ BRAWLIDAD
TID_IAP_XMAS_19_GENERIC_2,FELICES FIESTAS
TID_IAP_NEW_YEAR_20,FELIZ AÑO NUEVO
TID_IAP_COINPACK_GENERIC,MONEDAS Y MÁS MONEDAS
TID_GOLDRUSH_35,Tiempo muerto
TID_GOLDRUSH_36,Plataforma esmeralda
TID_GOLDRUSH_37,Tormenta aterradora
TID_GOLDRUSH_38,Escapada ideal
TID_GOLDRUSH_39,Cruce de caminos
TID_GOLDRUSH_40,Botín sin fin
TID_GOLDRUSH_41,Cordillera escarpada
TID_GOLDRUSH_42,Chasis clásico
TID_GOLDRUSH_43,Terreno baldío
TID_GOLDRUSH_44,El dorado
TID_GOLDRUSH_45,Sorpresa secreta
TID_BANKHEIST_19,Bomba va
TID_BANKHEIST_20,Tornado turbulento
TID_BANKHEIST_21,Manos en alto
TID_BANKHEIST_22,Contra viento y marea
TID_BANKHEIST_23,Cueva de bandidos
TID_BANKHEIST_24,Oleaje a ultraje
TID_BANKHEIST_25,Como anillo al dedo
TID_BANKHEIST_26,El robo del siglo
TID_WANTED_18,Sembrar vientos
TID_WANTED_19,Señal de semáforo
TID_WANTED_20,Tierra a la vista
TID_WANTED_21,Efecto dominó
TID_WANTED_22,Espejismo
TID_WANTED_23,Peligro profundo
TID_WANTED_24,Blanco fácil
TID_WANTED_25,Artillería pesada
TID_WANTED_26,Camino de ida
TID_BATTLE_ROYALE_34,Centro seguro
TID_BATTLE_ROYALE_35,Cañón circular
TID_BATTLE_ROYALE_36,Fiesta espinada
TID_BATTLE_ROYALE_37,Punto ciego
TID_BATTLE_ROYALE_38,Caza del tesoro
TID_BATTLE_ROYALE_39,Río abajo
TID_BATTLE_ROYALE_40,Bloques de rocas
TID_BATTLE_ROYALE_41,Punto de vista
TID_BATTLE_ROYALE_42,Balada balística
TID_BATTLE_ROYALE_43,Estacadas estancadas
TID_RICO_CLASSIC_SKIN,RICO CLÁSICO
TID_RICO_CLASSIC_SKIN_SHOP,RICO\nCLÁSICO
TID_RICO_BETA_SKIN,RICOCHET
TID_RICO_BETA_SKIN_SHOP,RICOCHET
TID_COLT_CORSAIR_SKIN,COLT CORSARIO
TID_COLT_CORSAIR_SKIN_SHOP,COLT\nCORSARIO
TID_CARL_CAPTAIN_SKIN,CARL CAPITÁN
TID_CARL_CAPTAIN_SKIN_SHOP,CARL\nCAPITÁN
TID_POCO_PIRATE_SKIN,POCO PIRATA
TID_POCO_PIRATE_SKIN_SHOP,POCO\nPIRATA
TID_BEA_LADYBUG_SKIN,BEA MARIQUITA
TID_BEA_LADYBUG_SKIN_SHOP,BEA\nMARIQUITA
TID_MAX_BLUE_SKIN,MAX GT
TID_MAX_BLUE_SKIN_SHOP,MAX\nGT
TID_CTF_3,Regalos especiales
TID_CTF_4,Atraco navideño
TID_CTF_5,Escapada festiva
TID_CTF_6,Túneles de turrón
TID_CTF_7,Elfos escurridizos
TID_CTF_8,Guirnaldas navideñas
TID_CTF_GOAL_MATCH_OVER,¡<name>\nha robado un trofeo!\n\n¡Fin de la partida!
TID_STAT_DAMAGE_PER_DRONE,Daño por abeja
TID_GOLDRUSH_46,Dos mil lagos
TID_EVENT_MODIFIER_11,INCLINACIÓN
TID_EVENT_MODIFIER_DESC_11,"El suelo se mueve, haciendo que los brawlers vayan más lentos o más rápidos dependiendo de la inclinación."
TID_QUICK_MESSAGE_ASK_BRAWLER_SPLIT,¿A qué brawler elijo?
TID_QUICK_MESSAGE_ASK_MODE_SPLIT,¿A qué evento jugamos?
TID_DRILLER,JACKY
TID_GAME_MODE_17,ZONA RESTRINGIDA
TID_KING_OF_HILL_1,Sector principal
TID_KING_OF_HILL_2,Sector secundario
TID_GAME_MODE_17_DESC,"¡Controla todas las zonas restringidas para conseguir la victoria!\n\nMantente dentro de una zona restringida para ganar puntos. ¡El primer equipo que consiga todos los puntos del mapa ganará la partida! Ambos equipos pueden controlar la misma zona restringida, así que no dejes que el equipo rival se haga con el control. Si se acaba el tiempo, ganará el equipo con un mayor porcentaje de zonas controladas."
TID_KING_OF_HILL_INTRO_TEXT,¡Controla todas las zonas restringidas!
TID_IAP_LNY2020,BRAWL LUNAR
TID_IAP_TGS2020,OFERTA
TID_IAP_VD2020,¡FELIZ SAN VALENTÍN!
TID_IAP_MAR2020,"¡HOLA, MARZO!"
TID_SPAWNER_DUDE_SHORT_DESC,DESTRUCTOR
TID_SPAWNER_DUDE_DESC,El señor P es un botones malhumorado que no tiene reparos en lanzar maletas al enemigo. Su súper invoca a sus colegas robóticos para que vengan en su ayuda.
TID_SPAWNER_DUDE_WEAPON,MALETAS EXTRAVIADAS
TID_SPAWNER_DUDE_WEAPON_DESC,"El señor P lanza una maleta pesada con bastante saña. Cuando la maleta choca contra un obstáculo o llega a su máximo alcance, rebota y aterriza causando una explosión que inflige daño de área."
TID_SPAWNER_DUDE_ULTI,¡BOTONES AL ATAQUE!
TID_SPAWNER_DUDE_ULTI_DESC,El señor P despliega una base de botones robóticos. Estos pingüinescos robots han sido reprogramados para atacar y hostigar a los clientes y rivales más listillos.
TID_SPEC_ABI_SPAWNER_DUDE_1,EXCESO DE EQUIPAJE
TID_SPEC_ABI_SPAWNER_DUDE_1_DESC,"Cada <c00cc00><VALUE1></c> segundos, el daño de la explosión de la siguiente maleta del señor P aumenta en un <c00cc00><VALUE2> %</c>."
TID_SPEC_ABI_SPAWNER_DUDE_2,PUERTA GIRATORIA
TID_SPEC_ABI_SPAWNER_DUDE_2_DESC,Todos los botones robóticos de la base del señor P ahora tienen un <c00cc00><VALUE1> %</c> más de salud y causan un <c00cc00><VALUE2> %</c> más de daño.
TID_HINT_GET_TO_ZONE,¡Entra en una zona restringida!
TID_HERO_INFO_TITLE,ESTADÍSTICAS DEL BRAWLER
TID_HERO_UPGRADE_TITLE,¿MEJORAR BRAWLER?
TID_HERO_INFO_HERO_SPEED,Velocidad de movimiento
TID_HERO_INFO_SPEED_0,MUY LENTA
TID_HERO_INFO_SPEED_1,LENTA
TID_HERO_INFO_SPEED_2,NORMAL
TID_HERO_INFO_SPEED_3,RÁPIDA
TID_HERO_INFO_SPEED_4,MUY RÁPIDA
TID_HERO_INFO_ATTACK_SPEED,Velocidad de recarga
TID_HERO_INFO_ATTACK_RANGE,Alcance
TID_HERO_INFO_ATTACK_DAMAGE,Daño
TID_HERO_INFO_STUN_DURATION,Duración del aturdimiento
TID_HERO_INFO_LONG_DASH_DELAY,Retraso del ataque más largo
TID_HERO_INFO_RANGE_0,CORTO
TID_HERO_INFO_RANGE_1,NORMAL
TID_HERO_INFO_RANGE_2,LARGO
TID_HERO_INFO_RANGE_3,MUY LARGO
TID_HERO_INFO_HEALTH,Salud
TID_HERO_INFO_ATTACK_TYPE,Tipo
TID_HERO_INFO_HEAL,Curación
TID_PROTECT_SCORE_ZONE,¡No dejes que el enemigo entre en las zonas restringidas!
TID_8BIT_VIRUS_SKIN,8-BIT INFECTADO
TID_8BIT_VIRUS_SKIN_SHOP,8-BIT\nINFECTADO
TID_TARA_STREET_NINJA_SKIN,TARA NINJA URBANA
TID_TARA_STREET_NINJA_SKIN_SHOP,TARA\nNINJA URBANA
TID_BIBI_GAMER_SKIN,BIBI HEROICA
TID_BIBI_GAMER_SKIN_SHOP,BIBI\nHEROICA
TID_PIPER_CUPID_SKIN,PIPER CORAZÓN
TID_PIPER_CUPID_SKIN_SHOP,PIPER\nCORAZÓN
TID_NITA_KOALA_SKIN,NITA KOALA
TID_NITA_KOALA_SKIN_SHOP,NITA\nKOALA
TID_MRP_AGENT_SKIN,SEÑOR P AGENTE SECRETO
TID_MRP_AGENT_SKIN_SHOP,SEÑOR P\nAGENTE SECRETO
TID_HERO_INFO_ATTACK_DAMAGE_MULTIPLIER,<AMMO> x <DAMAGE>
TID_HERO_INFO_DURATION,Duración
TID_HERO_INFO_DAMAGE_REDUCTION,Reducción del daño
TID_HERO_INFO_LIFE_STEAL,Curación del daño
TID_SPAWN_BUILDING_HEALTH,Salud de la base
TID_PORTER_HEALTH,Salud de los botones robóticos
