TID,TR
TID_ACCESSORY_CONTROLLER_BOUNCE_BACK,GERİ İADE
TID_ACCESSORY_CONTROLLER_BOUNCE_BACK_DESC,"Nani, sonraki <c00cc00><VALUE2></c> saniye içinde bir düşmandan ilk hasar aldığında, aldığı hasarın <c00cc00>%<VALUE1></c> kadarı düşmana geri döner."
TID_ACCESSORY_TICK_EXPLOSION,SON HÜCUM
TID_ACCESSORY_TICK_EXPLOSION_DESC,"Tick, <c00cc00><VALUE1></c> saniyeliğine <c00cc00>%<VALUE3></c> kalkan kazanır. Kalkan, süresi bittiğinde patlayarak <c00cc00><VALUE2></c> hasar verir."
TID_ACCESSORY_TARA_SHADOWS,GÖLGE DESTEĞİ
TID_ACCESSORY_TARA_SHADOWS_DESC,Tara'nın etrafında üç zayıf gölge belirir. Gölgeler rakiplere saldırır ve <c00cc00><VALUE1></c> saniye sonra yok olur.
TID_ACCESSORY_ICE_DUDE_AREA_FREEZE,DONDURUCU SIVI
TID_ACCESSORY_ICE_DUDE_AREA_FREEZE_DESC,Lou'nun Süper özelliğinin etkilediği rakiplere anında <c00cc00>%<VALUE1></c> donma süresi ekler.
TID_ACCESSORY_ROLLER_MEGA_STUNT,YIKIM
TID_ACCESSORY_ROLLER_MEGA_STUNT_DESC,"Stu, süper özelliğiyle önüne çıkan engelleri yıkar, yıkılan engellerin parçaları ileri saçılır. Her parça, isabet ettiği düşmana <c00cc00><VALUE1></c> hasar verir."
TID_ACCESSORY_RUFFS_AIR_STRIKE,HAVA DESTEĞİ
TID_ACCESSORY_RUFFS_AIR_STRIKE_DESC,Ruffs en yakındaki rakibin konumuna bir hava saldırısı emri verir. Her mermi <c00cc00><VALUE1></c> hasar verir.
TID_ACCESSORY_ENRAGER_PROTECTION,GEÇİCİ KALKAN
TID_ACCESSORY_ENRAGER_PROTECTION_DESC,"Edgar, kendisini sonraki <c00cc00><VALUE1></c> hasardan koruyan bir kalkan çıkarır. Kalkan zaman içinde zayıflar."
TID_ACCESSORY_MINIGUN_DUDE_AMMO_SINK,CEPHANEÇALAR
TID_ACCESSORY_MINIGUN_DUDE_AMMO_SINK_DESC,"Pam, sonraki saldırısının her vuruşunda rakip savaşçının maksimum cephanesini <c00cc00>%<VALUE1></c> azaltır. Pam, cephanenin <c00cc00>%<VALUE2></c> kadarını kendisine alır."
TID_ACCESSORY_SANDSTORM_STUN_SLEEP,TATLI RÜYALAR
TID_ACCESSORY_SANDSTORM_STUN_SLEEP_DESC,"Sandy'nin sonraki saldırısı, rakipleri <c00cc00><VALUE1></c> saniyeliğine uyutur. Hasar alan rakipler hemen uyanır."
TID_ACCESSORY_CACTUS_COVER,YAŞAM BİTKİSİ
TID_ACCESSORY_CACTUS_COVER_DESC,"Spike, takım arkadaşlarını korumak için <c00cc00><VALUE1></c> sağlığa sahip büyük bir kaktüs çıkarır. Kaktüs yok edildiğinde patlar ve yakındaki tüm takım arkadaşları <c00cc00><VALUE2></c> puan iyileşir."
TID_ACCESSORY_BLOWER_STOPPER,KASIRGA
TID_ACCESSORY_BLOWER_STOPPER_DESC,"Gale, yaprak üfleyicisini kullanarak bir kasırga yaratır. Kasırga, geçmeye çalışan tüm rakipleri püskürtür."
TID_ACCESSORY_NINJA_INVISIBLE_AREA,GİZEMLİ LOLİPOP
TID_ACCESSORY_NINJA_INVISIBLE_AREA_DESC,"Leon, takımının içine saklanabileceği bir gizlenme alanı oluşturur. Lolipopun sağlığı zamanla azalır."
TID_ACCESSORY_TRICKSHOT_DUDE_BOUNCE_HEAL,İYİLEŞTİREN ATIŞ
TID_ACCESSORY_TRICKSHOT_DUDE_BOUNCE_HEAL_DESC,"Rico, sonraki saldırısında mermiler her sektiğinde sağlığını <c00cc00><VALUE1></c> puan yeniler."
TID_TRAITS_HEADER,ÖZELLİKLER:
TID_TRAIT_CHARGE_SUPER_FROM_DAMAGE,Bu savaşçının süper özelliği hasar aldıkça dolar.
TID_TRAIT_CHARGE_SUPER_AUTOMATIC,Bu savaşçının süper özelliği zamanla dolar.
TID_TRAIT_CHARGE_SUPER_FROM_DISTANCE,Bu savaşçının süper özelliği rakip savaşçıların yakınında durduğunda dolar.
TID_TRAIT_MOVE_ON_WATER,Bu savaşçı suyun üzerinde yürüyebilir.
TID_SECTION_SHORTCUT_0,ÖZEL
TID_SECTION_SHORTCUT_1,GÜÇ LİGİ
TID_SECTION_SHORTCUT_2,KUPA
TID_SECTION_SHORTCUT_3,TOPLULUK
TID_SECTION_SHORTCUT_4,POWER PLAY
TID_SECTION_SHORTCUT_5,ÖZEL
TID_SECTION_SHORTCUT_6,GÜÇ LİGİ
TID_SECTION_HEADER_0,ÖZEL ETKİNLİKLER
TID_SECTION_HEADER_1,GÜÇ LİGİ
TID_SECTION_HEADER_2,KUPA ETKİNLİKLERİ
TID_SECTION_HEADER_3,HARİTA OLUŞTURUCU
TID_SECTION_HEADER_4,POWER PLAY
TID_SECTION_HEADER_5,ÖZEL ETKİNLİKLER
TID_SECTION_HEADER_6,GÜÇ LİGİ
TID_SECTION_HEADER_OWN,SENİN HARİTALARIN
TID_SECTION_HEADER_CLUB_LEAGUE,KULÜP LİGİ
TID_SECTION_SHORTCUT_CLUB_LEAGUE,KULÜP LİGİ
TID_RANKED2_ROUNDS_HEADER,Savaş Setleri
TID_RANKED2_ROUNDS_INFO,<NUM> savaş kazanan ilk takım maçı alır!
TID_RANKED2_ROUNDS_NEXT_TIMER,<NUM>. turun başlamasına:
TID_RANKED2_ROUNDS_NEXT_TIMER_TIME,<SECONDS>
TID_RONIN_RUFFS_SKIN,SAMURAY RUFFS
TID_RONIN_RUFFS_SKIN_SHOP,SAMURAY\nRUFFS
TID_DARK_LORD_SPIKE_SKIN,KARANLIK LORD SPIKE
TID_DARK_LORD_SPIKE_SKIN_SHOP,KARANLIK LORD\nSPIKE
TID_SPACE_OX_BULL_SKIN,UZAY BOĞASI BULL
TID_SPACE_OX_BULL_SKIN_SHOP,UZAY BOĞASI\nBULL
TID_NAVIGATOR_COLETTE_SKIN,PİLOT COLETTE
TID_NAVIGATOR_COLETTE_SHOP,PİLOT\nCOLETTE
TID_DARK_TIDE_CARL_SKIN,KARANLIK TARAF CARL
TID_DARK_TIDE_CARL_SKIN_SHOP,KARANLIK TARAF\nCARL
TID_SMOOTH_LOU_SKIN,ŞIK LOU
TID_SMOOTH_LOU_SKIN_SHOP,ŞIK\nLOU
TID_D4R-RY1_SKIN,D4R-RY1
TID_D4R-RY1_SKIN_SHOP,D4R-RY1
TID_EMOTE_BUNDLE_LUNARBRAWL21_GIFT,YENİ AY YILI ROZETLERİ
TID_JAN2021MAPS_1,Fetih 2
TID_JAN2021MAPS_2,Kış Partisi
TID_JAN2021MAPS_3,Çılgın Arena
TID_JAN2021MAPS_4,Kırsal Macera
TID_JAN2021MAPS_5,Etrafı Sarılı
TID_JAN2021MAPS_6,Zıplayan Fasulye
TID_JAN2021MAPS_7,Temiz Atış
TID_JAN2021MAPS_8,Hediye Günü
TID_JAN2021MAPS_9,Üç Koldan
TID_JAN2021MAPS_10,Hızlı Yolculuk
TID_JAN2021MAPS_11,Zehirli Topraklar
TID_JAN2021MAPS_12,Riskli Falezler
TID_JAN2021MAPS_13,Su Basmış Ova
TID_JAN2021MAPS_14,Tehlikeli Kanyon
TID_JAN2021MAPS_15,Sevkiyatta Kapışma
TID_JAN2021MAPS_16,Hızlı Yolculuk
TID_JAN2021MAPS_17,Katakulli
TID_JAN2021MAPS_18,Dar Görüş
TID_JAN2021MAPS_19,Merkezi Trafik
TID_JAN2021MAPS_20,Kıvrımlı Saldırı
TID_JAN2021MAPS_21,Robot Ayaklanması
TID_JAN2021MAPS_22,Açık Meydan
TID_JAN2021MAPS_23,Uzay Elmasları
TID_JAN2021MAPS_24,Güzel Hareket
TID_JAN2021MAPS_25,Geçmişe Sünger
TID_JAN2021MAPS_26,Takla
TID_JAN2021MAPS_27,Zor Adam
TID_JAN2021MAPS_28,Ön Libero
TID_JAN2021MAPS_29,Ateşten Çember
TID_JAN2021MAPS_30,Tutulamayan
TID_JAN2021MAPS_31,Hızlı Çatal
TID_JAN2021MAPS_32,Manyetik Alan
TID_JAN2021MAPS_33,Galaksi
TID_ROLLER,STU
TID_ROLLER_SHORT_DESC,SUİKASTÇİ
TID_ROLLER_DESC,Ünlü dublör şoför Stu'nun damarlarında kan yerine benzin akar! Patinaj yaparak lastiklerini yakmadan savaşa katılmaz.
TID_ROLLER_WEAPON,ATEŞ ATIŞ
TID_ROLLER_WEAPON_DESC,"Stu, iyi hasar veren iki alevli atış yapar."
TID_ROLLER_ULTI,NİTRO
TID_ROLLER_ULTI_DESC,"Stu, Ateş Atışla düşmanları vurdukça nitrosunu doldurur. Nitrosu yerde yanmış bir lastik izi bırakır. Ardında bıraktığı izler, üzerlerinden geçen düşmanları tutuşturur."
TID_SPEC_ABI_ROLLER_1,SIFIR SÜRTÜNME
TID_SPEC_ABI_ROLLER_1_DESC,Stu'nun nitrosuyla ilerlediği mesafe <c00cc00>%<VALUE1></c> uzar.
TID_SPEC_ABI_ROLLER_2,GAZ VER
TID_SPEC_ABI_ROLLER_2_DESC,"Stu, nitrosunu kullandığında <c00cc00><VALUE1></c> puan iyileşir."
TID_ACCESSORY_ROLLER_SPEED,HIZ ALANI
TID_ACCESSORY_ROLLER_SPEED_DESC,"Stu, etki alanına giren takım arkadaşlarını ve kendisini hızlandıran bir güçlendirici bırakır."
TID_RANKED2_PICK_NEXT,SONRAKİ
TID_RANKED2_BAN,YASAKLA
TID_RANKED2_BANNED,YASAKLANDI
TID_RANKED2_BAN_QUESTION,YASAKLANSIN MI?
TID_RANKED2_COIN_FLIP_HEADER,Savaşçı seçimine hangi takım başlıyor?
TID_RANKED2_COIN_FLIP_TITLE,YAZI TURA
TID_RANKED2_CON_FLIP_RED,KIRMIZI TAKIM BAŞLIYOR
TID_RANKED2_CON_FLIP_BLUE,MAVİ TAKIM BAŞLIYOR
TID_EVENT_NAME_POWER_LEAGUE,GÜÇ LİGİ
TID_EVENT_LOCATION_POWER_LEAGUE,3'e 3 Etkinlikler
TID_RANKED_SOLO,SOLO
TID_RANKED_TEAM,TAKIM
TID_RANKED_LEADERBOARDS_POPUP_LEADERBOARDS_LABEL,LİDERLİK TABLOLARI
TID_RANKED_LEADERBOARDS_POPUP_TITLE,GÜÇ LİGİ LİDERLİK TABLOLARI
TID_RANKED_LEADERBOARDS_POPUP_INFO,"GÜÇ LİGİ seni bekliyor! Üst sıralara tırman, Brawl Stars'da ne kadar usta olduğunu herkese göster!"
TID_RANKED_LEADERBOARDS_POPUP_CURRENT_SEASON,ŞU ANKİ LİG
TID_RANKED_LEADERBOARDS_POPUP_PREVIOUS_SEASON,ÖNCEKİ LİG
TID_RANKED_LEADERBOARDS_POPUP_SOLO,SOLO
TID_RANKED_LEADERBOARDS_POPUP_TEAM,TAKIM
TID_RANKED_SOLO_MODE,Solo Mod
TID_RANKED_TEAM_MODE,Takım Modu
TID_BATTLE_END_RANKED_RANK_UP_TITLE,GÜÇ LİGİ
TID_BATTLE_END_RANKED_RANK_UP_TITLE_NEW_HIGH,GÜÇ LİGİ: <cFFEF49>YENİ EN YÜKSEK RÜTBE!</c>
TID_BATTLE_END_RANKED_RANK_UP,RÜTBE ATLADIN!
TID_RANKED_EVENT_GAMEMODE_INFO,GÜÇ LİGİ
TID_RANKED_EVENT_LOCATION_INFO,Rastgele Oyun Modu ve Harita
TID_RANKED_EVENT_DESC_1,Kendi takımın veya benzer seviyede diğer oyuncularla 3'e 3 savaşlara katıl.
TID_RANKED_EVENT_DESC_2,İki savaş kazanan ilk takım maçı alır!
TID_RANKED_EVENT_DESC_3,"Oyun modları ve haritalar rastgele ve sık sık değişir, dikkati ol!"
TID_RANKED_EVENT_DESC_4,"Sezon bittiğinde, sezon boyunca ulaştığın en yüksek rütbeye göre ödüller alırsın."
TID_RANKED_CLUB_LEAGUE_EVENT_GAMEMODE_INFO,GÜÇ MAÇI
TID_RANKED_CLUB_LEAGUE_EVENT_LOCATION_INFO,Rastgele oyun modu ve harita
TID_RANKED_CLUB_LEAGUE_EVENT_DESC_1,Bir takımla veya benzer seviyede diğer oyuncularla 3'e 3 savaşlara katıl.
TID_RANKED_CLUB_LEAGUE_EVENT_DESC_2,İki savaş kazanan ilk takım maçı alır!
TID_RANKED_CLUB_LEAGUE_EVENT_DESC_3,"Oyun modları ve haritalar rastgele ve sık sık değişir, dikkati ol!"
TID_RANKED_CLUB_LEAGUE_EVENT_DESC_4,"Hafta sona erdiğinde, kullandığın Bilet sayısına ve Kulübünün sıralamasına göre çeşitli ödüller kazanırsın."
TID_RANKED_EVENT_SEASON_REWARDS_BUTTON,SEZON ÖDÜLLERİ
TID_RANKED_EVENT_SOLO,GÜÇ LİGİ
TID_RANKED_EVENT_TEAMS,GÜÇ LİGİ
TID_RANKED_BUTTON_WARNING_TEAMS,Takım Maçı: Takım olmuş üç oyuncu gerekir
TID_RANKED_BUTTON_WARNING_SOLO,Solo Maç: Sadece tek oyuncu
TID_RANKED_START_MATCH_WARNING_TEXT_SOLO,SOLO maçlar takımla oynanamaz!
TID_RANKED_START_MATCH_WARNING_TEXT_TEAMS,TAKIM maçları üç oyunculu bir takım gerektirir!
TID_CHROMA_CAP_PLAY_WARNING_QUEST,Görev ödülü kroma kredileri
TID_CHROMA_CAP_PLAY_WARNING_CHALLENGE,Mücadele ödülü kroma kredileri
TID_GAME_INTRO_ROUND,<NUM>. TUR
TID_RANKED_LOOKING_FOR_EVENT,Etkinlik Seçiliyor
TID_GACHA_HERO_DROP_NEW_BRAWLER,YENİ SAVAŞÇI!
TID_GACHA_HERO_DROP_NEW_SKIN,YENİ KOSTÜM!
TID_RANKED_SEASON_ENDS_IN,Sezonun bitmesine: <TIME>
TID_RANKED_SEASON_END_POPUP_TITLE,GÜÇ LİGİ SEZONU BİTTİ
TID_RANKED_SEASON_END_POPUP_HIGHEST_RANK,BU SEZON EN YÜKSEK RÜTBE
TID_RANKED_SEASON_END_POPUP_CLAIM,AL
TID_RANKED_SEASON_END_NOTIFICATION,GÜÇ LİGİ SEZON SONU ÖDÜLÜ: <AMOUNT> <cff00ff>yıldız puanı</c> kazandın!
TID_RANKED_SEASON_END_REWARD_DESC,SEZON SONU ÖDÜLÜN
TID_RANKED_MIDSEASON_REWARD_POPUP_TITLE,GÜÇ LİGİ ÖDÜLÜ
TID_RANKED_MIDSEASON_REWARD_POPUP_CLAIM,AL
TID_RANKED_MIDSEASON_REWARD_POPUP_SHOW_OFFER,TEKLİFİ GÖSTER
TID_RANKED_MIDSEASON_NOTIFICATION_RANK,<RANK> RÜTBESİNE ULAŞARAK KAZANDIĞIN GÜÇ LİGİ ÖDÜLÜ
TID_RANKED_MIDSEASON_NOTIFICATION,GÜÇ LİGİ ÖDÜLÜ
TID_RANKED_MIDSEASON_REWARD_NEEDS_BRAWLER,Önce şu savaşçıyı açmalısın: <BRAWLER>
TID_RANKED_REWARD_QUEST_DESC_26,KOSTÜM ALMA SEÇENEĞİ
TID_REWARD_DESC_PURCHASE_OPTION_SKIN,ÖZEL KOSTÜM ALMA SEÇENEĞİ
TID_REWARD_DESC_PURCHASE_OPTION,ÖZEL SATIN ALMA SEÇENEĞİ
TID_REWARD_DESC_PLAYER_ICON,ÖZEL OYUNCU SİMGESİ
TID_RANKED_GOAL_REWARD_NEW,YENİ!
TID_SKIN_INFO_CAMPAIGN_RANKED,Güç ligi kostümü
TID_RANKED_MATCH_VICTORY,ZAFER!
TID_RANKED_BRONZE_I,BRONZ I
TID_RANKED_BRONZE_II,BRONZ II
TID_RANKED_BRONZE_III,BRONZ III
TID_RANKED_SILVER_I,GÜMÜŞ I
TID_RANKED_SILVER_II,GÜMÜŞ II
TID_RANKED_SILVER_III,GÜMÜŞ III
TID_RANKED_GOLD_I,ALTIN I
TID_RANKED_GOLD_II,ALTIN II
TID_RANKED_GOLD_III,ALTIN III
TID_RANKED_DIAMOND_I,ELMAS I
TID_RANKED_DIAMOND_II,ELMAS II
TID_RANKED_DIAMOND_III,ELMAS III
TID_RANKED_MYTHIC_I,GİZEMLİ I
TID_RANKED_MYTHIC_II,GİZEMLİ II
TID_RANKED_MYTHIC_III,GİZEMLİ III
TID_RANKED_LEGENDARY_I,EFSANEVİ I
TID_RANKED_LEGENDARY_II,EFSANEVİ II
TID_RANKED_LEGENDARY_III,EFSANEVİ III
TID_RANKED_MASTERS,USTALAR
TID_RANKED_GOAL_PLAY_MATCHES,BU SEZON <NUM> MAÇ OYNA
TID_RANKED_GOAL_REACH_RANK,BU SEZON <RANK> RÜTBESİNE ULAŞ
TID_RANKED_GOAL_WIN_MATCHES,BU SEZON <NUM> MAÇ KAZAN
TID_RANKED_GOAL_WIN_BATTLES,BU SEZON <NUM> TUR KAZAN
TID_RANKED_GET_READY_TURN,HAZIRLAN!
TID_RANKED_BAN_TURN,<cfcbc21>TAKIM LİDERLERİNİN YASAKLAMA</c> SIRASI
TID_RANKED_YOU_BAN_TURN,<cfcbc21>SAVAŞÇI YASAKLAMA</c> SIRASI
TID_RANKED_OWN_TEAM_PICK_TURN,<c94d7f4><PLAYER> İÇİN SEÇME</c> SIRASI
TID_RANKED_ENEMY_TEAM_PICK_TURN,<cf75252><PLAYER> İÇİN SEÇME</c> SIRASI
TID_RANKED_OWN_PICK_TURN,<cffffff>SENİN SEÇME</c> SIRAN
TID_RANKED_FINAL_TURN,<cffffff>SON HAZIRLIK</c>
TID_ELECTRO_SNIPER,BELLE
TID_ELECTRO_SNIPER_SHORT_DESC,KESKİN NİŞANCI
TID_ELECTRO_SNIPER_DESC,"Çetesindeki herkesin hayranlık duyduğu Belle, elektro tüfeğiyle rakiplerini şoka sokar!"
TID_ELECTRO_SNIPER_WEAPON,ŞOKÇU
TID_ELECTRO_SNIPER_WEAPON_DESC,"Belle, isabet ettiği tüm hedeflere hasar veren uzun menzilli bir Elektro Ok atar. Kısa bir gecikmeden sonra ok, yakındaki bir hedefe sıçrayıp hasar verir ve bir sonraki hedefe sıçrar."
TID_ELECTRO_SNIPER_ULTI,GÖZCÜ
TID_ELECTRO_SNIPER_ULTI_DESC,"Belle, isabet ettiği rakibi işaretleyen bir gözcü atışı yapar. İşaretlenen rakibe herkes daha fazla hasar verir. Aynı anda yalnızca bir hedef işaretlenebilir."
TID_SPEC_ABI_ELECTRO_SNIPER_1,OLUMLU GÖRÜŞ
TID_SPEC_ABI_ELECTRO_SNIPER_1_DESC,"Belle, elektro oku bir hedefe isabet ettiğinde <c00cc00>%<VALUE1></c> kalkan kazanır."
TID_SPEC_ABI_ELECTRO_SNIPER_2,CEZALISIN
TID_SPEC_ABI_ELECTRO_SNIPER_2_DESC,"Belle'in süper saldırısıyla işaretlenen hedef, <c00cc00><VALUE2></c> saniye boyunca silahını/saldırısını dolduramaz."
TID_ACCESSORY_ELECTRO_SNIPER_TRAP,ZULA
TID_ACCESSORY_ELECTRO_SNIPER_TRAP_DESC,"Belle, rakipler tarafından tetiklendiğinde patlayan bir tuzak yerleştirir. Tuzak <c00cc00><VALUE1></c> hasar verir ve patlama alanındaki herkesi <c00cc00><VALUE2></c> saniyeliğine yavaşlatır."
TID_STICKY_BOMB,SQUEAK
TID_STICKY_BOMB_SHORT_DESC,GÖZETMEN
TID_STICKY_BOMB_DESC,"Colonel Ruffs'ın kazara oluşturduğu Squeak, yakalayıp getirme konusunda çok yetenekli!"
TID_STICKY_BOMB_WEAPON,YAPIŞKAN BOMBA
TID_STICKY_BOMB_WEAPON_DESC,"Squeak'in dengesiz yapışkan kütleleri, geniş bir alana yayılacak şekilde patlar. İsabet ettiği tüm rakiplere yapışır."
TID_STICKY_BOMB_ULTI,BÜYÜK KÜTLE
TID_STICKY_BOMB_ULTI_DESC,"Squeak, patlayan koca bir kütle fırlatır! Bu büyük yapışkan madde patladığında, etrafa toplam altı küçük yapışkan bomba saçar."
TID_SPEC_ABI_STICKY_BOMB_1,ZİNCİRLEME REAKSİYON
TID_SPEC_ABI_STICKY_BOMB_1_DESC,"Yapışkan bomba patlamasının menzilinde bulunan her rakip, bombanın hasarını <c00cc00>%<VALUE1></c> artırır."
TID_SPEC_ABI_STICKY_BOMB_2,SÜPER YAPIŞKAN
TID_SPEC_ABI_STICKY_BOMB_2_DESC,Squeak'in süper saldırısındaki küçük yapışkan bombalar rakipleri <c00cc00><VALUE2></c> saniyeliğine yavaşlatır.
TID_ACCESSORY_STICKY_BOMB_RANGE,GERİLME
TID_ACCESSORY_STICKY_BOMB_RANGE_DESC,Squeak'in bir sonraki yapışkan bombası <c00cc00>%<VALUE1></c> daha uzun menzilde <c00cc00>%<VALUE2></c> daha fazla hasar verir.
TID_RANKED2_CONFIRM_QUESTION,SEÇİLSİN Mİ?
TID_RANKED_PICK_ERROR_BRAWLER_NOT_OWNED,Bu savaşçı sende yok!
TID_RANKED_PICK_ERROR_BRAWLER_BANNED,"Bu savaşçı yasaklandı, başka seç!"
TID_RANKED_PICK_ERROR_BRAWLER_PICKED,"Bu savaşçı zaten seçildi, başka seç!"
TID_RANKED_PICK_ERROR_BRAWLER_UNRELEASED,Bu savaşçı henüz Güç Liginde kullanılamıyor. Başkasını seç!
TID_RANKED_PICK_ERROR_BRAWLER_UNRELEASED_CLUB_LEAGUE,Bu savaşçı henüz güç maçlarında kullanılamıyor. Başka bir savaşçı seç!
TID_RANKED_ERROR_BRAWLER_BLACKLISTED,"Bu savaşçı, turnuva organizatörü tarafından devre dışı bırakıldı."
TID_RANKED_HERO_POWER,GÜÇ <NUM>
TID_RANKED_REWARD_POPUP_SEASON,<SEASON>. SEZON
TID_RANKED_REWARDS_TOOL_TIP,GÜÇ LİGİ iki 3'e 3 mod içerir:\n\n- Solo modda sana yakın lig seviyesinde iki rastgele oyuncuyla takım olursun.\n\n- Takım modunda önce takımını kurup öyle savaşa başlarsın.\n\nGÜÇ LİGİ ödüllerin bu iki modda ulaştığın en yüksek rütbeye göre belirlenir.
TID_BUTTON_LEADERBOARDS,LİDERLİK TABLOLARI
TID_MSG_RANKED_ELO_DECAYED,GÜÇ LİGİ <SEASON_ID> sezonunda <RANKED_MODE> özelliğinde <INACTIVE_DAYS> gündür aktif olmadığından puanın azaldı. Puanını korumak için oynamaya devam etmelisin!
TID_CHALLENGE_SKIN_PRIZE,<NUM> ELMASLIK KOSTÜM
TID_CHALLENGE_HERO_PRIZE,<NUM> ELMASLIK SAVAŞÇI
TID_CHALLENGE_SKIN_PRIZE_TITLE,Mücadele\nTamamlama Ödülü
TID_RANKED_GOAL_REWARD_PROFILE_PICTURE,ÖZEL OYUNCU SİMGESİ
TID_BIBILANTE_SKIN,BEKÇİ BİBİ
TID_BIBILANTE_SKIN_SHOP,BEKÇİ BİBİ
TID_SMUGGLER_PENNY_SKIN,KAÇAKÇI PENNY
TID_SMUGGLER_PENNY_SKIN_SHOP,KAÇAKÇI\nPENNY
TID_SUPERSTAR_STU_SKIN,SÜPERSTAR STU
TID_SUPERSTAR_STU_SKIN_SHOP,SÜPERSTAR\nSTU
TID_PSG_MIKE_SKIN,PSG MIKE
TID_PSG_MIKE_SKIN_SHOP,PSG MIKE
TID_ATT_PREPROMPT_TITLE,FACEBOOK GİRİŞİ GÜNCELLEMESİ
TID_ATT_PREPROMPT_TEXT,"Facebook sosyal özellikleri, \qBrawl Stars\q'ın verilerinizi Facebook ile paylaşmasını gerektirir. Facebook bu verileri, reklamcılık ve izleme dahil olmak üzere kendi amaçları için kullanır.\n\nİzin ver - Verilerinizi Facebook ile paylaşmak ve Facebook sosyal özelliklerini etkinleştirmek istiyorsanız izin verin.\n\nUygulamanın takip etmemesini iste - Verilerinizi Facebook ile paylaşmak istemiyorsanız bunu seçin. Bu seçeneği tercih ettiğinizde Facebook sosyal özellikleri \qBrawl Stars\q'dan kaldırılır. Gizliliği koruyan sosyal özellikler için Supercell ID'ye göz atın."
TID_ATT_PREPROMPT_BUTTON,DEVAM ET
TID_RANKED_SP_REWARD_TRACK_OVERLAY,Güç ligi sezon sonu ödülü olarak bunu almak için <RANK> rütbesine ulaşmalısın!
TID_RANKED_SP_REWARD_TRACK_OVERLAY_CURRENT,Şu anda güç ligi sezon sonu ödülün bu.
TID_RANKED_PARTICIPATION_REWARD_TRACK_OVERLAY,Bu ödülü açmak için bu sezon <NUM> maç yapmalısın.
TID_RANKED_MILESTONE_REWARD_TRACK_OVERLAY,Bu ödülü açmak için bu sezon <RANK> rütbesine ulaşmalısın.
TID_CHALLENGE_BUY_LIVES_REMAINING,Kalan satın alma hakkı: <NUM>
TID_RANKED_TEAM_SELECT_ERROR_BAN_NOT_LEADER,Yalnızca takım liderleri savaşçı yasaklayabilir.
TID_RANKED_TEAM_SELECT_ERROR_BAN_ALREADY_DONE,Yasaklayacağın savaşçıyı zaten seçtin.
TID_RANKED_TEAM_SELECT_ERROR_PICK_ALREADY_DONE,Savaşçını zaten seçtin.
TID_RANKED_TEAM_SELECT_ERROR_PICK_NOT_YOUR_TURN,Seçme sırası sende değil.
TID_RANKED_TEAM_SELECT_ERROR_BAN_NOT_BANNING,Şu anda yasaklama sırası değil.
TID_RANKED_TEAM_SELECT_ERROR_BAN_GENERIC,"Yasaklanamadı (<CODE>), tekrar dene!"
TID_RANKED_TEAM_SELECT_ERROR_BAN_NOT_IN_TEAM,"Yasaklanamadı (<CODE>), tekrar dene!"
TID_RANKED_TEAM_SELECT_ERROR_BAN_INVALID_INPUT,"Yasaklanamadı (<CODE>), tekrar dene!"
TID_RANKED_TEAM_SELECT_ERROR_GENERIC_1,"Yasaklanamadı (<CODE>), tekrar dene!"
TID_RANKED_TEAM_SELECT_ERROR_GENERIC_2,"Yasaklanamadı (<CODE>), tekrar dene!"
TID_RANKED_TEAM_SELECT_ERROR_PICK_GENERIC,"Savaşçı seçilemedi (<CODE>), tekrar dene!"
TID_RANKED_TEAM_SELECT_ERROR_NOT_OWNED,"Bu savaşçı sende yok, başka seçmeyi dene!"
TID_RANKED_TEAM_SELECT_ERROR_PICK_GENERIC_1,"Savaşçı seçilemedi (<CODE>), tekrar dene!"
TID_RANKED_TEAM_SELECT_ERROR_PICK_GENERIC_2,"Savaşçı seçilemedi (<CODE>), tekrar dene!"
TID_MSG_RANKED_SEASON_END,Tebrikler! GÜÇ LİGİ <SEASON_ID> sezonunda <RANK> rütbesine ulaştın.
TID_MATCHMAKE_FAILED_20,Eşleştirilemedi: Bekleme süresi devam ediyor. Daha sonra tekrar dene.
TID_MATCHMAKE_FAILED_21,Eşleştirilemedi: Hareketsiz geçen süre veya maç sırasında bağlantı kesintisi nedeniyle bekleme süresi devam ediyor.
TID_RANKED_MATCH_TERMINATED_REASON_GENERIC,Maç sonlandırıldı (<CODE>). Tekrar dene.
TID_RANKED_MATCH_TERMINATED_REASON_1,Maç sonlandırıldı: <NAME> bağlantısını kaybetti.
TID_RANKED_MATCH_TERMINATED_REASON_2,Maç sonlandırıldı: <NAME> yanıt vermiyor.
TID_RANKED_MATCH_TERMINATED_REASON_3,Maç sonlandırıldı: Sezon bitti
TID_RANKED_MATCH_TERMINATED_REASON_4,Maç sonlandırıldı (<CODE>). Tekrar dene.
TID_RANKED_MATCH_TERMINATED_REASON_5,Maç sonlandırıldı: Maç çok uzun sürdü.
TID_RANKED_MATCH_TERMINATED_REASON_6,Maç sonlandırıldı: Savaş çok uzun sürdü.
TID_RANKED_GOAL_REWARD_PURCHASE_OPTION_SKIN,ÖZEL KOSTÜM ALMA SEÇENEĞİ
TID_RANKED_MATCH_TERMINATED_NAME_PLAYER,bir oyuncu
TID_RANKED2_CONFIRM_PICKED,SEÇİLDİ
TID_ATT_NOT_GIVEN_PRINT,Gizlilik tercihiniz sebebiyle Facebook sosyal özellikleri devre dışı bırakıldı.
