"TID","UK"
"TID_ACCESSORY_WEAPON_THROWER_GADGET_2","ІМПУЛЬСНІ ВІДШТОВХУВАЧІ"
"TID_ACCESSORY_WEAPON_THROWER_GADGET_2_DESC","Після приземлення наступні встановлені Семом рукавиці-пастки випускають електричний імпульс, який відштовхує противників."
"TID_ACCESSORY_BLOCKED_MISSING_GAUNTLETS","Рукавиці-пастки не на землі!"
"TID_ACCESSORY_BLOCKED_GAUNTLETS_TOO_FAR","Рукавиці-пастки занадто далеко!"
"TID_ACCESSORY_BLOCKED_GAUNTLETS_REQUIRED","Потрібні рукавиці-пастки!"
"TID_SOUL_COLLECTOR","ГАС"
"TID_SOUL_COLLECTOR_SHORT_DESC","Підсилюй союзників і вражай противників здалеку."
"TID_SOUL_COLLECTOR_DESC","Гас настільки схожий на дитину-привида, що його часто таким і вважають. І це не дивно: він захоплюється всім надприродним, адже надто наївний, щоб чогось боятися."
"TID_SOUL_COLLECTOR_WEAPON","ШАЛЕНІ КУЛЬКИ"
"TID_SOUL_COLLECTOR_WEAPON_DESC","Гас стріляє в противників повітряними кульками. Після кількох влучень випадає дух. Зібрані духи відновлюють частину здоров’я Гасу або його товаришам по команді."
"TID_SOUL_COLLECTOR_ULTI","СПУКІ"
"TID_SOUL_COLLECTOR_ULTI_DESC","Гас використовує Спукі (створіння у вигляді повітряної кульки та свого найкращого друга), щоб створити щит навколо себе або одного з товаришів по команді, і відкидає найближчих противників назад."
"TID_SPEC_ABI_SOUL_COLLECTOR_1","ПРИПЛИВ ЗДОРОВ’Я"
"TID_SPEC_ABI_SOUL_COLLECTOR_1_DESC","Відновлення здоров’я від духів збільшено на <c00cc00><VALUE1>%</c>."
"TID_SPEC_ABI_SOUL_COLLECTOR_2","ДУХ-СУПУТНИК"
"TID_SPEC_ABI_SOUL_COLLECTOR_2_DESC","Спукі збільшує ушкодження, що завдає товариш по команді, на <c00cc00><!card.trait.statuseffect.damageboostpercent>%</c> упродовж <c00cc00><!card.trait.statuseffect.duration.ticksasseconds></c> с."
"TID_ACCESSORY_SOUL_COLLECTOR_GADGET_1","ДИВАКУВАТИЙ ВИБУХ"
"TID_ACCESSORY_SOUL_COLLECTOR_GADGET_1_DESC","Усі незібрані духи вибухають. Вони завдають <c00cc00><VALUE1></c> од. ушкодження найближчим противникам."
"TID_ACCESSORY_SOUL_COLLECTOR_GADGET_2","ДУХ ВІДКИДАННЯ"
"TID_ACCESSORY_SOUL_COLLECTOR_GADGET_2_DESC","Гас кидає духа, який відкидає противників і завдає <c00cc00><!card.accessory.skill.damage.scaleToLevel></c> од. ушкодження."
"TID_ACCESSORY_BLOCKED_MISSING_SOULS","Духи відсутні!"
"TID_ACCESSORY_BLOCKED_SPIRIT_ALREADY_FULL","Шкала духів уже заповнена!"
"TID_SOUL_COLLECTOR_OVERCHARGE","ВИБУХ ЖАХУ"
"TID_SOUL_COLLECTOR_OVERCHARGE_DESC","У разі влучання супердія Гаса випускає духів на всі боки. Вони завдають ушкодження противникам і відновлюють здоров’я товаришам по команді!"
"TID_SKIN_INFO_OUTLAW","ЛИХА БАНДА"
"TID_EMOJI_SURGE_TEAM","NAVI"
"TID_EMOJI_MORTIS_TEAM","SK"
"TID_EMOJI_SPIKE_TEAM","INTZ"
"TID_EMOJI_PRIMO_TEAM","TQ"
"TID_EMOJI_COLT_TEAM","STMN"
"TID_EMOJI_NITA_TEAM","OBEY"
"TID_EMOJI_LEON_TEAM","QLASH"
"TID_EMOJI_JESSIE_TEAM","ZETA"
"TID_EMOJI_EMZ_TEAM","TRIBE"
"TID_EMOJI_SHELLY_TEAM","TOTEM"
"TID_SKIN_INFO_MECHA","МЕХАНІЧНИЙ ЗАГІН"
"TID_SCID_REQUIRED_DESC","Через твій вік тобі потрібно під’єднати гру до Supercell ID"
"TID_SCID_REQUIRED_CONNECT","ПІД’ЄДНАТИ"
"TID_LOGIN_CALENDAR_POPULAR","ПОПУЛЯРНЕ"
"TID_TRAIT_SUPER_START","Завжди з’являється з повністю зарядженою супердією"
"TID_GAME_MODE_29","ОСТАННІЙ РУБІЖ"
"TID_GAME_MODE_29_DESC","Пошкоджені роботи повстали проти нас! 8-Біт — наша остання і єдина надія. Він несе секретний код, і має вижити будь-що! Захищай 8-Біт від хвиль злих роботів, доки не закінчиться час, щоб перемогти в матчі.\n\nЗбирай монети Бравл, щоб підтримувати 8-Біт у бою!"
"TID_GAME_MODE_29_INTRO_TEXT","Захисти 8-Біт!"
"TID_LAST_STAND_1","Ліквідатор"
"TID_LAST_STAND_2","День розплати"
"TID_LAST_STAND_3","Повстання роботів"
"TID_LAST_STAND_4","Порятунок прийде"
"TID_LAST_STAND_5","Спалені мікросхеми"
"TID_LAST_STAND_6","Темна доля"
"TID_INBOX_CAPTION_55","Нагорода за виконання квесту:"
"TID_ESPORTS_OFFER_TITLE","ЧЕМПІОНАТ"
"TID_ESPORTS_OFFER_SUBTITLE_PINS","Комплект значків"
"TID_ESPORTS_OFFER_SUBTITLE_THUMBNAILS","Зображення гравця"
"TID_ESPORTS_OFFER_SUBTITLE_EACH","КОЖН."
"TID_ESPORTS_OFFER_SUBTITLE_ALREADY_OWNED","Вже є!"
"TID_ESPORTS_OFFER_ITEM_PINS","Значок"
"TID_ESPORTS_OFFER_ITEM_THUMBNAILS","Зображення гравця"
"TID_EMOTE_BUNDLE_MORTIS_MECHA_PACK","Набір значків «Меха Мортис»"
"TID_BRAWL_PASS_SEASON_13","ФАБРИКА РОБОТІВ"
"TID_TRUE_GOLD_OTIS_SKIN","ЗОЛОТИЙ ОТІС"
"TID_TRUE_GOLD_OTIS_SKIN_SHOP","ЗОЛОТИЙ\nОТІС"
"TID_TRUE_SILVER_OTIS_SKIN","СРІБНИЙ ОТІС"
"TID_TRUE_SILVER_OTIS_SKIN_SHOP","СРІБНИЙ\nОТІС"
"TID_TRUE_GOLD_SQUEAK_SKIN","ЗОЛОТИЙ СКВІК"
"TID_TRUE_GOLD_SQUEAK_SKIN_SHOP","ЗОЛОТИЙ\nСКВІК"
"TID_TRUE_SILVER_SQUEAK_SKIN","СРІБНИЙ СКВІК"
"TID_TRUE_SILVER_SQUEAK_SKIN_SHOP","СРІБНИЙ\nСКВІК"
"TID_TRUE_GOLD_BYRON_SKIN","ЗОЛОТИЙ БАЙРОН"
"TID_TRUE_GOLD_BYRON_SKIN_SHOP","ЗОЛОТИЙ\nБАЙРОН"
"TID_TRUE_SILVER_BRYON_SKIN","СРІБНИЙ БАЙРОН"
"TID_TRUE_SILVER_BYRON_SKIN_SHOP","СРІБНИЙ\nБАЙРОН"
"TID_TRUE_GOLD_GRIFF_SKIN","ЗОЛОТИЙ ҐРІФ"
"TID_TRUE_GOLD_GRIFF_SKIN_SHOP","ЗОЛОТИЙ\nҐРІФ"
"TID_TRUE_SILVER_GRIFF_SKIN","СРІБНИЙ ҐРІФ"
"TID_TRUE_SILVER_GRIFF_SKIN_SHOP","СРІБНИЙ\nҐРІФ"
"TID_TRUE_GOLD_EDGAR_SKIN","ЗОЛОТИЙ ЕДГАР"
"TID_TRUE_GOLD_EDGAR_SKIN_SHOP","ЗОЛОТИЙ\nЕДГАР"
"TID_TRUE_SILVER_EDGAR_SKIN","СРІБНИЙ ЕДГАР"
"TID_TRUE_SILVER_EDGAR_SKIN_SHOP","СРІБНИЙ\nЕДГАР"
"TID_CAESAR_BRONSON_SKIN","ЦЕЗАР СЕМ"
"TID_CAESAR_BRONSON_SKIN_SHOP","ЦЕЗАР\nСЕМ"
"TID_MECHA_MORIS_SKIN","МЕХА МОРТИС"
"TID_MECHA_MORTIS_SKIN_SHOP","МЕХА\nМОРТИС"
"TID_DARK_MECHA_MORTIS_SKIN","ТЕМНИЙ МЕХА МОРТИС"
"TID_DARK_MECHA_MORTIS_SKIN_SHOP","ТЕМНИЙ МЕХА\nМОРТИС"
"TID_LIGHT_MECHA_MORTIS_SKIN","СВІТЛИЙ МЕХА МОРТИС"
"TID_LIGHT_MECHA_MORTIS_SKIN_SHOP","СВІТЛИЙ МЕХА\nМОРТИС"
"TID_OUTLAW_LOLA_SKIN","ЛОЛА ПОЗА ЗАКОНОМ"
"TID_OUTLAW_LOLA_SKIN_SHOP","ЛОЛА\nПОЗА ЗАКОНОМ"
"TID_OUTLAW_CROW","КІСТЯНИЙ КРОУ"
"TID_OUTLAW_CROW_SKIN_SHOP","КІСТЯНИЙ КРОУ"
"TID_OUTLAW_POCO_SKIN","ВІДЧАЙДУШНИЙ ПОКО"
"TID_OUTLAW_POCO_SKIN_SHOP","ВІДЧАЙДУШНИЙ\nПОКО"
"TID_BROKER_PAM_SKIN","ІНВЕСТОРКА ПЕМ"
"TID_BROKER_PAM_SKIN_SHOP","ІНВЕСТОРКА\nПЕМ"
"TID_MOON_FESTIVAL_SQUEAK_SKIN","МІСЯЧНИЙ ЗАЙЧИК СКВІК"
"TID_MOON_FESTIVAL_SQUEAK_SKIN_SHOP","МІСЯЧНИЙ ЗАЙЧИК\nСКВІК"
"TID_BRAWLOWEEN_LEON_SKIN","ГЕЛОВІНСЬКИЙ ЛЕОН"
"TID_BRAWLOWEEN_LEON_SKIN_SHOP","ГЕЛОВІНСЬКИЙ\nЛЕОН"
"TID_HINT_45","Не забудь використати код автора в магазині."
"TID_HINT_46","Заходь до гри щодня, щоб отримувати безплатні щоденні нагороди!"
"TID_HINT_47","У бравлболі іноді вигідно віддати м’яч противникам, щоб змусити їх марно витратити боєзапас!"
"TID_HINT_48","Використовуй значки та спреї у грі, щоб виражати емоції."
"TID_HINT_49","Огорожі схожі на стіни, але через них можна стріляти!"
"TID_HINT_50","Командна гра перетворює мрію на реальність!"
"TID_HINT_51","Не подобається розкладка керування? Зміни її за допомогою функції «ВИПРОБУВАТИ»."
"TID_HINT_52","У бравлболі можна використати супердію для суперудару!"
"TID_HINT_53","Коли ти тримаєш найбільше самоцвітів у грі в режимі «Захоплення самоцвітів», віддавай перевагу захисту, а не атаці."
"TID_HINT_54","Якщо твої товариші по команді зазнали поразки, зачекай, поки вони відродяться, щоб разом кинутися в бій!"
"TID_HINT_55","Використовуй дружні бої, щоб тренуватися й покращувати свої навички."
"TID_HINT_56","Деякі бійці мають особливості! Переглянь їх на екрані характеристик бійця."
"TID_HINT_57","У парному зіткненні переконайся, що твій товариш живий, перш ніж збирати куби сили."
"TID_HINT_58","Скористайся функцією \qПошук команди\q, якщо ти проходиш випробування!"
"TID_HINT_59","Завжди стережися мін Бо, вони можуть бути будь-де!"
"TID_HINT_60","Супердія Лу чудово підходить для контролю території. Використовуй її обачно на ключових точках мапи!"
"TID_HINT_61","Ушкодження від атаки Джессі зменшується з кожним відскоком від противника."
"TID_HINT_62","Колетт може завдавати величезного ушкодження атакою танків бійцям-противникам!"
"TID_HINT_63","Едгар відновлює здоров’я щоразу, коли завдає влучного удару!"
"TID_HINT_64","Чим довше ти прицілюєшся, тим далі атакує Джанет."
"TID_HINT_65","Джин може завдавати ударів по противниках і заряджати свою супердію розділеною атакою!"
"TID_LAST_STAND_WAVE_1","Роботи наступають!"
"TID_LAST_STAND_WAVE_2","Наближаються нові противники!"
"TID_LAST_STAND_SHUTDOWN","<ccc0000>8-Біт вимикається!</c>"
"TID_EMOTE_BUNDLE_OUTLAW_PACK","Набір значків «Лиха банда»"
"TID_SHOP_OUTLAW_SKINS","Скін «Лиха банда»"
"TID_SHOP_OUTLAW_TITLE","ЛИХА БАНДА"
"TID_GEAR_RARITY_RARE","Суперрідкісне"
"TID_GEAR_RARITY_SUPER_RARE","Епічне"
"TID_GEAR_RARITY_EPIC","Міфічне"
"TID_GEAR_RARITY_TITLE_RARE_GEAR","<GEAR> — суперрідкісне спорядження"
"TID_GEAR_RARITY_TITLE_SUPER_RARE_GEAR","<GEAR> — епічне спорядження"
"TID_GEAR_RARITY_TITLE_EPIC_GEAR","<GEAR> — міфічне спорядження"
"TID_ACCESSORY_BLOCKED_SOULS_TOO_FAR","Духи надто далеко!"
"TID_TRY_BRAWLER_TITLE","Випробувати бійця"
"TID_TRY_BRAWLER_BUTTON_PRACTICE_MATCH","ПРОБНИЙ МАТЧ"
"TID_TRY_BRAWLER_BUTTON_TRAINING_GROUNDS","ТРЕНУВАННЯ"
"TID_FIRST_GADGET_TUTORIAL_HEADER","ГАДЖЕТИ"
"TID_FIRST_GADGET_TUTORIAL_HEADER_DESC","Додаткове вміння для твого бійця"
"TID_FIRST_GADGET_TUTORIAL_1_DESC","Усі бійці розблоковують слот для гаджета на 7-му рівні сили"
"TID_FIRST_GADGET_TUTORIAL_2_DESC","Унікальні гаджети для кожного бійця"
"TID_FIRST_GADGET_TUTORIAL_3_DESC","Використовуй споряджений гаджет у матчах, коли він заряджений"
"TID_FIRST_GADGET_TUTORIAL_3_x3","∞"
"TID_FIRST_STARPOWER_TUTORIAL_HEADER","ЗОРЯНІ СИЛИ"
"TID_FIRST_STARPOWER_TUTORIAL_HEADER_DESC","Унікальні пасивні вміння твого бійця"
"TID_FIRST_STARPOWER_TUTORIAL_1_DESC","Усі бійці розблоковують слот для зоряної сили на 9-му рівні сили"
"TID_FIRST_STARPOWER_TUTORIAL_2_DESC","Унікальні зоряні сили для кожного бійця"
"TID_FIRST_STARPOWER_TUTORIAL_3_DESC","Твоя споряджена зоряна сила діє постійно"
"TID_FIRST_GEAR_TUTORIAL_1_DESC","Усі бійці розблоковують перший слот для спорядження на 8-му рівні сили"
"TID_FIRST_GEAR_TUTORIAL_2_DESC","Для кожного бійця доступні кілька споряджень"
"TID_FIRST_GEAR_TUTORIAL_3_DESC","Твоє застосоване спорядження діє постійно"
"TID_TRY_BRAWLER_SELECTING_PRACTICE_MATCH","Вибір пробного матчу"
"TID_SHIELD_TANK","БАСТЕР"
"TID_SHIELD_TANK_SHORT_DESC","Відбивай снаряди противників і завдавай потужного ушкодження."
"TID_SHIELD_TANK_DESC","Бастер забрав із кінотеатру, де працює, кінопроєктор і тепер бавиться з ним, ніби це іграшка. Це небезпечно й украй непрофесійно!"
"TID_SHIELD_TANK_WEAPON","ВІДБЛИСК НА ОБ’ЄКТИВІ"
"TID_SHIELD_TANK_WEAPON_DESC","Бастер випускає конус світла зі свого проєктора і завдає ушкодження всім противникам у зоні дії."
"TID_SHIELD_TANK_ULTI","МОНТАЖ"
"TID_SHIELD_TANK_ULTI_DESC","Бастер створює перед собою щит, який блокує всі снаряди противників і відбиває енергію в їхній бік."
"TID_SPEC_ABI_SHIELD_TANK_1","БЛОКБАСТЕР"
"TID_SPEC_ABI_SHIELD_TANK_1_DESC","Відблиск на об’єктиві» Бастера завдає на <c00cc00><VALUE1>%</c> більше ушкодження за кожного союзника в зоні заряджання його супердії."
"TID_SPEC_ABI_SHIELD_TANK_2","КЕВЛАРОВИЙ ЖИЛЕТ"
"TID_SPEC_ABI_SHIELD_TANK_2_DESC","Поки «Монтаж» активний, Бастер отримує на <c00cc00><VALUE1>%</c> менше ушкодження і не піддається відштовхуванням, сповільненням й оглушенню."
"TID_ACCESSORY_SHIELD_TANK_GADGET_1","ПОЯС З ІНСТРУМЕНТАМИ"
"TID_ACCESSORY_SHIELD_TANK_GADGET_1_DESC","Бастер відновлює здоров’я собі та всім союзникам поблизу на <c00cc00><VALUE1></c> од. за кожного союзника в зоні заряджання його супердії."
"TID_ACCESSORY_SHIELD_TANK_GADGET_2","УПОВІЛЬНЕНЕ ФІЛЬМУВАННЯ"
"TID_ACCESSORY_SHIELD_TANK_GADGET_2_DESC","Наступний «Відблиск на об’єктиві» Бастера притягує противників до нього."
"TID_GEAR_COMPENSATION_AMOUNTS_DESC","ЖЕТОНИ СПОРЯДЖЕННЯ: <TOKENS>\nБРУХТ: <SCRAP>"
"TID_GEAR_COMPENSATION_CLAIM","ЗАБРАТИ"
"TID_FIRST_GEAR_TUTORIAL_SUBTITLE","Налаштуй свою збірку з новим пасивним вмінням"
"TID_FIRST_ITEM_TUTORIAL_BUTTON_LETS_GO","УПЕРЕД!"
"TID_INBOX_CAPTION_52","Подарунок: спорядження <TYPE> для гравця <NAME>"
"TID_GEAR_COMPENSATION_INFO","Ось тобі монети (<COINS>) для спорядження, жетонів спорядження та брухту!"
"TID_INBOX_CAPTION_GEAR_COMPENSATION","Спорядження скинуто, а ти отримуєш монети (<COINS>) як компенсацію"
"TID_RECRUIT_TOKEN","Кредит"
"TID_CHROMATIC_TOKEN","Хромакредит"
"TID_FIRST_STARPOWER_TUTORIAL_TITLE","ЗОРЯНІ СИЛИ"
"TID_FIRST_GADGET_TUTORIAL_TITLE","ГАДЖЕТИ"
"TID_GEAR_TO_COINS_POPUP_TITLE","СПОРЯДЖЕННЯ ПЕРЕРОБЛЕНО!"
"TID_GEAR_TO_COINS_POPUP_NEW_GEAR","Доступне нове спорядження!"
"TID_GEAR_TO_COINS_POPUP_NEW_GEAR_DESCRIPTION","Перевір своїх бійців на можливість застосувати нові варіанти спорядження."
"TID_GEAR_TO_COINS_POPUP_INFO","Усе твоє наявне спорядження скинуто. Спорядження більше не створюється і не має рівнів покращення. Тепер воно буває лише: суперрідкісне, епічне або міфічне.\n\nЩоб компенсувати ці зміни, усі твої жетони спорядження та брухт конвертовано в монети. КУПУЙ НОВЕ СПОРЯДЖЕННЯ ЗА МОНЕТИ!"
"TID_GEAR_TO_COINS_POPUP_REIMBURSEMENT","КОМПЕНСАЦІЯ:"
"TID_REPORT_PLAYER_REPORT","ПОСКАРЖИТИСЯ"
"TID_REPORT_PLAYER_REPORTED","СКАРГУ НАДІСЛАНО"
"TID_REPORT_PLAYER_POPUP_TITLE","ПОСКАРЖИТИСЯ НА ГРАВЦЯ <PLAYER_NAME>?"
"TID_REPORT_PLAYER_POPUP_DESCRIPTION","Ти скаржишся на гравця <PLAYER_NAME> за грифінг.\n\nГрифінг — це навмисне ігнорування цілей події та порушення її ходу. Така поведінка шкодить команді й може вплинути на результат матчу.\n\nТипові приклади грифінгу:\nПІДДАВАННЯ, ДОГОВІРНІ МАТЧІ та БЕЗДІЯЛЬНІСТЬ."
"TID_REPORT_PLAYER_BUTTON_REPORT","ПОСКАРЖИТИСЯ"
"TID_REPORT_PLAYER_BUTTON_CANCEL","СКАСУВАТИ"
"TID_QUEST_FALLBACK_REWARD_DESC","Оскільки в тебе вже є ця нагорода за квест, ти отримаєш <REWARD>!"
"TID_QUEST_FALLBACK_REWARD_TITLE","НАГОРОДА ЗА КВЕСТ"
"TID_QUEST_FALLBACK_REWARD_BUTTON_CLAIM","ЗАБРАТИ"
"TID_RECRUIT_ROAD_TAB_RECRUIT_ROAD","БУМ БІЙЦІВ"
"TID_RECRUIT_ROAD_TAB_CHROMATIC_SHOP","УСЕ ХРОМАТИЧНЕ"
"TID_CHROMATIC_BRAWLER_UNLOCK_REQUIREMENT","Розблокувати ще <NUM>"
"TID_CHROMATIC_OWNED_BP_REACH_TIER","Розблокуй героя <HERO> на РІВНІ <NUM> цього сезону BRAWL PASS"
"TID_CHROMATIC_OWNED_BP_REACH_TIER_SHORT","Розблокуй на РІВНІ <NUM> BRAWL PASS"
"TID_CHROMATIC_CURRENT_BP_TIER","ПОТОЧНИЙ РІВЕНЬ: <NUM>"
"TID_CHROMATIC_AVAILABLE_ON_BP","Доступно зараз у BRAWL PASS"
"TID_CHROMATIC_CLAIM_ON_BP","ЗАБРАТИ"
"TID_CHROMATIC_HERO_UNLOCK_NOW","Розблокувати героя <HERO> зараз:"
"TID_CHROMATIC_HERO_UNLOCK_MORE_TO_PURCHASE","Розблокуй більше хроматичних бійців (<NUM>), щоб придбати бійця <HERO> за хромакредити"
"TID_CHROMATIC_HERO_BP_SEASON_ENDS_IN","Сезон завершується за: <TIME>"
"TID_CHROMATIC_BUY_BUTTON_UNLOCK_NOW","РОЗБЛОКУВАТИ ЗАРАЗ:"
"TID_PURCHASE_CHROMATIC_HERO_TITLE","ХРОМАТИЧНІ БІЙЦІ"
"TID_PURCHASE_CHROMATIC_BTN_BP_ACTIVATE","АКТИВУВАТИ"
"TID_PURCHASE_CHROMATIC_BTN_BP_CLAIM","ЗАБРАТИ"
"TID_PURCHASE_CHROMATIC_HERO_BP_CHANGED","Сезон Brawl Pass змінився"
"TID_RECRUIT_BRAWLER_BUY_BUTTON_UNLOCK_NOW","РОЗБЛОКУВАТИ"
"TID_PURCHASE_BRAWLER_ERROR_BRAWLER_ALREADY_UNLOCKED","У тебе вже є цей боєць!"
"TID_PURCHASE_BRAWLER_ERROR_BP_TIER_NOT_REACHED","Щоб придбати цього бійця, потрібно досягти рівня <TIER> у Brawl Pass"
"TID_PURCHASE_BRAWLER_ERROR_BP_TIER_ALREADY_CLAIMABLE","Цього бійця вже можна забрати в Brawl Pass"
"TID_PURCHASE_BRAWLER_ERROR_PREVIOUS_CHROMATIC_BRAWLER_COUNT_TOO_SMALL","Спочатку треба розблокувати хроматичних бійців (<NUM>)"
"TID_PURCHASE_BRAWLER_ERROR_UNKNOWN","Зараз неможливо придбати цього бійця (<NUM>)"
"TID_PURCHASE_BRAWLER_AUTO_OFFER_TITLE","РОЗБЛОКУВАТИ БІЙЦЯ <NAME> ЗАРАЗ?"
"TID_PURCHASE_BRAWLER_AUTO_OFFER_DESC","Миттєво отримай кредити, яких бракує, та грай за бійця <NAME> одразу!"
"TID_RECRUIT_ROAD_CURRENT_BRAWLER_SWITCH","ЗМІНИТИ"
"TID_RECRUIT_ROAD_CURRENT_BRAWLER_UNLOCK_NOW","РОЗБЛОКУВАТИ ЗАРАЗ"
"TID_RECRUIT_ROAD_FUTURE_CHOICES_TITLE","РОЗБЛОКУЙ 1 БІЙЦЯ НА ЦЬОМУ РІВНІ"
"TID_RECRUIT_ROAD_FUTURE_BRAWLER_UNLOCK","Щоб розблокувати бійця <HERO> на цьому рівні, необхідні кредити:"
"TID_RECRUIT_ROAD_FUTURE_BRAWLER_UNLOCK_UNKNOWN","Щоб розблокувати на цьому рівні, необхідні кредити:"
"TID_RECRUIT_ROAD_FUTURE_BRAWLER_NAME_UNKNOWN","НЕВІДОМИЙ ВИБІР"
"TID_RECRUIT_ROAD_FUTURE_BRAWLER_DESC_UNKNOWN","Бійця, якого не було обрано на попередньому рівні (<RARITY>), можна буде знову вибрати тут."
"TID_CHROMATIC_TOKEN_CAP_REACHED_TITLE","ДОСЯГНУТО ЛІМІТУ ХРОМАКРЕДИТІВ"
"TID_CHROMATIC_TOKEN_CAP_REACHED_DESC","У тебе максимальна кількість хромакредитів, яку можна зібрати. Витрать частину, перш ніж збирати ще."
"TID_CHROMATIC_TOKEN_CAP_REACHED_DESC_PLAY_QUEST_REWARD","Досягнуто максимальної кількості хромакредитів. Через перевищення ліміту нагороду з хромакредитами за квест не буде отримано."
"TID_CHROMATIC_TOKEN_CAP_REACHED_DESC_PLAY_CHALLENGE_REWARD","Досягнуто максимальної кількості хромакредитів. Через перевищення ліміту нагороду з хромакредитами за випробування не буде отримано."
"TID_CHROMATIC_TOKEN_CAP_REACHED_AMOUNT","<NUM>/<MAX>"
"TID_CHROMATIC_TOKEN_CAP_REACHED_BUTTON_SHOP","ХРОМАТИЧНИЙ МАГАЗИН"
"TID_BUTTON_NAVI_RECRUIT_ROAD","РОЗБЛОКУВАТИ ЗІРКИ"
"TID_SKIN_INFO_GHOST_TRAIN","ПРИМАРНА СТАНЦІЯ"
"TID_SCID_PURCHASE_VERIFICATION_ERROR","Під час підтвердження твоєї купівлі сталася помилка"
"TID_TRAIT_CHARGE_SUPER_FROM_ALLIES","Цей боєць заряджає свою супердію, коли перебуває поруч із товаришами по команді."
"TID_SKIN_INFO_ACTION","ГЕРОЇ БОЙОВИКІВ"
"TID_SKIN_INFO_WF_2022","BSC 2022"
"TID_BRAWL_PASS_SEASON_14","ПРИМАРНА СТАНЦІЯ"
"TID_CHAINSAW_BUSTER_SKIN","БАСТЕР ІЗ БЕНЗОПИЛОЮ"
"TID_CHAINSAW_BUSTER_SKIN_SHOP","БАСТЕР\nІЗ БЕНЗОПИЛОЮ"
"TID_GHOST_TRAIN_GROM_SKIN","ФРАНКЕНГРОМ"
"TID_GHOST_TRAIN_GROM_SKIN_SHOP","ФРАНКЕНГРОМ"
"TID_GHOST_TRAIN_COLETTE_SKIN","ІНСПЕКТОР КОЛЕТТ"
"TID_GHOST_TRAIN_COLETTE_SKIN_SHOP","ІНСПЕКТОР\nКОЛЕТТ"
"TID_BRICK_OVEN_ASH_SKIN","ПІЧКА ЕШ"
"TID_BRICK_OVEN_ASH_SKIN_SHOP","ПІЧКА\nЕШ"
"TID_VETERAN_SQUEAK_SKIN","ПЕРША КРАПЛЯ СКВІК"
"TID_VETERAN_SQUEAK_SKIN_SHOP","ПЕРША КРАПЛЯ\nСКВІК"
"TID_ZOMBIE_BROCK_SKIN","ЗОМБРОК"
"TID_ZOMBIE_BROCK_SKIN_SHOP","ЗОМБРОК"
"TID_MEGA_MEGABOX_DARRYL_SKIN","СКРИНЬКА ОМЕГА ДЕРРІЛ"
"TID_MEGA_MEGABOX_DARRYL_SKIN_SHOP","СКРИНЬКА ОМЕГА\nДЕРРІЛ"
"TID_GHOST_METRO_PENNY_SKIN","ЄНОТ ПЕННІ"
"TID_GHOST_METRO_PENNY_SKIN_SHOP","ЄНОТ\nПЕННІ"
"TID_BSWF22_TARA_SKIN","ЗЛЮЩА ТАРА"
"TID_BSWF22_TARA_SKIN_SHOP","ЗЛЮЩА\nТАРА"
"TID_TOPGUN_JANET_SKIN","ДЖАНЕТ G-FORCE"
"TID_TOPGUN_JANET_SKIN_SHOP","ДЖАНЕТ\nG-FORCE"
"TID_SHOP_OFFER_TITLE_40","СКРИНЬКА ОМЕГА"
"TID_PIN_OFFER_TITLE","Пропозиції значків"
"TID_THUMBNAILS_OFFER_TITLE","Пропозиції зображень"
"TID_PURCHASE_BRAWL_PASS_TITLE_REDEEM","BRAWL PASS"
"TID_PURCHASE_BRAWL_PASS_INFO_REDEEM","Розблокуй нагороди Brawl Pass і додаткові квести"
"TID_PURCHASE_BRAWL_PASS_BUTTON_REDEEM","АКТИВУВАТИ"
"TID_BRAWL_PASS_REDEEM","АКТИВУВАТИ"
"TID_PURCHASE_BRAWL_PASS_REDEEM_INFO","У твоєму Supercell ID є Brawl Pass (<NUMBER>). Використати один, щоб активувати Brawl Pass цього сезону?"
"TID_PURCHASE_BRAWL_PASS_REDEEM_ALREADY_IN_PROGRESS","Зачекай. Активуємо Brawl Pass з твого Supercell ID."
"TID_PURCHASE_BRAWL_PASS_BUY_FROM_SUPERCELL_STORE","У твоєму Supercell ID бракує Brawl Pass для активації. Перейди до Supercell Store, щоб придбати більше."
"TID_SUPERCELL_STORE_GEM_PACK_1_TITLE","30 самоцвітів"
"TID_SUPERCELL_STORE_GEM_PACK_2_TITLE","80 самоцвітів"
"TID_SUPERCELL_STORE_GEM_PACK_3_TITLE","170 самоцвітів"
"TID_SUPERCELL_STORE_GEM_PACK_4_TITLE","360 самоцвітів"
"TID_SUPERCELL_STORE_GEM_PACK_5_TITLE","950 самоцвітів"
"TID_SUPERCELL_STORE_GEM_PACK_6_TITLE","2000 самоцвітів"
"TID_SUPERCELL_STORE_BRAWL_PASS","Brawl Pass"
"TID_SUPERCELL_STORE_BRAWL_PASS_BUNDLE","Пакет Brawl Pass"
"TID_SKIN_INFO_CAMPAIGN_LASTBOX","ОМЕГА"
"TID_IAP_NOT_AVAILABLE_ANDROID","Купівлі недоступні!\nПереконайся, що ти використовуєш дійсний обліковий запис Google і що твій основний спосіб оплати актуальний."
"TID_RECRUIT_ROAD_FEATURE_TITLE","РОЗБЛОКУЙ ЗІРКИ"
"TID_RECRUIT_ROAD_OR","АБО"
"TID_RECRUIT_ROAD_NEXT_TO_UNLOCK","ДАЛІ ДЛЯ РОЗБЛОКУВАННЯ:"
