"Name","SpawnCondition","SpawnConditionData","BossTraits","SetupHpThresholds","VulnerableStateStartTicks","VulnerableStateDurationTicks","VulnerableStatusEffect","AwakeDistance","MovableTileUpDownLeftRight","EscapeDistance","NumSkills","AttackSkills","AttackMaxCount","DamageIncrease","ProjectileSpeedIncrease","AttackPreDelayTicks","AttackCooldownTicks","AttackIndicatorStyles","AttackIndicatorAreaEffects","AttackIndicatorDistances","AttackIndicatorAddWidth","MoveStyle","SkipForWin","SpawnBossOnDeath","PlayLoseAnimOnDeath","CountToKill","PhaseNumber","DropPowerCubeCount","SpawnTeamMateTime","SkillTPCameraType","BattleIntroFrameLabel","BattleIntroTomlConfigId","BossModeNameTID","ChatSuggestionItemName","GameModeIconName","GameModeRoomIconName","ChargeRadiusMod","SpawnedPetRandomSkin","HideInMapPreview"
"MegaBossKatanaKid",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,6,"MegaKatanaKidPushAway;MegaKatanaKidWeaponRanged;MegaKatanaKidHook;MegaKatanaKidWeaponSlash;MegaKatanaKid360Fish;MegaKatanaKidUlti","0;1;1;1;1;0",0,-15,"25;25;20;40;25;40","15;25;18;18;40;25","1;3;3;4;1;1","MegaBossWarning360;-;-;-;MegaBossWarning360;MegaKatanaKidUltiIndicator","0;-1;-1;-1;100;-1","0;150;0;0;0;0","1;1;1;0;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0;0;0","boss_dragons_grom","boss_nano_nori","TID_MEGA_BOSS_TITLE_NANO_BOSSES","chat_letsplay_boss_nano_nori","event_icon_boss_nano_nori","event_gameroom_boss_nano_nori",,,
,,,,,0,0,,,,,,,"0;2;1;1;1;0",50,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;1;1;1",75,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;1;1;2",100,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;3;2;1;1;2",150,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;3;2;1;1;2",200,15,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossKatanaKid_FishSpawner1",,,"MB_KatanaKidFishSpawnerUntargetable;MB_KatanaKidFishSpawnerAreaSize",,250,100,"MegaBossVulnerableGen",7,"50;50;50;50",-1,3,"MegaBossKatanaKid_FishSpawnerPushAway;MegaBossKatanaKid_FishSpawner360Fish;MegaBossKatanaKid_FishSpawnerIdle","0;1;1",0,-15,"20;25;40","20;20;80","0;1;0","-;MegaBossWarning360;-","-1;0;0","0;0;0","1;1;1","TRUE",,,,,,10,"0;0;0","boss_dragons_grom","boss_nano_nori","TID_MEGA_BOSS_TITLE_NANO_BOSSES","chat_letsplay_boss_nano_nori","event_icon_boss_nano_nori","event_gameroom_boss_nano_nori",,,"TRUE"
,,,,,350,60,,,,,,,"0;1;1",50,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;1;1",75,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",100,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",150,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",200,20,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossKatanaKid_FishSpawner2",,,"MB_KatanaKidFishSpawnerUntargetable;MB_KatanaKidFishSpawnerAreaSize",,250,100,"MegaBossVulnerableGen",7,"50;50;50;50",-1,3,"MegaBossKatanaKid_FishSpawnerPushAway;MegaBossKatanaKid_FishSpawnerIdle;MegaBossKatanaKid_FishSpawner360Fish","0;1;1",0,-15,"20;40;25","20;80;20","0;0;1","-;-;MegaBossWarning360","-1;0;0","0;0;0","1;1;1","TRUE",,,,,,10,"0;0;0","boss_dragons_grom","boss_nano_nori","TID_MEGA_BOSS_TITLE_NANO_BOSSES","chat_letsplay_boss_nano_nori","event_icon_boss_nano_nori","event_gameroom_boss_nano_nori",,,"TRUE"
,,,,,350,60,,,,,,,"0;1;1",50,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;1;1",75,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",100,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",150,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",200,20,,,,,,,,,,,,,,,,,,,,,,,,
"MechaVanMiniMeleeNinja",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanMeleeNinjaStab;MechaVanMeleeNinjaPull","0;3;1",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,,"TRUE",,,-1,"0;0;0","default",,,,,,,,
"MechaVanMiniSniper",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanSniperPiercing;MechaVanSniperLongRange","0;4;2",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,,"TRUE",,,-1,"0;0;0","default",,,,,,,,
"MechaVanMiniTank",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanTankShortRange;MechaVanTankDash","0;3;1",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,,"TRUE",,,-1,"0;0;0","default",,,,,,,,
"MechaVanBossMeleeNinja",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanMeleeNinjaStab;MechaVanMeleeNinjaPull","0;3;1",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,,"TRUE",,,-1,"0;0;0","default",,,,,,,,
"MechaVanBossSniper",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanSniperPiercing;MechaVanSniperLongRange","0;4;2",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,,"TRUE",,,-1,"0;0;0","default",,,,,,,,
"MechaVanBossTank",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanTankShortRange;MechaVanTankDash","0;3;1",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,,"TRUE",,,-1,"0;0;0","default",,,,,,,,
"MechaVanFriendlyMegBoss",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,2,"MegaKenjiPushAway;MechaVanFriendlyMegBossWeapon","0;1",0,-15,"0;20","0;20","0;0","-;-","0;-1","0;0","1;0",,,,"TRUE",,,-1,"0;0;0","default",,,,,,,,
"NanoGuardMelee",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanMeleeNinjaStab;MechaVanMeleeNinjaPull","0;3;1",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,,"TRUE",,,-1,"0;0;0","default",,,,,,,,
"NanoGuardRanged",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanSniperPiercing;MechaVanSniperLongRange","0;4;2",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,,"TRUE",,,-1,"0;0;0","default",,,,,,,,
"NanoGuardTank",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanTankShortRange;MechaVanTankDash","0;3;1",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,,"TRUE",,,-1,"0;0;0","default",,,,,,,,
