"Name","OfferType","AcceptToOffers","AcceptToChallengeRewards","AcceptToChallengeFallbackRewards","AcceptToQuestRewards","AcceptToQuestFallbackRewards","IconFrameNumber","MaxResourcePerFrame","ShopItemAsset","ShopItemAssetBig","PopupItemAsset","PopupItemAssetHighlight","MiniOfferAsset","SeparatedSectionOfferAsset","SeparatedSectionTeaseAsset","SeasonalEventOfferAsset","LegendaryOfferAsset","ClubShopItemAsset","OfferAssetSolo","OfferAssetHalf","OfferAssetQuarter","OfferAssetHeroLayout","OfferAssetSoloHighlight","OfferAssetHalfHighlight","OfferAssetQuarterHighlight","OfferAssetHeroLayoutHighlight","FullscreenPreview","SoloOfferBgFrames","BrawlPassAssetPaid","BrawlPassAssetFree","BrawlPassAssetPlus","TrophyRankRewardProfile","SameSizeForCollected","TrophyRewardMediumThreshold","TrophyRewardLargeThreshold","TrophyRankRewardTiny","TrophyRankRewardSmall","TrophyRankRewardMedium","TrophyRankRewardLarge","TrophyWorldReward","TrophyWorldIconFrameNumber","TrophyWorldMaxResourcePerFrame","ChainOfferMiniItemSmall","ChainOfferMiniItemMedium","ChainOfferMiniItemLarge","RankedRewardAsset","RankedGoalAsset","RankedGoalQuestAsset","ClubCollabAsset","RewardDescTID","ChallengeRewardFrame","ChallengeRewardAsset","RecordsPopupRewards","CustomGachaScreenOverride","GridViewAsset","ShowGridViewCount"
"VaultSkinKeys",80,TRUE,,,,,2,,,,"sc/shop.sc#shop_popupitem_80",,,,,,,,"sc/shop.sc#offer_item_vault_key_skin_big","sc/shop.sc#offer_item_vault_key_skin_big","sc/shop.sc#offer_item_vault_key_skin_small","sc/shop.sc#offer_item_vault_key_skin_big",,,,,"sc/shop.sc#hero_item_vault_skin_key",,"sc/brawl_pass.sc#brawlpass_reward_premium_key","sc/brawl_pass.sc#brawlpass_reward_free_key",,"reward_profilebutton_76","TRUE",,,,,,,,,,,,,,,,,"TID_VAULT_SKIN_KEY",,,,,"grid_item_vault_skin_key",
"VaultBuddyKeys",81,TRUE,,,,,3,,,,"sc/shop.sc#shop_popupitem_81",,,,,,,,"sc/shop.sc#offer_item_vault_key_buddy_big","sc/shop.sc#offer_item_vault_key_buddy_big","sc/shop.sc#offer_item_vault_key_buddy_small","sc/shop.sc#offer_item_vault_key_buddy_big",,,,,"sc/shop.sc#hero_item_vault_buddy_key",,"sc/brawl_pass.sc#brawlpass_reward_premium_key","sc/brawl_pass.sc#brawlpass_reward_free_key",,"reward_profilebutton_76","TRUE",,,,,,,,,,,,,,,,,"TID_VAULT_BUDDY_KEY",,,,,"grid_item_vault_buddy_key",
"RandomBuddy",82,"TRUE",,,"TRUE",,,,,,"sc/shop.sc#shop_popupitem_82",,,,,,,,"sc/shop.sc#offer_item_buddy_random_big","sc/shop.sc#offer_item_buddy_random_big","sc/shop.sc#offer_item_buddy_random_small","sc/shop.sc#offer_item_buddy_random_big",,,,,"sc/shop.sc#hero_item_buffie",,,,,,,,,,,,,,,,,,,,,,,"TID_RANDOM_BUDDY",,,,,"grid_item_random_buffie",
"RandomSplittingStar",83,"TRUE","TRUE","TRUE","TRUE",,,,,,"sc/shop.sc#shop_popupitem_83",,,,,,,,"sc/shop.sc#offer_item_random_reward_big","sc/shop.sc#offer_item_random_reward_big","sc/shop.sc#offer_item_random_reward_small","sc/shop.sc#offer_item_random_reward_big",,,,,"sc/shop.sc#hero_item_splitting_star",,"sc/brawl_pass.sc#brawlpass_reward_premium_random_reward","sc/brawl_pass.sc#brawlpass_reward_free_random_reward",,"reward_profilebutton_50","TRUE",75,350,"reward_popupitem_collected_50","reward_popupitem_small_50","reward_popupitem_small_50","reward_popupitem_large_50","sc/trophy_world_common.sc#reward_item_starrdrop",,,,,,,"offer_item_random_reward_small","offer_item_random_reward_small","collab_club_reward_milestone_random_reward","TID_SHOP_OFFER_TITLE_83","resource","icon_resource_random_reward_splitting_star","sc/shop.sc#offer_item_random_reward_small",,"grid_item_chaos_drop","true"
"ChocolateBox",84,"TRUE","TRUE",,"TRUE",,,,,,"sc/shop.sc#shop_popupitem_84",,,,,,,,"sc/shop.sc#offer_item_chocolate_box_big","sc/shop.sc#offer_item_chocolate_box_big","sc/shop.sc#offer_item_chocolate_box_small","sc/shop.sc#offer_item_chocolate_box_big",,,,,"sc/shop.sc#hero_item_chocolate_box",,"sc/brawl_pass.sc#brawlpass_reward_premium_random_reward","sc/brawl_pass.sc#brawlpass_reward_free_random_reward",,"reward_profilebutton_50","TRUE",75,350,"reward_popupitem_collected_50","reward_popupitem_small_50","reward_popupitem_small_50","reward_popupitem_large_50","sc/trophy_world_common.sc#reward_item_starrdrop",,,,,,,"offer_item_chocolate_box_small","offer_item_chocolate_box_small","collab_club_reward_milestone_random_reward","TID_SHOP_OFFER_TITLE_84","resource","icon_resource_random_reward","sc/shop.sc#offer_item_random_reward_small",,"grid_item_chocolate_box","true"
"AnimeStar",86,"TRUE","TRUE",,"TRUE",,0,1,,,"sc/shop.sc#shop_popupitem_86",,,,,,,,"sc/shop.sc#offer_item_collab_gacha_starr_nova","sc/shop.sc#offer_item_collab_gacha_starr_nova","sc/shop.sc#offer_item_collab_gacha_starr_nova_small","sc/shop.sc#offer_item_collab_gacha_starr_nova",,,,,"sc/shop.sc#hero_item_starr_nova",,,,,,,,,,,,,,0,1,,,,,,,,"TID_SHOP_OFFER_TITLE_86","resource","icon_resource_random_reward_animestar","sc/shop.sc#offer_item_collab_gacha_starr_nova",,"grid_item_starr_nova","true"
"ChooseSkin",87,"TRUE","FALSE",,"FALSE",,,,,,"sc/shop.sc#offer_item_skin_rarity_3d_big",,,,,,,,"sc/shop.sc#offer_item_skin_rarity_3d_big","sc/shop.sc#offer_item_skin_rarity_big","sc/shop.sc#offer_item_skin_rarity_small","sc/shop.sc#offer_item_skin_rarity_3d_big",,,,,"sc/shop.sc#hero_item_skin_rarity",,,,,,,,,,,,,,,,,,,,,,,"TID_SHOP_OFFER_TITLE_87",,,,,"grid_item_skin_rarity",
"ChooseSkinPool",88,"FALSE","FALSE",,"FALSE",,,,,,"sc/shop.sc#offer_item_skin_random_3d_big",,,,,,,,"sc/shop.sc#offer_item_skin_random_3d_big","sc/shop.sc#offer_item_skin_random_big","sc/shop.sc#offer_item_skin_random_small","sc/shop.sc#offer_item_skin_random_3d_big",,,,,"sc/shop.sc#hero_item_skin_rarity",,,,,,,,,,,,,,,,,,,,,,,,,,,,"grid_item_skin_rarity",
"NanoDrop",89,"TRUE","TRUE",,"TRUE",,0,1,,,"sc/shop.sc#shop_popupitem_89",,,,,,,,"sc/shop.sc#offer_item_nano_drop_big","sc/shop.sc#offer_item_nano_drop_big","sc/shop.sc#offer_item_nano_drop_small","sc/shop.sc#offer_item_nano_drop_big",,,,,"sc/shop.sc#hero_item_nano_drop",,,,,,,,,,,,,,0,1,,,,,,,,"TID_SHOP_OFFER_TITLE_89","resource","icon_resource_random_reward_nano_drop","sc/shop.sc#offer_item_nano_drop_small",,"grid_item_nano_drop","true"
"WindDrop",90,"TRUE","TRUE",,"TRUE",,0,1,,,"sc/shop.sc#shop_popupitem_90",,,,,,,,"sc/shop.sc#offer_item_wind_drop_big","sc/shop.sc#offer_item_wind_drop_big","sc/shop.sc#offer_item_wind_drop_small","sc/shop.sc#offer_item_wind_drop_big",,,,,"sc/shop.sc#hero_item_wind_drop",,,,,,,,,,,,,,0,1,,,,,,,,"TID_SHOP_OFFER_TITLE_90","resource","icon_resource_random_reward_wind_drop","sc/shop.sc#offer_item_wind_drop_small",,"grid_item_wind_drop","true"
"RandomSkin",91,"TRUE","FALSE",,"FALSE",,,,,,"sc/shop.sc#offer_item_skin_random_3d_big",,,,,,,,"sc/shop.sc#offer_item_skin_random_3d_big","sc/shop.sc#offer_item_skin_random_big","sc/shop.sc#offer_item_skin_random_small","sc/shop.sc#offer_item_skin_random_3d_big",,,,,"sc/shop.sc#hero_item_skin_rarity",,,,,,,,,,,,,,,,,,,,,,,"TID_SHOP_OFFER_TITLE_91",,,,,"grid_item_skin_rarity",
"RandomSkinPool",92,"FALSE","FALSE",,"FALSE",,,,,,"sc/shop.sc#offer_item_skin_random_3d_big",,,,,,,,"sc/shop.sc#offer_item_skin_random_3d_big","sc/shop.sc#offer_item_skin_random_big","sc/shop.sc#offer_item_skin_random_small","sc/shop.sc#offer_item_skin_random_3d_big",,,,,"sc/shop.sc#hero_item_skin_rarity",,,,,,,,,,,,,,,,,,,,,,,,,,,,"grid_item_skin_rarity",
"BrawlerBoxTicket",93,"TRUE","TRUE",,"TRUE",,0,1,,,"sc/shop.sc#shop_popupitem_93",,,,,,,,"sc/shop.sc#offer_item_brawler_box_ticket_big","sc/shop.sc#offer_item_brawler_box_ticket_big","sc/shop.sc#offer_item_brawler_box_ticket_small","sc/shop.sc#offer_item_brawler_box_ticket_big",,,,,"sc/shop.sc#hero_item_brawler_box_ticket",,,,,,,,,,,,,,0,1,,,,,,,,"TID_SHOP_OFFER_TITLE_93","resource","icon_resource_brawler_box_ticket","sc/shop.sc#offer_item_brawler_box_ticket_small",,"grid_item_brawler_box_ticket","true"
