"TID_ROBO_WARS_OWN_ROBO_SPAWNED_3","<c998888ff>Đội của bạn</c> đã xây dựng một <c99bbbb22>Rô bốt CỰC GIẬN DỮ</c>!"
"TID_ROBO_WARS_ENEMY_ROBO_SPAWNED_3","<c99dd3333>Đội kẻ thù</c> đã xây dựng một <c99bbbb22>Rô bốt CỰC GIẬN DỮ</c>!"
"TID_ROBO_WARS_SCRAP_AMOUNT","<v1>/<v2>"
"TID_BRAWL_BOX_INFO","Chiến đấu và thu thập <c33a5d7><COUNT> Thẻ</c> để mở Hộp Brawl này"
"TID_STAR_BOX_INFO","Thu thập <cff8E1b><COUNT> Thẻ Sao</c> từ chiến thắng đầu tiên ở các sự kiện khác nhau để mở Hộp Lớn này."
"TID_ALLIANCE_LOCATION","VỊ TRÍ CÂU LẠC BỘ"
"TID_LOCATION_TITLE","CHỌN VỊ TRÍ"
"TID_SETTINGS_LOCATION","VỊ TRÍ"
"TID_REGION_INT","Quốc tế"
"TID_POPUP_CHANGE_LOCATION_TITLE","Thay đổi vị trí?"
"TID_POPUP_CHANGE_LOCATION","Bạn có chắc muốn đổi vị trí không? Vị trí chỉ có thể được đổi mỗi ngày một lần"
"TID_CHANGE_LOCATION_RESULT_0","Đổi vị trí thành <COUNTRY>"
"TID_CHANGE_LOCATION_RESULT_1","Chưa thể đổi vị trí. Hãy thử lại sau <TIME>"
"TID_SKIN_INFO_CAMPAIGN_2_AVAILABLE","Chào mừng Tết Nguyên Đán với trang phục lễ hội này!"
"TID_SKIN_INFO_CAMPAIGN_2_NOT_AVAILABLE","Trang phục Chiến đấu Nguyên Đán."
"TID_SKIN_INFO_CAMPAIGN_5_AVAILABLE","Đón mừng Tết Nguyên Đán với trang phục lễ hội này!"
"TID_SKIN_INFO_CAMPAIGN_5_NOT_AVAILABLE","Trang phục dịp Tết."
"TID_CACTUS_PINK_SKIN","SPIKE ANH ĐÀO"
"TID_CACTUS_PINK_SKIN_SHOP","SPIKE\nANH ĐÀO"
"TID_TRICKSHOT_DUDE","RICOCHET"
"TID_TRICKSHOT_GOLD_SKIN","RICOCHET GIÀU CÓ"
"TID_TRICKSHOT_GOLD_SKIN_SHOP","RICOCHET\nGIÀU CÓ"
"TID_SKIN_POPCORN_RICO","RICOCHET BỎNG NGÔ"
"TID_SKIN_POPCORN_RICO_SHOP","RICOCHET\nBỎNG NGÔ"
"TID_SKIN_FOOTBULL","BULL GHI ĐIỂM"
"TID_SKIN_FOOTBULL_SHOP","BULL\nGHI ĐIỂM"
"TID_SKIN_DUMPLING_DARRYL","DARRYL HÁ CẢO"
"TID_SKIN_DUMPLING_DARRYL_SHOP","DARRYL\nHÁ CẢO"
"TID_SKIN_LUNAR_BROCK","BROCK MÚA LÂN"
"TID_SKIN_LUNAR_BROCK_SHOP","BROCK\nMÚA LÂN"
"TID_SKIN_LUNAR_COLT","CẤM VỆ QUÂN COLT"
"TID_SKIN_LUNAR_COLT_SHOP","CẤM VỆ QUÂN\nCOLT"
"TID_SKIN_VALENTINE_POCO","POCO DẠ KHÚC"
"TID_SKIN_VALENTINE_POCO_SHOP","POCO\nDẠ KHÚC"
"TID_BANKHEIST_9","Nhanh như Chớp"
"TID_BANKHEIST_10","Đấu trường Lăn"
"TID_BANKHEIST_11","Xoay và Bắn"
"TID_BANKHEIST_12","Cây Cầu Rất Xa"
"TID_BANKHEIST_13","Góc Khuất"
"TID_WANTED_10","Tiệc hồ bơi"
"TID_WANTED_11","Chuồng Bò tót"
"TID_WANTED_12","Excel"
"TID_WANTED_13","Bánh đa tầng"
"TID_WANTED_14","Mùa khô"
"TID_NOT_ENOUGH_LEGENDARY_TROPHIES","Không đủ Điểm Sao!"
"TID_NOT_ENOUGH_GOLD_TITLE","Không đủ Xu!"
"TID_NOT_ENOUGH_GOLD_TEXT","Mua <NUM> Xu còn thiếu?"
"TID_NOT_ENOUGH_GOLD_TEXT_ONE","Mua Xu còn thiếu?"
"TID_TEAM_INVITATION_POPUP_MUTE_ALL","CHẶN MỌI LỜI MỜI TRONG 1 GIỜ TỚI"
"TID_TEAM_INVITATION_SETTING_MUTE","Chặn mọi lời mời gia nhập nhóm"
"TID_BUTTON_TEAM_DND","MIỄN LÀM PHIỀN"
"TID_SHOP_VALENTINE_OFFER","Ưu đãi Lễ Tình Nhân"
"TID_SHOP_BRAWLER_BUNDLE","Gói Chiến binh Brawl"
"TID_SHOP_SEASONAL_SKIN_OFFER","Ưu đãi Trang phục theo mùa"
"TID_SHOP_WELCOME_OFFER","Ưu đãi Chào mừng"
"TID_SHOP_BRAWLER_PACK","Gói Chiến binh Brawl"
"TID_SHOP_STAR_POWER_OFFER","Ưu đãi Sức mạnh Sao"
"TID_SHOP_UPGRADE_BUNDLE","Gói Nâng cấp"
"TID_SHOP_NEW_BRAWLER_OFFER","Ưu đãi Chiến binh Brawl Mới"
"TID_SHOP_NEW_SKIN_RELEASE","Phát hành Trang phục Mới"
"TID_SHOP_NEW_SKIN_OFFER","Ưu đãi Trang phục Mới"
"TID_FRIENDLY_GAME_ROOM_LOCKED","Đạt Cấp Điểm Kinh nghiệm <NUM> để mở khóa Trận đấu Giao hữu"
"TID_HEROES_COMING_SOON","CHIẾN BINH BRAWL SẮP XUẤT HIỆN"
"TID_RARITY_NAME_0_UPPER","PHẦN THƯỞNG CỘT MỐC CÚP"
"TID_RARITY_NAME_1_UPPER","HIẾM"
"TID_RARITY_NAME_2_UPPER","SIÊU HIẾM"
"TID_RARITY_NAME_3_UPPER","QUÝ HIẾM"
"TID_RARITY_NAME_4_UPPER","THẦN THOẠI"
"TID_RARITY_NAME_5_UPPER","HUYỀN THOẠI"
"TID_RARITY_NAME_6_UPPER","SẮC MÀU"
"TID_STARTER_PACK_5","Gói cấp 50"
"TID_STARTER_PACK_6","Gói cấp 75"
"TID_STARTER_PACK_7","Gói cấp 100"
"TID_STARTER_PACK_8","Gói cấp 125"
"TID_WHIRLWIND","CARL"
"TID_WHIRLWIND_SHORT_DESC","CHIẾN BINH"
"TID_WHIRLWIND_DESC","Carl ném chiếc Cuốc chim như boomerang. Tuyệt chiêu của cậu ấy là quay xe đẩy điên cuồng và sát thương những ai ở gần."
"TID_WHIRLWIND_WEAPON","CUỐC CHIM"
"TID_WHIRLWIND_ULTI","QUAY ĐUÔI"
"TID_WHIRLWIND_WEAPON_DESC","Carl ném chiếc Cuốc chim như boomerang. Sau khi Cuốc chim quay trở lại, Carl sẽ được ném tiếp."
"TID_WHIRLWIND_ULTI_DESC","Carl sẽ điên cuồng quay vòng trong vài giây và sát thương những đối thủ ở gần."
"TID_STAT_DAMAGE_EACH_WAY","Sát thương khi trúng"
"TID_STAT_DAMAGE_PER_SWING","Sát thương mỗi lần quay"
"TID_HINT_43","Khi Cuốc chim của Carl đánh trúng một vật cản, nó sẽ bật trở lại để Carl có thể nhanh tay ném tiếp."
"TID_SPEC_ABI_PROJECTILE_SPEED","NÉM MẠNH"
"TID_SPEC_ABI_PROJECTILE_SPEED_DESC","Carl ném Cuốc chim nhanh hơn <c00cc00><VALUE1>%</c> để nó bay nhanh hơn và quay về nhanh hơn."
"TID_SPEC_ABI_SUPERSPEED","QUAY"
"TID_SPEC_ABI_SUPERSPEED_DESC","Xe đẩy của Carl sẽ đi chuyển nhanh hơn khi anh ta dùng tuyệt chiêu!"
"TID_HERO_SORTING_TROPHIES","Số Cúp ít nhất"
"TID_HERO_SORTING_TROPHIES_DESC","Số Cúp nhiều nhất"
"TID_HERO_SORTING_RARITY","Theo Độ quý hiếm"
"TID_HERO_SORTING_RARITY_DESC","Theo Độ quý hiếm giảm dần"
"TID_HERO_SORTING_POWER_DESC","Cấp Sức mạnh"
"TID_HERO_SORTING_RANKUP","Gần nhất đến Hạng tiếp theo"
"TID_MUTE_INVITES_LABEL","Miễn làm phiền:"
"TID_GEM_BALANCE_TITLE","Số dư Ngọc"
"TID_JP_BUTTON","Số dư Ngọc"
"TID_GEM_BALANCE","Số dư Ngọc hiện tại: <total>\n\nNgọc Miễn phí:<free>\n\nNgọc đã mua: <paid>"
"TID_IAP_INFO_TEXT","청약철회는 구매일로부터 7일 이내 가능(단, 사용시 철회불가) 법정대리인 동의 없는 미성년자명의 결제 시 취소가능"
"TID_SETTINGS_LINE","LINE"
"TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE","Một giao dịch được thực hiện trên tài khoản này đã được hoàn tiền vào <DATE> hoặc giao dịch đó đã bị xác định là lừa đảo. Nếu đã yêu cầu hoàn tiền, việc hoàn tiền sẽ được thực hiện theo phương thức thanh toán được sử dụng để đặt hàng. Tổng cộng <X> ngọc đã bị trừ để khớp với giá trị của (các) giao dịch đang được đề cập. Việc này có thể làm số dư ngọc của bạn bị âm. Bạn có thể khôi phục số dư ngọc dương bằng cách đặt mua thêm hoặc thu thập tài nguyên trong trò chơi."
"TID_HERO_DISABLED_CURRENTLY","Chiến binh Brawl hiện tại không khả dụng"
"TID_SKIN_FARMER_POCO","POCO NÔNG DÂN"
"TID_SKIN_FARMER_POCO_SHOP","POCO\nNÔNG DÂN"
"TID_UNDERTAKER_NIGHTWITCH_SKIN","PHÙ THỦY BÓNG ĐÊM MORTIS"
"TID_UNDERTAKER_NIGHTWITCH_SKIN_SHOP","PHÙ THỦY BÓNG ĐÊM\nMORTIS"
"TID_FRIEND_ADDED","<FRIEND> đã trở thành bạn bè!"
"TID_IAP_REFRESHER_BUNDLE","Gói Làm mới"
"TID_IAP_REFRESHER_PACK","Túi Làm mới"
"TID_IAP_WOMENS_DAY_1","Sức mạnh Nữ giới"
"TID_IAP_WOMENS_DAY_2","Chúc mừng ngày Quốc tế Phụ nữ"
"TID_IAP_LIMITED_TIME_DISCOUNT","Giảm giá có thời gian giới hạn"
"TID_IAP_GOLDENWEEK_PACK","Gói Tuần lễ Vàng"
"TID_IAP_GOLDENWEEK_PACK_DESC","Chào mừng Tuần lễ Vàng"
"TID_LIMITED_AVAILABILITY","Mua nhanh kẻo hết"
"TID_ROBO_WARS_2","Máy móc Xung đột"
"TID_ROBO_WARS_3","Nhà máy Ào ạt"
"TID_ROBO_WARS_4","Tấn công Lắp ráp"
"TID_ROBO_WARS_5","Đột kích Căn cứ"
"TID_ROBO_WARS_6","Rô bốt Chiến đấu"
"TID_ROBO_WARS_7","Đai ốc & Ốc vít"
"TID_ROBO_WARS_8","Cần chút lắp ráp"
"TID_ROBO_WARS_9","Vây hãm Nhà máy"
"TID_GOLDRUSH_12","Bụi Kim cương"
"TID_GOLDRUSH_13","Tứ Phương"
"TID_GOLDRUSH_14","Vị trí Thuận lợi"
"TID_GOLDRUSH_15","Nhảy Lò cò"
"TID_GOLDRUSH_16","Đếm lùi"
"TID_GOLDRUSH_17","Vận tốc Thoát ly"
"TID_GOLDRUSH_18","Liên kết Ngầm"
"TID_BATTLE_ROYALE_13","Địa điểm Ma quái"
"TID_BATTLE_ROYALE_14","Khoảng sân trong nhà"
"TID_BATTLE_ROYALE_15","Đồng hồ Mặt Trời"
"TID_BATTLE_ROYALE_16","Siêu Sao"
"TID_BATTLE_ROYALE_17","Con đường Tăm tối"
"TID_BATTLE_ROYALE_18","Bộ máy đồng hồ"
"TID_BALL_8","Cú bắn Bật tường"
"TID_BALL_9","Hộp Đồ chơi"
"TID_BALL_10","Đá Phạt đền"
"TID_BALL_11","Thay Người"
"TID_BANKHEIST_14","Chiến trường Royale"
"TID_HERO_DISABLED_CURRENTLY_PRINT","Chiến binh Brawl hiện tại không khả dụng. Hãy thử lại sau!"
"TID_NEXT_ROBO_IN","Cuộc Vây hãm tiếp theo diễn ra sau:"
"TID_ROBO_WARS_OWN_ROBO_SPAWNED","<c998888ff>TẤN CÔNG</c> với <c998888ff>RÔ BỐT VÂY HÃM</c> cấp <num>!"
"TID_ROBO_WARS_ENEMY_ROBO_SPAWNED","<c99dd3333>PHÒNG THỦ</c> khỏi <c99dd3333>RÔ BỐT VÂY HÃM</c> cấp <num>!"
"TID_HERO_DISABLED_CURRENTLY_START_GAME","Chiến binh Brawl hiện tại không khả dụng. Hãy thử Chiến binh Brawl khác!"
"TID_HERO_COMING_SOON","Chiến binh Brawl sắp xuất hiện!"
"TID_NO_ROBOS_SPAWNED","Hòa! Không có VÂY HÃM"
"TID_LAST_ROBO_IN","Cuộc Vây hãm cuối cùng diễn ra sau:"
"TID_ROBO_LEVEL","RÔ BỐT VÂY HÃM CẤP <num>"
"TID_BATTLE_ROYALE_19","Tảng đá Lang thang"
"TID_BATTLE_ROYALE_20","Sao Băng"
"TID_BATTLE_ROYALE_21","Mắt Bão"
"TID_BATTLE_ROYALE_22","Đồng bằng Mùa lũ"
"TID_BATTLE_ROYALE_23","Dòng sông Cuồn cuộn"
"TID_BATTLE_ROYALE_24","Ngã tư Tử thần"
"TID_BATTLE_ROYALE_25","Khu vườn Bí mật"
"TID_BATTLE_ROYALE_26","Tòa án Trung ương"
"TID_BATTLE_ROYALE_27","Tuyết lấm bùn"
"TID_BALL_12","Vũ Điệu Chim Cánh Cụt"
"TID_BALL_13","Đối Đầu"
"TID_BALL_14","Máy giật xèng"
"TID_BALL_15","Giấc mơ Bắn bi"
"TID_BALL_16","Sảnh Vòm"
"TID_GOLDRUSH_19","Bẫy Lò xo"
"TID_GOLDRUSH_20","Vua nhập thành"
"TID_GOLDRUSH_21","Cắt Chéo"
"TID_GOLDRUSH_22","Góc nhọn"
"TID_GOLDRUSH_23","Quán ăn Tưng bừng"
"TID_GOLDRUSH_24","Phân Bào"
"TID_GOLDRUSH_25","Cấp tốc Gấp đôi"
"TID_GOLDRUSH_26","Âm Dương"
"TID_ROBO_HEALTH","RÔ BỐT VÂY HÃM:"
"TID_TEAMING_WARNING","Hãy <c99dd3333>TẤN CÔNG ĐỐI THỦ</c> nếu không muốn gặp phải <c99dd3333>SIÊU THIÊN THẠCH</c>!!!"
"TID_FREE_NAME_CHANGE_INTRO_TEXT","Bạn chỉ được đổi tên miễn phí một lần thôi. Suy nghĩ kỹ trước khi đổi tên nhé, vì sau này sẽ phải tốn Ngọc đấy."
"TID_PAID_NAME_CHANGE_INTRO_TEXT","Dùng Ngọc để chọn một tên mới?\nNếu bạn chọn một cái tên không phù hợp, chúng tôi sẽ có thể đổi tên của bạn và không hoàn trả lại Ngọc."
"TID_NAME_CHANGE_INTRO_TITLE","ĐỔI TÊN"
"TID_NAME_CHANGE_ON_COOLDOWN","Bạn phải chờ thêm <time> để đổi tên lần nữa."
"TID_NAME_CHANGE_FREE","MIỄN PHÍ"
"TID_PLAYER_YOU","BẠN"
"TID_NEWS_TAB_NEWS","TIN TỨC"
"TID_NEWS_TAB_VIDEOS","VIDEO"
"TID_VS_TRAINING","Lối vào\nCông viên Starr"
"TID_TRAINING_DPS","Sát thương mỗi giây:"
"TID_SHOP_SHORTCUT_1","ƯU ĐÃI"
"TID_SHOP_SHORTCUT_2","ƯU ĐÃI HÀNG NGÀY"
"TID_SHOP_SHORTCUT_NOT_USED","HỘP"
"TID_SHOP_SHORTCUT_3","TRANG PHỤC"
"TID_SHOP_SHORTCUT_4","CỬA HÀNG SAO"
"TID_SHOP_SHORTCUT_5","TÀI NGUYÊN"
"TID_SHOP_NOTIFICATION_NEW","MỚI!"
"TID_SHOP_NOTIFICATION_FREE","MIỄN PHÍ!"
"TID_SKIN_INFO_INCLUDES","Trang phục bao gồm:\n"
"TID_SKIN_INFO_NORMAL","- Thiết kế C.binh Brawl đặc biệt"
"TID_SKIN_INFO_NORMAL_PET","- Thiết kế C.binh Brawl đặc biệt\n- Thiết kế thú cưng đặc biệt"
"TID_SKIN_INFO_NORMAL_TURRET","- Thiết kế C.binh Brawl đặc biệt\n- Thiết kế trụ súng đặc biệt"
"TID_SKIN_INFO_FX","- Thiết kế C.binh Brawl đặc biệt\n- Hiệu ứng đặc biệt"
"TID_SKIN_INFO_ANIM_PET","- Thiết kế C.binh Brawl đặc biệt\n- Thiết kế thú cưng đặc biệt\n- Hoạt cảnh đặc biệt"
"TID_SKIN_INFO_ANIM_TURRET","- Thiết kế C.binh Brawl đặc biệt\n- Thiết kế trụ súng đặc biệt\n- Hoạt cảnh đặc biệt"
"TID_SKIN_INFO_ANIM_FX","- Thiết kế C.binh Brawl đặc biệt\n- Hiệu ứng đặc biệt\n- Hoạt cảnh đặc biệt"
"TID_SKIN_INFO_ANIM_FX_PET","- Thiết kế C.binh Brawl đặc biệt\n- Thiết kế thú cưng đặc biệt\n- Hiệu ứng đặc biệt\n- Hoạt cảnh đặc biệt"
"TID_SKIN_INFO_ANIM_FX_SOUND_PET","- Thiết kế C.binh Brawl đặc biệt\n- Thiết kế thú cưng đặc biệt\n- Hiệu ứng đặc biệt\n- Hoạt cảnh đặc biệt\n- Âm thanh đặc biệt"
"TID_SKIN_INFO_ANIM_FX_TURRET","- Thiết kế C.binh Brawl đặc biệt\n- Thiết kế trụ súng đặc biệt\n- Hiệu ứng đặc biệt\n- Hoạt cảnh đặc biệt"
"TID_SKIN_INFO_ANIM_FX_SOUND_TURRET","- Thiết kế C.binh Brawl đặc biệt\n- Thiết kế trụ súng đặc biệt\n- Hiệu ứng đặc biệt\n- Hoạt cảnh đặc biệt\n- Âm thanh đặc biệt"
"TID_SKIN_INFO_ANIM","- Thiết kế C.binh Brawl đặc biệt\n- Hoạt cảnh đặc biệt"
"TID_SKIN_INFO_ANIM_SOUND_FX","- Thiết kế C.binh Brawl đặc biệt\n- Hiệu ứng đặc biệt\n- Hoạt cảnh đặc biệt\n- Âm thanh đặc biệt"
"TID_SKIN_INFO_FX_SOUND","- Thiết kế C.binh Brawl đặc biệt\n- Hiệu ứng đặc biệt\n- Âm thanh đặc biệt"
"TID_SKIN_INFO_SOUND","- Thiết kế C.binh Brawl đặc biệt\n- Âm thanh đặc biệt"
"TID_GOLDRUSH_27","Xe đẩy Đường ray"
"TID_BUTTON_SETTINGS","CÀI ĐẶT"
"TID_BUTTON_BATTLELOG","NHẬT KÝ CHIẾN ĐẤU"
"TID_BUTTON_LEADERBOARD","BẢNG XẾP HẠNG"
"TID_BUTTON_BRAWLTV","BRAWL TV"
"TID_BUTTON_NEWS","TIN TỨC"
"TID_BRAWL_TV_LIVE","TRỰC TIẾP"
"TID_BUTTON_TEST_HERO","THỬ"
"TID_CONTENT_UPDATE","Đang tải nội dung..."
"TID_BATTLE_ROYALE_28","Mộng mơ Bay bổng"
"TID_SHAMAN_SHIBA_SKIN","NITA SHIBA"
"TID_PENNY_BUNNY_SKIN","PENNY THỎ CON"
"TID_SHAMAN_SHIBA_SKIN_SHOP","NITA SHIBA"
"TID_PENNY_BUNNY_SKIN_SHOP","PENNY THỎ CON"
"TID_PURCHASE_POPUP_CONFIRM_OFFER","MUA ƯU ĐÃI?"
"TID_PURCHASE_POPUP_CONFIRM_SKIN","MUA TRANG PHỤC?"
"TID_PURCHASE_POPUP_CONFIRM_HERO","MUA CHIẾN BINH BRAWL?"
"TID_BUTTON_NAME_COLOR","MÀU TÊN"
"TID_SELECT_COLOR_TITLE","CHỌN MÀU"
"TID_PROFILE_COLOR","MÀU"
"TID_POPUP_BRAWLTV_TITLE","BRAWL TV"
"TID_POPUP_BRAWLTV_TEXT","Theo dõi những người chơi Brawl Stars hàng đầu trên toàn thế giới"
"TID_POPUP_BRAWLTV_BUTTON","XEM!"
"TID_GOLDRUSH_28","Bí bo Xình xịch"
"TID_GOLDRUSH_29","Tàu lửa Khởi hành"
"TID_GOLDRUSH_30","Chuyến tàu Điên rồ"
"TID_GOLDRUSH_31","Xe đẩy Điên loạn"
"TID_GOLDRUSH_32","Chuyến tàu Đau đớn"
"TID_GOLDRUSH_33","Cửa hàng Rắn"
"TID_GOLDRUSH_34","Băng Chuyền"
"TID_ROBO_WARS_10","Cú đòn Trực tiếp"
"TID_ROBO_WARS_11","Hiệp đấu Luyện tập"
"TID_ROBO_WARS_12","Xa lộ Rô bốt"
"TID_ROBO_WARS_13","Công viên Phế liệu"
"TID_ROBO_WARS_14","Vùng Nguy hiểm"
"TID_BATTLE_ROYALE_29","Cơn sốt Vàng"
"TID_BATTLE_ROYALE_30","Chiến đấu Bãi biển"
"TID_BATTLE_ROYALE_31","Đường băng Hoàng gia"
"TID_BATTLE_ROYALE_32","Đảo Cầu vồng"
"TID_BATTLE_ROYALE_33","Hồng tiêu"
"TID_BALL_17","Sàn diễn Chính"
"TID_BALL_18","Tình huống Rối ren"
"TID_BALL_19","Cú sút Ghi bàn"
"TID_BALL_20","Sinh tồn Chủ nhật"
"TID_BALL_21","Bóng Cầu vồng"
"TID_SUPPORT_CREATOR_BUTTON","Ủng hộ Người tạo nội dung"
"TID_SUPPORT_CREATOR_LABEL","Đã ủng hộ: <NAME>"
"TID_SUPPORT_CREATOR_POPUP_TITLE","CƯỜNG HÓA NHÀ TẠO NỘI DUNG"
"TID_SUPPORT_CREATOR_POPUP_TEXT","Hãy ủng hộ Nhà tạo nội dung bạn ưa thích. Số ngọc bạn dùng sẽ góp phần ủng hộ cho họ."
"TID_SUPPORT_CREATOR_POPUP_ENTER_CODE","Nhập mã người tạo n.dung:"
"TID_SUPPORT_CREATOR_POPUP_INPUT_CODE","Nhập mã ở đây"
"TID_SUPPORT_CREATOR_POPUP_BUTTON","NHẬP"
"TID_SUPPORT_CREATOR_POPUP_BUTTON_MORE","Thêm thông tin"
"TID_SUPPORT_CREATOR_POPUP_INVALID_NAME","Mã không đúng! Hãy xem lại!"
"TID_SUPPORT_SUCCESS_FLOATER","Bạn đang ủng hộ <NAME>!"
"TID_SUPPORT_LINK_FAIL_FLOATER","Đường dẫn không đúng hoặc đã hết hạn!"
"TID_SUPPORT_CREATOR_SHOP_TITLE","CƯỜNG HÓA NHÀ TẠO NỘI DUNG"
"TID_SUPPORT_CREATOR_BTN_SUPPORT","NHẬP MÃ"
"TID_SUPPORT_CREATOR_BTN_CHANGE","THAY ĐỔI"
"TID_SUPPORT_CREATOR_BTN_STOP","DỪNG"
"TID_SUPPORT_CREATOR_INFO","Hãy ủng hộ Nhà sáng tạo Nội dung khi sử dụng Ngọc bằng cách nhập Mã Nhà tạo nội dung của họ!"
"TID_SUPPORT_CREATOR_SUPPORTING","Hiện đang ủng hộ:"
"TID_SUPPORT_CREATOR_NOT_SUPPORTING","Bạn hiện không ủng hộ Nhà tạo Nội dung nào."
"TID_STOP_SUPPORTING_CREATOR_TITLE","Dừng ủng hộ Nhà tạo Nội dung"
"TID_STOP_SUPPORTING_CREATOR_DESC","Bạn có muốn dừng ủng hộ <NAME>?"
"TID_STAT_DAMAGE_PER_PROXIMITY_MINE","Sát thương mỗi quả mìn"
"TID_OFFER_POPUP_CONFIRMATION_POPUP","Bạn có chắc muốn mua <offer_name>?"
"TID_OFFER_POPUP_CONFIRMATION_POPUP_NO_NAME","Bạn có chắc chắn muốn mua ưu đãi không?"
"TID_BRAWLTV_FAILED","Không tải được Brawl TV, vui lòng thử lại sau."
"TID_LINE_ACCOUNT_BIND_INFO_TITLE","Kết nối với LINE"
"TID_LINE_ACCOUNT_BIND_INFO","Sau khi kết nối tài khoản của bạn với LINE, bạn sẽ thấy được tài khoản Brawl Stars từ bạn bè LINE của mình ở Danh sách Bạn bè. Họ cũng sẽ thấy được tài khoản Brawl Stars và trạng thái trực tuyến của bạn, cũng như có thể mời bạn chiến đấu. Kết nối ngay?"
"TID_LINE_LOG_OUT_TITLE","Ngắt kết nối LINE"
"TID_LINE_LOG_OUT_DESC","Bạn có muốn ngắt kết nối tài khoản LINE?"
"TID_LINE_CONNECT","Kết nối LINE"
"TID_LINE_CONNECT_UP","KẾT NỐI LINE"
"TID_LINE_CONNECTED","Đã kết nối LINE"
"TID_LINE_CONNECTED_UP","ĐÃ KẾT NỐI LINE"
"TID_SKIN_INFO_FX_TURRET","- Thiết kế Chiến binh Brawl đặc biệt\n- Thiết kế trụ súng tùy biến\n- Hiệu ứng tùy biến"
"TID_SPEC_ABI_SPED_FULL_AMMO","CHẠY VỀ ĐÍCH"
"TID_SPEC_ABI_SPED_FULL_AMMO_DESC","Tốc độ đi chuyển của Bibi sẽ tăng thêm <c00cc00><VALUE1>%</c> khi thanh Chạy về đích của cô được tích đầy."
"TID_BASEBALL","BIBI"
"TID_BASEBALL_SHORT_DESC","CHIẾN BINH BÓNG CHÀY"
"TID_BASEBALL_DESC","Vung gậy nào! Bibi có khả năng đánh bật đối thủ khi thanh Chạy về đích của cô được tích đầy. Tuyệt chiêu của cô là đánh ra một quả bóng kẹo cao su bật nảy và gây sát thương cho đối thủ."
"TID_BASEBALL_WEAPON","BA LẦN VUNG GẬY"
"TID_BASEBALL_ULTI","BÓNG BẬT TƯỜNG"
"TID_BASEBALL_WEAPON_DESC","Bibi dùng gậy bóng chày để tấn công. Khi có đủ ba lần vung gậy, thanh Chạy về đích của cô sẽ dần được tích đầy. Khi tích đầy thanh này, cú vung gậy tiếp theo của cô sẽ đánh bật đối thủ!"
"TID_BASEBALL_ULTI_DESC","Bibi đánh ra một quả bóng kẹo cao su bật nảy có thể đi xuyên qua đối thủ, và còn có thể gây sát thương nhiều lần cho cùng một mục tiêu nữa!"
"TID_BARLEY_MS_SKIN","BARLEY BÁN BÁNH"
"TID_BARLEY_MS_SKIN_SHOP","BARLEY\nBÁN BÁNH"
"TID_BROCK_HOTROD_SKIN","BROCK XẾ HỘP"
"TID_BROCK_HOTROD_SKIN_SHOP","BROCK\nXẾ HỘP"
"TID_CARL_RR_SKIN","CARL XẾ ĐIÊN"
"TID_CARL_RR_SKIN_SHOP","CARL\n"
"TID_BARLEY_MAPLE_SKIN","BARLEY LÁ PHONG"
"TID_BARLEY_MAPLE_SKIN_SHOP","BARLEY\nLÁ PHONG"
"TID_BANKHEIST_14B","Điểm dừng xe"
"TID_BANKHEIST_15","Câu chuyện bên lề"
"TID_IAP_RETROPOLIS_PACK","Gói Ngọc Retropolis"
"TID_IAP_RETROCOIN_PACK_1","Gói Xu (1/3)"
"TID_IAP_RETROCOIN_PACK_2","Gói Xu (2/3)"
"TID_IAP_RETROCOIN_PACK_3","Gói Xu (3/3)"
"TID_GOLDRUSH_21C","Khủng hoảng Tài chính"
"TID_SPEC_SPOT_FROM_AIR","Tinh mắt"
"TID_SPEC_SUPER_RANGE","LOẠT SIÊU CẤP ĐẠN"
"TID_SPEC_SUPER_RANGE_DESC","Đạn từ Tuyệt chiêu của Shelly sẽ bay nhanh và xa hơn <c00cc00><VALUE1>%</c>, nhưng tầm bắn hẹp hơn."
"TID_SPEC_ABI_PET_ATTACK_SPEED","GẤU TĂNG ĐỘNG"
"TID_SPEC_ABI_PET_ATTACK_SPEED_DESC","Gấu của Nita sẽ tung đòn tấn công nhanh hơn. Thời gian giữa các đòn tấn công được giảm đi <c00cc00><VALUE1>%</c>."
"TID_SPEC_ABI_LOW_HEALTH_SHIELD","MÌNH ĐỒNG DA SẮT"
"TID_SPEC_ABI_LOW_HEALTH_SHIELD_DESC","Khi máu của Bull thấp hơn <c00cc00><VALUE1>%</c>, anh ta sẽ gồng mình lên và làm giảm <c00cc00><VALUE2>%</c> tất cả sát thương nhận vào."
"TID_SPEC_ABI_ATTACK_RANGE","SÚNG LỤC THẦN THÁNH"
"TID_SPEC_ABI_ATTACK_RANGE_DESC","Đạn từ đòn tấn công của Colt bay xa và nhanh hơn <c00cc00><VALUE1>%</c>."
"TID_SPEC_ABI_TURRET_AOE","ĐÒN ROI CỦA MẸ"
"TID_SPEC_ABI_TURRET_AOE_DESC","Trụ cứu thương giờ đây cũng sẽ gây <c00cc00><VALUE1></c> sát thương mỗi giây lên đối thủ."
"TID_SPEC_ABI_SPEED_AFTER_ULTI","TỐC BÃO THIÊN THẠCH"
