Name,BehaviorType,CanMoveAtSameTime,Targeted,CanAutoShoot,MovementBasedAutoshoot,AttackFacing,Cooldown,ActiveTime,CastingTime,CastingRange,RangeVisual,RangeInputScale,MaxCastingRange,AllowAimOutsideMap,ForceValidTile,RechargeTime,MaxCharge,Damage,PercentDamage,MsBetweenAttacks,Spread,AttackPattern,NumBulletsInOneAttack,TwoGuns,ExecuteFirstAttackImmediately,MovementSpeed,ChargePushback,OverchargedChargePushback,ChargeSpeed,ChargeType,NumSpawns,MaxSpawns,BreakInvisibilityOnAttack,SeeInvisibilityDistance,AlwaysCastAtMaxRange,Projectile,OverchargedProjectile,SummonedCharacter,AreaEffectObject,AreaEffectObject2,OverchargedAreaEffectObject,OverchargedAreaEffectObject2,AreaEffectFollow,SpawnedItem,SpawnItemTriggerType,ButtonSWF,ButtonExportName,ButtonExportNameBlue,AttackEffect,OverchargedAttackEffect,UseEffect,OverchargedUseEffect,EndEffect,OverchargedEndEffect,LoopEffect,LoopEffect2,OverchargedLoopEffect,OverchargedLoopEffect2,ChargeMoveSound,MultiShot,SkillChangeType,SecondarySkill,SecondarySkill2,SecondarySkill3,SecondarySkill4,ShowTimerBar,SecondaryProjectile,ThirdProjectile,ChargedShotCount,DamageModifier,HoldToShoot,UsableInShadowRealm,"HealSelfOnActivationType","HealSelfOnActivationPower",CustomString,CustomString2,CustomValue
MaisieWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,26,,,,,,1500,3,1280,,100,,,1,,TRUE,,,,,,,,,,,MaisieProjectile,,,,,,,,,,,,,maisie_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
MaisieUlti,Attack,TRUE,,TRUE,,1,250,150,500,10,,,,,,1800,,,,1000,,,,,,,,,,,,,,,,,,,MaisieUltiShockwave,,MaisieOverchargedUltiShockwave,MaisieOverchargedUltiBulletExplosion,TRUE,,,,,,shelly_def_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishTankWeapon,Attack,TRUE,TRUE,TRUE,,2,250,150,,10,,,,TRUE,,250,1,,,150,,15,,,,,,,,,,,,,,,,,FishTankBlast,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
FishTankUlti,Attack,TRUE,,TRUE,,,250,150,,,,,,,,,,1320,,100,,,,,TRUE,,,,,,,,,,,,,,FishTankUltiArea,,,,TRUE,,,,,,tenant_def_ulti,,Dummy_effect,,,,,,,,,,,,,,,,,,,,,,2,50,,,
DuelistWeapon,Attack,TRUE,TRUE,TRUE,,,100,450,,16,,,,,,1200,3,700,,200,,,1,,TRUE,,,,,,,,,,,DuelistProjectile,,,,,,,,,,,,,cordelius_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
DuelistUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,27,,,,TRUE,,,,,,150,,,1,,TRUE,,,,,,,,,,,DuelistUltiProjectile,DuelistOverchargedUltiProjectile,,,,,,,,,,,,cordelius_ulti_atk,cordelius_def_oc_muzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReviverWeapon,Attack,TRUE,,TRUE,,1,250,150,,10,,,,,,1500,3,1200,,1000,,,,,,,,,,,,,,,,,,,ReviverDamageArea,,,,TRUE,,,,,,luchador_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
ReviverUlti,Attack,TRUE,TRUE,TRUE,,,500,150,,28,,,,,,2000,,,,100,,,1,,TRUE,,,,,,,,,,,ReviverUltiProjectile,,,,,,,,,,,,,doug_def_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CookerWeapon,Attack,TRUE,TRUE,TRUE,,,50,650,,27,,,,,,1500,3,260,,100,40,1,1,,TRUE,,,,,,,,,,,CookerProjectile,,,,,,,,,,,,,pam_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
CookerUlti,Attack,TRUE,,TRUE,,1,250,150,300,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,CookerUltiExplosion,,CookerOverchargedUltiExplosion,CookerOverchargedUltiArea,,,,,,,shelly_def_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConductorWeapon,Attack,TRUE,TRUE,TRUE,,,350,500,,20,,,,,,2000,3,540,,150,,,1,,TRUE,,,,,,,,,,,ConductorProjectile,,,,,,,,,,,,,emz_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
ConductorUltiSpawn,Attack,TRUE,TRUE,TRUE,,,50,250,,30,,,,,,,,400,,200,,,1,,TRUE,,,,,,1,3,,,,ConductorUltiProjectile,,,,,,,,ConductorSign,,sc/ui.sc,button_ulti_chuck_1,button_ulti_blue_chuck_1,,,,,,,,,,,,,3,ConductorUltiCharge,,,,,,,,,,,,,,,
ConductorUltiCharge,Charge,,,TRUE,,,50,,,20,,,,,,,,1750,,,,,,,,,0,,3700,17,,,,,TRUE,,,,,,,,,,,sc/ui.sc,button_ulti_chuck_2,button_ulti_blue_chuck_2,,,,,,,chuck_def_ulti_use,fang_def_ulti_cover,,,Rhinostep,,4,ConductorUltiSpawn,,,,,,,,,,,,,,,
CocoonerWeapon,Attack,TRUE,TRUE,TRUE,,,500,150,,25,,,,,,2000,1,800,,100,0,,1,,TRUE,,,,,,,,,,,CocoonerProjectile,,,,,,,,,,,,,whirlwind_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
CocoonerUlti,Attack,TRUE,TRUE,TRUE,,2,251,250,,27,,,,,,,,,,200,,,1,,TRUE,,,,,,1,10,,,,CocoonerUltiProjectile,CocoonerOverchargedUltiProjectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CocoonerPetWeapon,Charge,,TRUE,TRUE,,,750,750,,6,,,,TRUE,,100,3,400,,,,,,,,,,,2200,4,,,,,TRUE,,,,,,,,,,,,,,,,mortis_def_sound,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
CocoonerPetUltiDummy,Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeaperWeapon,Charge,,TRUE,TRUE,,,750,,,12,,,,,,2600,3,1090,,,,,,,,,,,5200,18,,,,,,,,,LeaperWeaponArea,,,,,,,,,,,,mico_def_atk_jump,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
LeaperUlti,FlyJump,,,TRUE,,,1000,6000,1000,,,,,,,,,,,,,,,,,1025,,,,,,,,,,,,,LeaperUltiArea,,LeaperOverchargedUltiArea,,,,,,,,,,mico_def_ulti_casting,mico_def_oc_casting,,,,,,,,,,,,,,,,,,,,,,,,,
AttacherWeapon,Attack,TRUE,TRUE,TRUE,,,100,250,,11,,,,,,800,3,1000,,100,150,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,AttacherWeaponAlternate,,,,,,,,,,TRUE,,,TID_ATTACHER_WEAPON,,
AttacherUlti,Charge,TRUE,TRUE,TRUE,,,50,,,20,,,,,,,,1000,,,,,,,,,,,6000,19,,,,,,,,,,,,,TRUE,,,,,,,,crow_ulti,,,,,,,,,,1,AttacherUltiAlternate,,,,,,,,,,,,,,,
AttacherWeaponAlternate,Attack,TRUE,TRUE,TRUE,,,250,150,,22,,,,,,2000,3,1600,,100,0,,1,,TRUE,,,,,,,,,,,AttacherProjectile,,,,,,,,,,,,,barkeep_attack,,,,,,,,,,,,1,AttacherWeapon,,,,,,,,,,TRUE,,,TID_ATTACHER_WEAPON_ATTACHED,,
AttacherUltiAlternate,Charge,TRUE,TRUE,TRUE,,,50,,,6,,,,,,,,0,,,,,,,,,,,2000,5,,,,,,,,,,,,,,,,,,,,,crow_ulti,,,,,,,,,,1,AttacherUlti,,,,,,,,,,,,,,,
TwinsWeaponThrower,Attack,TRUE,TRUE,TRUE,,,250,300,,22,,,,,,2200,3,700,,300,0,,1,,TRUE,,,,,,,,,,,TwinsThrowerProjectile,,,,,,,,,,,,,twin_def_atk,,,,,,,,,,,,1,TwinsWeaponShotgun,,,,,,,,,,TRUE,,,,,
TwinsWeaponShotgun,Attack,TRUE,TRUE,TRUE,,,250,500,,20,,,,,,1800,3,150,,250,25,16,3,,TRUE,,,,,,,,,,,TwinsShotgunProjectile,,,,,,,,,,,,,max_def_atk,,,,,,,,,,,,1,TwinsWeaponThrower,,,,,,,,,,TRUE,,,,,
TwinsUlti,Attack,TRUE,TRUE,TRUE,,,50,250,,15,,,,,,,,,,200,,,1,,TRUE,,,,,,1,1,,,,TwinsUltiProjectile,,TwinsPet,,,,,,,,,,,shaman_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TwinsUltiDummy,Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AxeJugglerWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,24,,,,,,1500,3,460,,150,,,1,,TRUE,,,,,,,,,,,AxeJugglerProjectile,,,,,,,,,,,,,melodie_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
AxeJugglerUlti,Charge,,TRUE,TRUE,TRUE,,,,,16,,,,,,,,,,,,,,,,,,,3700,5,,,,,TRUE,,,,,,,,,,,,,,,,,,,,melodie_def_ulti,stu_def_ulti_cover,,,,,,,,,,,,,,,,,,,,,
InsectManWeapon,Attack,TRUE,TRUE,TRUE,,2,500,150,,30,,,,,,100,1,2200,,100,,17,1,,TRUE,,,,,,,,,,,MosquitoProjectile,,,,,,,,,,,,,angelo_def_atk,,,,,,,,,,,,1,InsectManWeaponPoison,,,,,,,,,,TRUE,,,,,50
InsectManUlti,Attack,TRUE,,TRUE,,,,,,,,,,,,,,500,,70,,,,,,,,,,,,,,,,,,,InsectManUltiDamageArea,InsectManUltiSwitchSkillArea,,,,,,,,,,,emz_def_ulti_use,,,,Dummy_effect,,,,,,,,,,,,,,,,,,,,,,
InsectManWeaponPoison,Attack,TRUE,TRUE,TRUE,,,500,150,,30,,,,,,100,1,2200,,100,,17,1,,TRUE,,,,,,,,,,,MosquitoProjectilePoison,,,,,,,,,,,,,angelo_def_atk,,,,,,,,,,,,1,InsectManWeapon,,,,,,,,,,TRUE,,,,,50
InsectManChargeGadget,Charge,,TRUE,TRUE,,,50,1000,,18,,,,,,100,1,,,760,0,12,1,,,,,,2000,20,,,,,,,,,InsectManGadgetDamageArea,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,TRUE,,,,,
"DragonRiderWeapon","Attack","true","true","true",,2,250,500,,12,,,,,,1000,3,600,,500,,,1,,"true",,,,,,,,,,,"DragonRiderProjectile",,,,,,,,,,,,,,,,,,,,,,,,,1,"DragonRiderDragonWeapon",,,,,,,,,,"true",,,,,
"DragonRiderDragonWeapon","Attack","true","true","true",,2,60,120,,17,,,,,,220,40,80,,120,90,,4,,"true",,,,,,,,,,,"DragonRiderDragonProjectile",,,,,,,,,,,,,,,,,,,,,,,,,1,"DragonRiderWeapon",,,,,,,,,"true","true",,,,,
"DragonRiderUlti","MountUp",,,"true",,,600,600,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"draco_def_ulti_use",,,,,,,,,,,,,,,,,,,,,,,,,,200
"AmbusherWeapon","Attack","true","true","true",,,50,150,,6,,,,,,800,1,1200,,150,0,,1,,"true",,,,,,,,,,,"AmbusherProjectile",,,,,,,,,,,,,"bea_def_atk",,,,,,,,,,,,,,,,,,,,,,,"true",,,,,
"AmbusherUlti","Attack","true","true","true",,,250,150,,27,,,,,,,,1000,,150,,,1,,"true",,,,,,,,,,,"AmbusherUltiProjectile","AmbusherOverchargedUltiProjectile",,,,,,,,,,,,"cordelius_ulti_atk","cordelius_def_oc_muzzle",,,,,,,,,,,1,"AmbusherUlti2",,,,,,,,,,,,,,,
"AmbusherUlti2","Attack","true","true","true",,,250,150,,27,,,,,,,,1000,,150,,,1,,"true",,,,,,,,,,,"AmbusherUltiProjectile2","AmbusherOverchargedUltiProjectile2",,,,,,,,,,,,"cordelius_ulti_atk","cordelius_def_oc_muzzle",,,,,,,,,,,1,,,,,,,,,,,,,,,,
"GodzillaWeapon1","Attack","true","true","true","true",2,50,700,,13,,,,,,800,1,2000,,700,100,,1,,"true",,,,,,,,,,,,,,,,,,,,,,,,"godzilla_atk_claw",,,,,,,,,,,,2,"GodzillaWeapon2",,,,,,,,,,"true",,,,,
"GodzillaWeapon2","Attack","true","true","true","true",2,50,700,,13,,,,,,800,1,2000,,700,100,,1,,"true",,,,,,,,,,,,,,,,,,,,,,,,"godzilla_atk_bite",,,,,,,,,,,,2,"GodzillaWeapon1",,,,,,,,,,"true",,,,,
"GodzillaUlti","Attack","false","true","true",,,50,2000,,30,,,,,,,,1000,,100,180,2,1,,"true",,,,,,,,,,,"Godzilla1UltiProjectile",,,,,,,,,,,,,"godzilla_ulti",,,,,,,,,,,,,,,,,,,,,,,,,,,,
