"Name","SpawnCondition","SpawnConditionData","BossTraits","SetupHpThresholds","VulnerableStateStartTicks","VulnerableStateDurationTicks","VulnerableStatusEffect","AwakeDistance","MovableTileUpDownLeftRight","EscapeDistance","NumSkills","AttackSkills","AttackMaxCount","AttackMaxCountIsExact","DamageIncrease","ProjectileSpeedIncrease","AttackPreDelayTicks","AttackCooldownTicks","AttackIndicatorStyles","AttackIndicatorAreaEffects","AttackIndicatorDistances","AttackIndicatorAddWidth","MoveStyle","SkipForWin","SpawnBossOnDeath","AutoDeathAfterAttackCycle","PlayLoseAnimOnDeath","CountToKill","PhaseNumber","DropPowerCubeCount","SpawnTeamMateTime","SkillTPCameraType","BattleIntroFrameLabel","BattleIntroTomlConfigId","BossModeNameTID","ChatSuggestionItemName","GameModeIconName","GameModeRoomIconName","ChargeRadiusMod","SpawnedPetRandomSkin","HideInMapPreview","EnrageEnabled","IgnoreBotTargeting","NextStageAnnouncementTID"
"MegaBossRocketGirlL1",,,"MB_Colette_ProjectilSize",,250,100,"MegaBossVulnerableGen",15,"15;15;15;15",-1,7,"MegaBossRocketGirlJump;MegaBossRocketGirlWeaponBasic;MegaBossRocketGirlWeaponRotatingStream;MegaBossRocketGirlUlti;MegaBossRocketGirlMatryoshka;MegaBossRocketGirlRocketRain;MegaBossRocketGirlUlti","0;2;1;1;0;0;0","0;0;0;0;0;0;0",0,-15,"20;20;25;25;35;40;25","20;20;125;35;65;60;35","0;3;3;1;1;1;1","-;-;-;MegaBossCrowMidSizeIndicator;MegaBossWarning360;MegaBossWarning360;MegaBossCrowMidSizeIndicator","-1;-1;-1;-1;0;0;-1","0;400;400;0;0;0;0","1;1;1;1;1;1;1",,,"FALSE",,"TRUE",,,10,"0;0;0;0;0;0;0","boss_dragons_grom","boss_nano_brock","TID_MEGA_BOSS_TITLE_NANO_BOSSES","chat_letsplay_boss_nano_brock","event_icon_boss_nano_brock","event_gameroom_boss_nano_brock",,,,"TRUE",,
,,,,,350,60,,,,,,,"0;2;1;1;0;0;0",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;2;1;1;1;0;0",,75,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;1;2;1;0;0",,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;1;2;1;0;0",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;1;3;1;0;0",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossRocketGirlL2",,,"MB_Colette_ProjectilSize",,250,100,"MegaBossVulnerableGen",15,"15;15;15;15",-1,7,"MegaBossRocketGirlJump;MegaBossRocketGirlWeaponBasic;MegaBossRocketGirlWeaponRotatingStream;MegaBossRocketGirlUlti;MegaBossRocketGirlChargeJump;MegaBossRocketGirlRocketRain;MegaBossRocketGirlUlti","1;2;1;1;1;0;0","0;0;0;0;0;0;0",0,-15,"20;20;25;25;35;40;25","20;20;125;35;35;60;35","0;3;0;1;3;1;1","-;-;-;MegaBossCrowMidSizeIndicator;-;MegaBossWarning360;MegaBossCrowMidSizeIndicator","-1;-1;-1;-1;-1;0;-1","0;550;0;0;200;0;0","1;1;1;1;1;1;1",,"MegaBossRocketGirlL3","FALSE",,"TRUE",,,10,"0;0;0;0;0;0;0","boss_dragons_grom","boss_nano_brock","TID_MEGA_BOSS_TITLE_NANO_BOSSES","chat_letsplay_boss_nano_brock","event_icon_boss_nano_brock","event_gameroom_boss_nano_brock",,,,"TRUE",,
,,,,,350,60,,,,,,,"1;2;1;1;1;0;0",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;2;1;2;1;0;0",,75,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;1;2;1;0;1",,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;1;3;1;0;1",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;1;3;1;0;2",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossRocketGirlL3",,,"MB_DragonCrowL1_ProjectilSize",,250,100,"MegaBossVulnerableGen",15,"15;15;15;15",-1,7,"MegaBossRocketGirlJump;MegaBossRocketGirlWeaponBasic;MegaBossRocketGirlWeaponRotatingStreamOvercharged;MegaBossRocketGirlUltiOvercharged;MegaBossRocketGirlChargeJump;MegaBossRocketGirlRocketRain;MegaBossRocketGirlUltiOvercharged","1;2;1;1;1;1;1","0;0;0;0;0;0;0",0,-15,"20;16;20;25;30;35;25","20;16;110;25;25;35;35","0;3;0;1;3;1;1","-;-;-;MegaBossIndicatorLarge;-;MegaBossWarning360;MegaBossIndicatorLarge","-1;-1;-1;-1;-1;0;-1","0;550;0;0;200;0;0","1;1;1;1;1;1;1",,,"FALSE","TRUE","TRUE",,,10,"0;0;0;0;0;0;0","boss_dragons_grom","boss_nano_brock","TID_MEGA_BOSS_TITLE_NANO_BOSSES","chat_letsplay_boss_nano_brock","event_icon_boss_nano_brock","event_gameroom_boss_nano_brock",,,,"TRUE",,"TID_MEGABOSS_INGAME_NEXT_STAGE"
,,,,,350,60,,,,,,,"1;2;1;2;2;1;1",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;2;1;2;2;1;1",,75,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;1;2;2;1;2",,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;1;3;2;1;2",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;1;3;3;1;2",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossKatanaKid",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,6,"MegaKatanaKidPushAway;MegaKatanaKidWeaponRanged;MegaKatanaKidHook;MegaKatanaKidWeaponSlash;MegaKatanaKid360Fish;MegaKatanaKidUlti","0;1;1;1;1;0","0;0;0;0;0;0",0,-15,"25;25;20;40;25;40","15;25;18;18;40;25","1;3;3;4;1;1","MegaBossWarning360;-;-;-;MegaBossWarning360;MegaKatanaKidUltiIndicator","0;-1;-1;-1;100;-1","0;150;0;0;0;0","1;1;1;0;1;1",,,"FALSE","TRUE","TRUE",,,-1,"0;0;0;0;0;0","boss_dragons_grom","boss_nano_nori","TID_MEGA_BOSS_TITLE_NANO_BOSSES","chat_letsplay_boss_nano_nori","event_icon_boss_nano_nori","event_gameroom_boss_nano_nori",,,,"TRUE",,
,,,,,0,0,,,,,,,"0;2;1;1;1;0",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;1;1;1",,75,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;1;1;2",,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;3;2;1;1;2",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;3;2;1;1;2",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossKatanaKid_FishSpawner1",,,"MB_KatanaKidFishSpawnerUntargetable;MB_KatanaKidFishSpawnerAreaSize",,250,100,"MegaBossVulnerableGen",7,"50;50;50;50",-1,3,"MegaBossKatanaKid_FishSpawnerPushAway;MegaBossKatanaKid_FishSpawner360Fish;MegaBossKatanaKid_FishSpawnerIdle","0;1;1","0;0;0",0,-15,"20;25;40","20;20;80","0;1;0","-;MegaBossWarning360;-","-1;0;0","0;0;0","1;1;1","TRUE",,"FALSE",,,,,10,"0;0;0","boss_dragons_grom","boss_nano_nori","TID_MEGA_BOSS_TITLE_NANO_BOSSES","chat_letsplay_boss_nano_nori","event_icon_boss_nano_nori","event_gameroom_boss_nano_nori",,,"TRUE","TRUE",,
,,,,,350,60,,,,,,,"0;1;1",,50,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;1;1",,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",,200,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossKatanaKid_FishSpawner2",,,"MB_KatanaKidFishSpawnerUntargetable;MB_KatanaKidFishSpawnerAreaSize",,250,100,"MegaBossVulnerableGen",7,"50;50;50;50",-1,3,"MegaBossKatanaKid_FishSpawnerPushAway;MegaBossKatanaKid_FishSpawnerIdle;MegaBossKatanaKid_FishSpawner360Fish","0;1;1","0;0;0",0,-15,"20;40;25","20;80;20","0;0;1","-;-;MegaBossWarning360","-1;0;0","0;0;0","1;1;1","TRUE",,"FALSE",,,,,10,"0;0;0","boss_dragons_grom","boss_nano_nori","TID_MEGA_BOSS_TITLE_NANO_BOSSES","chat_letsplay_boss_nano_nori","event_icon_boss_nano_nori","event_gameroom_boss_nano_nori",,,"TRUE","TRUE",,
,,,,,350,60,,,,,,,"0;1;1",,50,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;1;1",,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",,200,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MechaVanMiniMeleeNinja",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanMeleeNinjaStab;MechaVanMeleeNinjaPull","0;3;1","0;0;0",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,"FALSE",,"TRUE",,,-1,"0;0;0","default",,,,,,,,,"TRUE",,
"MechaVanMiniSniper",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanSniperPiercing;MechaVanSniperLongRange","0;4;2","0;0;0",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,"FALSE",,"TRUE",,,-1,"0;0;0","default",,,,,,,,,"TRUE",,
"MechaVanMiniTank",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanTankShortRange;MechaVanTankDash","0;3;1","0;0;0",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,"FALSE",,"TRUE",,,-1,"0;0;0","default",,,,,,,,,"TRUE",,
"MechaVanBossMeleeNinja",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanMeleeNinjaStab;MechaVanMeleeNinjaPull","0;3;1","0;0;0",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,"FALSE",,"TRUE",,,-1,"0;0;0","default",,,,,,,,,"TRUE",,
"MechaVanBossSniper",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanSniperPiercing;MechaVanSniperLongRange","0;4;2","0;0;0",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,"FALSE",,"TRUE",,,-1,"0;0;0","default",,,,,,,,,"TRUE",,
"MechaVanBossTank",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanTankShortRange;MechaVanTankDash","0;3;1","0;0;0",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,"FALSE",,"TRUE",,,-1,"0;0;0","default",,,,,,,,,"TRUE",,
"MechaVanFriendlyMegBoss",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,2,"MegaKenjiPushAway;MechaVanFriendlyMegBossWeapon","0;1","0;0",0,-15,"0;20","0;20","0;0","-;-","0;-1","0;0","1;0",,,"FALSE",,"TRUE",,,-1,"0;0;0","default",,,,,,,,,"TRUE",,
"NanoGuardMelee",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanMeleeNinjaStab;MechaVanMeleeNinjaPull","0;3;1","0;0;0",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,"FALSE",,"TRUE",,,-1,"0;0;0","default",,,,,,,,,"TRUE",,
"NanoGuardRanged",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanSniperPiercing;MechaVanSniperLongRange","0;4;2","0;0;0",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,"FALSE",,"TRUE",,,-1,"0;0;0","default",,,,,,,,,"TRUE",,
"NanoGuardTank",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,3,"MegaKenjiPushAway;MechaVanTankShortRange;MechaVanTankDash","0;3;1","0;0;0",0,-15,"0;10;10","0;10;10","0;0;0","-;-","0;-1;-1","0;0;0","1;1;0",,,"FALSE",,"TRUE",,,-1,"0;0;0","default",,,,,,,,,"TRUE",,
"MegaBossDuo",,,"MB_Duo_Shield;MB_CCImmunity",,0,0,"MegaBossVulnerableGen",7,"50;50;50;50",8,2,"MegaKenjiPushAway;MegaBossDuoQuiz","0;3","0;1",0,-15,"20;25","20;25","0;0","-;-","-1;-1","0;0","0;0",,"MegaBossDuoAngry","TRUE",,"TRUE",,,10,"0;0","default","boss_duolingo","TID_MEGA_BOSS_TITLE_BOSS_QUIZ","chat_letsplay_boss_quiz","event_icon_boss_quiz","event_gameroom_boss_quiz",,,,"FALSE","TRUE",
,,,,,0,0,,,,,,,"0;3",,0,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;4",,15,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;4",,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;5",,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;5",,100,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossDuo5P",,,"MB_Duo_Shield;MB_CCImmunity",,0,0,"MegaBossVulnerableGen",7,"50;50;50;50",8,2,"MegaKenjiPushAway;MegaBossDuoQuiz","0;3","0;1",0,-15,"20;25","20;25","0;0","-;-","-1;-1","0;0","0;0",,"MegaBossDuoAngry5P","TRUE",,"TRUE",,,10,"0;0","default","boss_duolingo","TID_MEGA_BOSS_TITLE_BOSS_QUIZ","chat_letsplay_boss_quiz","event_icon_boss_quiz","event_gameroom_boss_quiz",,,,"FALSE","TRUE",
,,,,,0,0,,,,,,,"0;3",,30,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;4",,30,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;4",,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;5",,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;5",,100,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossDuo20P",,,"MB_Duo_Shield;MB_CCImmunity",,0,0,"MegaBossVulnerableGen",7,"50;50;50;50",8,2,"MegaKenjiPushAway;MegaBossDuoQuiz","0;3","0;1",0,-15,"20;25","20;25","0;0","-;-","-1;-1","0;0","0;0",,"MegaBossDuoAngry20P","TRUE",,"TRUE",,,10,"0;0","default","boss_duolingo","TID_MEGA_BOSS_TITLE_BOSS_QUIZ","chat_letsplay_boss_quiz","event_icon_boss_quiz","event_gameroom_boss_quiz",,,,"FALSE","TRUE",
,,,,,0,0,,,,,,,"0;3",,30,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;4",,30,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;4",,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;5",,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;5",,100,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossDuoAngry",,,,,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,5,"MegaKenjiPushAway;MegaBossDuoCharge;MegaBossDuoJump;MegaBossDuoWeapon;MegaBossDuoWeapon360","0;1;1;1;0","0;0;0;0;0",0,-15,"20;25;35;32;30","20;30;30;35;40","0;3;1;0;0","'''-;-;MegaBossIndicatorLarge;-;-","0;-1;-1;-1;0","0;120;180;250;0","1;1;1;1;1",,,"FALSE","TRUE","TRUE",,,-1,"0;0;0;0;0","default","boss_duolingo_angry","TID_MEGA_BOSS_TITLE_BOSS_QUIZ","chat_letsplay_boss_quiz","event_icon_boss_quiz","event_gameroom_boss_quiz",,,,"FALSE",,"TID_DUOBOSS_NEXT_STAGE"
,,,,,0,0,,,,,,,"0;1;1;2;1",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1;2;1",,75,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1;3;2",,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;2;3;3",,125,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;3;4",,150,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossDuoAngry5P",,,"MB_Duo_AreaEffectSize_5P;MB_Duo_ProjectilSize_5P",,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,5,"MegaKenjiPushAway;MegaBossDuoCharge;MegaBossDuoJump;MegaBossDuoWeapon;MegaBossDuoWeapon360","0;1;1;1;0","0;0;0;0;0",0,-15,"20;25;40;32;30","20;30;30;35;40","0;3;1;0;0","'''-;-;MegaBossIndicatorLarge;-;-","0;-1;-1;-1;0","0;120;180;250;0","1;1;1;1;1",,,"FALSE","TRUE","TRUE",,,-1,"0;0;0;0;0","default","boss_duolingo_angry","TID_MEGA_BOSS_TITLE_BOSS_QUIZ","chat_letsplay_boss_quiz","event_icon_boss_quiz","event_gameroom_boss_quiz",,,,"FALSE",,"TID_DUOBOSS_NEXT_STAGE"
,,,,,0,0,,,,,,,"0;1;1;2;1",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1;2;1",,100,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1;3;2",,125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;2;3;3",,150,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;3;4",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossDuoAngry20P",,,"MB_Duo_AreaEffectSize_20P;MB_Duo_ProjectilSize_20P",,0,0,"MegaBossVulnerableGen",10,"50;50;50;50",-1,5,"MegaKenjiPushAway;MegaBossDuoCharge;MegaBossDuoJump;MegaBossDuoWeapon;MegaBossDuoWeapon360","0;1;1;1;0","0;0;0;0;0",0,-15,"20;25;45;32;30","20;30;30;35;40","0;3;1;0;0","'''-;-;MegaBossIndicatorLarge;-;-","0;-1;-1;-1;0","0;120;180;250;0","1;1;1;1;1",,,"FALSE","TRUE","TRUE",,,-1,"0;0;0;0;0","default","boss_duolingo_angry","TID_MEGA_BOSS_TITLE_BOSS_QUIZ","chat_letsplay_boss_quiz","event_icon_boss_quiz","event_gameroom_boss_quiz",,,,"FALSE",,"TID_DUOBOSS_NEXT_STAGE"
,,,,,0,0,,,,,,,"0;1;1;2;1",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1;2;1",,100,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1;3;2",,125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;2;3;3",,150,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;3;4",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
