"TID","NL"
"TID_OLYMPUS_SKINS_INFO","Set van skins"
"TID_TENCENT_DOLPHIN_DOWNLOADING_69","获取版本信息"
"TID_CAT_LEON_SKIN","STRAATKAT-LEON"
"TID_CAT_LEON_SKIN_SHOP","STRAATKAT-LEON"
"TID_BUBBLEGUM_BIBI_SKIN","KAUWGUM-BIBI"
"TID_BUBBLEGUM_BIBI_SKIN_SHOP","KAUWGUM-\nBIBI"
"TID_ARES_NANI_SKIN","ARES-NANI"
"TID_ARES_NANI_SKIN_SHOP","ARES-NANI"
"TID_CERBERUS_TICK_SKIN","KERBEROS-TICK"
"TID_CERBERUS_TICK_SKIN_SHOP","KERBEROS-TICK"
"TID_ZEUS_BROCK_SKIN","ZEUS-BROCK"
"TID_ZEUS_BROCK_SKIN_SHOP","ZEUS-BROCK"
"TID_CROCODILE_BUSTER_SKIN","KROKODIL-BUSTER"
"TID_CROCODILE_BUSTER_SKIN_SHOP","KROKODIL-\nBUSTER"
"TID_LEOPARD_MAX_SKIN","LUIPAARD-MAX"
"TID_LEOPARD_MAX_SKIN_SHOP","LUIPAARD-MAX"
"TID_PANTHER_MAX_SKIN","PANTER-MAX"
"TID_PANTHER_MAX_SKIN_SHOP","PANTER-MAX"
"TID_MONKEY_COLT_SKIN","BANANEN-COLT"
"TID_MONKEY_COLT_SKIN_SHOP","BANANEN-COLT"
"TID_JAGUAR_MEG_SKIN","JAGUAR-MEG"
"TID_JAGUAR_MEG_SKIN_SHOP","JAGUAR-MEG"
"TID_GOBLIN_CARL_SKIN","KOBOLD-CARL"
"TID_GOBLIN_CARL_SKIN_SHOP","KOBOLD-CARL"
"TID_KAIJU_BUZZ_SKIN","KAIJU-BUZZ"
"TID_KAIJU_BUZZ_SKIN_SHOP","KAIJU-BUZZ"
"TID_VIGILANTE_EDGAR_SKIN","BLACKBIRD-EDGAR"
"TID_VIGILANTE_EDGAR_SKIN_SHOP","BLACKBIRD-\nEDGAR"
"TID_HARAJUKU_EMZ_SKIN","HARAJUKU-EMZ"
"TID_HARAJUKU_EMZ_SKIN_SHOP","HARAJUKU-EMZ"
"TID_SKIN_INFO_CAMPAIGN_CLASHIP","CLASH-VERHALEN"
"TID_SKIN_INFO_CAMPAIGN_GREEK","LEGENDES VAN OLYMPUS"
"TID_SKIN_INFO_CAMPAIGN_LUNAREVENT","LUNAIRE VERHALEN"
"TID_SKIN_INFO_CAMPAIGN_SUMMER","ZOMERS IN SUPERSTAD"
"TID_SKIN_INFO_CAMPAIGN_ONCEUPON","ER WAS EENS"
"TID_SKIN_INFO_CAMPAIGN_ROBOTSMONSTERS","ROBOTS EN MONSTERS"
"TID_SKIN_INFO_CAMPAIGN_OUTLAWS","BANDIETEN"
"TID_COSMETIC_COINS_INFO_TITLE","BLING"
"TID_COSMETIC_COINS_INFO_TXT1","Gebruik bling om skins, reacties, sprays en profielpictogrammen te kopen."
"TID_MAISIE","MAISIE"
"TID_MAISIE_SHORT_DESC","SCHUTTER"
"TID_MAISIE_DESC","Maisie werkt als veiligheidscoördinator, maar diep van binnen geniet ze van gevaarlijke situaties. Soms lijkt het wel alsof ze dergelijke situaties zelf veroorzaakt."
"TID_MAISIE_WEAPON","RAZENDE RAKET"
"TID_MAISIE_WEAPON_DESC","Hoe verder je rent, hoe sneller de raketten van Maisie je bereiken."
"TID_MAISIE_ULTI","SCHOKGOLF"
"TID_MAISIE_ULTI_DESC","Maisie veroorzaakt een aardschok om vijanden buiten haar persoonlijke ruimte te houden."
"TID_SPEC_ABI_MAISIE_1","UITERSTE PRECISIE"
"TID_SPEC_ABI_MAISIE_1_DESC","De raketten van Maisie richten <c00cc00><VALUE1>%</c> meer schade aan bij hun maximale bereik."
"TID_SPEC_ABI_MAISIE_2","AARDBEVING"
"TID_SPEC_ABI_MAISIE_2_DESC","De super van Maisie laat geraakte vijanden <c00cc00><VALUE2></c> seconden trager bewegen."
"TID_ACCESSORY_MAISIE_GADGET_1","LOS!"
"TID_ACCESSORY_MAISIE_GADGET_1_DESC","Maisie schiet op de grond en sprint naar voren, waarbij geraakte vijanden <c00cc00><VALUE1></c> seconden verdoofd worden."
"TID_ACCESSORY_MAISIE_GADGET_2","RAKETTENPRET"
"TID_ACCESSORY_MAISIE_GADGET_2_DESC","Maisie herlaadt meteen <c00cc00><VALUE1></c> munitie en verhoogt de aanvalsschade van haar volgende hoofdaanval met <c00cc00><VALUE2>%</c> van de ontbrekende levenspunten van het doelwit."
"TID_FISHTANK","HANK"
"TID_FISHTANK_SHORT_DESC","TANK"
"TID_FISHTANK_DESC","Hank is een garnaal die met zijn tank op een missie is om zeedieren overal uit markten en restaurants te bevrijden. Chef-koks, jullie zijn gewaarschuwd!"
"TID_FISHTANK_WEAPON","BALLONNENKNAL"
"TID_FISHTANK_WEAPON_DESC","Hoe langer je zijn aanval oplaadt, hoe meer schade de knal veroorzaakt."
"TID_FISHTANK_ULTI","VISTORPEDO'S"
"TID_FISHTANK_ULTI_DESC","Hank lanceert vistorpedo's in alle richtingen en geneest een deel van zijn ontbrekende gezondheid."
"TID_SPEC_ABI_FISHTANK_1","KNALLEND HARD"
"TID_SPEC_ABI_FISHTANK_1_DESC","Wanneer zijn Ballonnenknal meer dan <c00cc00><VALUE1>%</c> is opgeladen, beweegt Hank <c00cc00><VALUE2>%</c> sneller."
"TID_SPEC_ABI_FISHTANK_2","ZOEK DEKKING!"
"TID_SPEC_ABI_FISHTANK_2_DESC","Hank loopt <c00cc00><VALUE1>%</c> minder schade op als hij in de buurt is van een muur."
"TID_ACCESSORY_FISHTANK_GADGET_1","WATERBALLONNEN"
"TID_ACCESSORY_FISHTANK_GADGET_1_DESC","De volgende Ballonnenknal vertraagt vijanden gedurende <c00cc00><VALUE1></c> seconden."
"TID_ACCESSORY_FISHTANK_GADGET_2","BARRICADE"
"TID_ACCESSORY_FISHTANK_GADGET_2_DESC","Hank loopt <c00cc00><VALUE1>%</c> minder schade op gedurende <c00cc00><VALUE2></c> seconden."
"TID_FISHTANK_OVERCHARGE","VISSIGE VOLGERS"
"TID_FISHTANK_OVERCHARGE_DESC","De vistorpedo's die Hank met zijn super afvuurt, zijn geüpgraded om doelwitten te achtervolgen!"
"TID_STAR_POINTS_TO_COSMETIC_COINS_POPUP_NEW_GEAR","ONTDEK DE NIEUWE VERZAMELINGSFUNCTIE"
"TID_STAR_POINTS_TO_COSMETIC_COINS_POPUP_NEW_GEAR_DESCRIPTION","Je kunt bling gebruiken om de meeste skins, reacties, sprays en profielpictogrammen te kopen."
"TID_STAR_POINTS_TO_COSMETIC_COINS_POPUP_INFO","Bling is de nieuwe manier om cosmetische items te kopen. Sterpunten zijn niet langer beschikbaar. Alle sterpunten die je had, zijn omgezet in bling.\n\nGebruik de nieuwe verzamelingsfunctie in de winkel om alle beschikbare cosmetische items te bekijken en geef je knokkers een nieuwe look!"
"TID_STAR_POINTS_TO_COSMETIC_COINS_POPUP_REIMBURSEMENT","VERGOEDING:"
"TID_STAR_POINTS_TO_COSMETIC_COINS_POPUP_AMOUNTS_DESC","<STAR_POINTS> STERPUNTEN"
"TID_STAR_POINTS_TO_COSMETIC_COINS_POPUP_CLAIM","OPHALEN"
"TID_STAR_POINTS_TO_COSMETIC_COINS_POPUP_TITLE","ONTGRENDEL COSMETISCHE ITEMS MET BLING!"
"TID_BLING","Bling"
"TID_SHOP_OFFER_TITLE_45","BLING"
"TID_SHOP_OFFER_INFO_45","Bevat <AMOUNT> bling. Verzamel bling om skins, reacties, sprays en profielpictogrammen te kopen."
"TID_GATCHA_SCREEN_BLING_DROP_TITLE","BLING"
"TID_GATCHA_SCREEN_BLING_DROP_DESC","Gebruik bling om skins, reacties, sprays en profielpictogrammen te kopen."
"TID_BLING_CAP_REACHED_TITLE","BLINGLIMIET BEREIKT"
"TID_BLING_CAP_REACHED_DESC","Geef bling uit aan skins, reacties, sprays of profielpictogrammen om meer bling te kunnen verzamelen."
"TID_BLING_CAP_REACHED_DESC_OFFER","Geef bling uit aan skins, reacties, sprays of profielpictogrammen om meer bling te kunnen verzamelen.\n\nDe bling die je verzamelt nadat je de limiet hebt bereikt, zal voor altijd verloren gaan!"
"TID_BLING_CAP_REACHED_AMOUNT","<NUM>/<MAX>"
"TID_BLING_CAP_REACHED_SHOP_BUTTON","NAAR WINKEL"
"TID_TOP_TOOL_TIP_BLING","Met <c53C5F7>bling</c> kun je skins, reacties, sprays en profielpictogrammen kopen.\n\nJe kunt bling verdienen via de Brawl Pass, na de trofeeënreset, via de laddermodus, Starr Drops en door nieuwe rangen te bereiken met je knokkers.\n\nMaximum: <c53C5F7><MAX></c><EXTRAINFO>"
"TID_TOP_TOOL_TIP_BLING_GENERIC","Met <c53C5F7>bling</c> kun je skins, reacties, sprays en profielpictogrammen kopen.\n\nJe kunt bling verdienen via de Brawl Pass, na de trofeeënreset, via de laddermodus, Starr Drops en door nieuwe rangen te bereiken met je knokkers."
"TID_STAR_POINTS_TO_BLING_NOTIFICATION","Al je sterpunten zijn omgezet in <AMOUNT> bling. Je kunt bling gebruiken om cosmetische items zoals skins, reacties, sprays en profielpictogrammen te kopen in de winkel."
"TID_STAR_POINTS_TO_BLING_POPUP_TITLE","EEN NIEUWE MANIER OM TE WINKELEN!"
"TID_LOGIN_RESTRICTED_BY_LOCATION","Aanmelden vanuit je huidige locatie wordt niet ondersteund."
"TID_CATALOGUE_BROWSE_COLLECTIONS","VERZAMELINGEN BEKIJKEN"
"TID_NOT_ENOUGH_BLING","Niet genoeg bling!"
"TID_HERO_INFO_BUY_MISSING_BLING1","JE HEBT NOG <MISSINGBLING> BLING NODIG!"
"TID_HERO_INFO_BUY_MISSING_BLING2","Wil je dit item nu kopen met bling en edelstenen?"
"TID_HERO_INFO_BUY_MISSING_BLING_GEMS_ONLY","Wil je dit item nu kopen met <GEMS> edelstenen?"
"TID_HERO_INFO_BUY_MISSING_BLING_GEMS2","Verzamel nog <MISSINGGEMS> edelstenen om de ontbrekende bling te kopen."
"TID_NOT_ENOUGH_BLING_TITLE","Verzamel meer edelstenen om de ontbrekende bling te kopen."
"TID_HERO_INFO_BUY_MISSING_GEMS1","JE HEBT NOG <MISSINGGEMS> EDELSTENEN NODIG!"
"TID_HERO_INFO_BUY_MISSING_GEMS2","Verzamel nog <MISSINGGEMS> edelstenen om dit item te kopen."
"TID_HERO_INFO_BUY_MISSING_COINS1","JE HEBT NOG <MISSINGCOINS> MUNTEN NODIG!"
"TID_HERO_INFO_BUY_MISSING_COINS2","Verzamel nog <MISSINGCOINS> edelstenen om de ontbrekende munten te kopen."
"TID_DIRECT_PURCHASE_GEM_PACKS_DESC_GEMS","Verzamel nog <cC5F724><REQUIREDGEMS> edelstenen</c> om dit item te kopen."
"TID_DIRECT_PURCHASE_GEM_PACKS_DESC_BLING","Verzamel nog <cC5F724><REQUIREDGEMS> edelstenen</c> om de ontbrekende bling te kopen."
"TID_DIRECT_PURCHASE_GEM_PACKS_DESC_BRAWLER","Verzamel nog <cC5F724><REQUIREDGEMS> edelstenen</c> om de ontbrekende grondstoffen te kopen."
"TID_DIRECT_PURCHASE_GEM_PACKS_DESC_COLLAB_POINTS","Verzamel <cC5F724>nog <REQUIREDGEMS> edelstenen</c> om het ontbrekende snoep te kopen."
"TID_DIRECT_PURCHASE_GEM_PACKS_DESC_COINS","Verzamel nog <cC5F724><REQUIREDCOINS> munten</c> om dit item te kopen."
"TID_DIRECT_PURCHASE_COIN_PACKS_TITLE","MEER MUNTEN"
"TID_OFFER_POPUP_CONFIRMATION_POPUP_BLING","Weet je zeker dat je dit ITEM nu wilt kopen?"
"TID_CATALOG_OWNED","Je hebt dit item al."
"TID_CATALOG_REQUIRES_BRAWLER","Dit item vereist: <BRAWLER>."
"TID_CATALOG_NOT_AVAILABLE_FOR_SALE","Dit item is niet te koop."
"TID_CATALOG_BUY_OPTION_NOT_UNLOCKED_PL_SKIN","Deze skin kan alleen worden ontgrendeld via de laddermodus."
"TID_CATALOG_BUY_OPTION_NOT_UNLOCKED","Aankoopoptie niet ontgrendeld"
"TID_CATALOG_UNLOCK_WITH_SCID","Verbind je spel met Supercell ID om dit te ontgrendelen!"
"TID_CATALOG_UNLOCK_FROM_BRAWLPASS","Verkrijgbaar via de Brawl Pass"
"TID_CATALOG_UNLOCK_FROM_BRAWLPASS_AND_REQUIRES_HERO","Verkrijgbaar via de Brawl Pass na het ontgrendelen van: <BRAWLER>."
"TID_CATALOG_ITEM_BRAWLPASS_ONLY","Dit item hoort bij de Brawl Pass en wordt later beschikbaar."
"TID_CATALOG_BUTTON_BRAWLPASS_GO","GAAN!"
"TID_SHOP_OFFER_PURCHASE_ERROR_10","Deze aankoop is momenteel niet beschikbaar."
"TID_SHOP_OFFER_PURCHASE_ERROR_11","Aankopen met bling zijn nog niet beschikbaar."
"TID_SHOP_OFFER_PURCHASE_ERROR_12","Om hyperkracht aan te kopen, moet je <HERONAME> upgraden naar krachtlevel <LEVEL>."
"TID_SHOP_OFFER_PURCHASE_ERROR_14","Hiervoor moet je eerst de vorige aanbieding kopen!"
"TID_SHOP_OFFER_PURCHASE_ERROR_15","Dit is niet beschikbaar omdat je de vorige aanbieding niet hebt. Probeer het later opnieuw."
"TID_SHOP_OFFER_REQUIRED_HERO_LEVEL","Verreist krachtlevel <LEVEL> voor <HERONAME>."
"TID_CATALOG_BLING_PRICE_NOT_YET_AVAILABLE","Dit item kan later met bling worden gekocht."
"TID_CATALOG_GEM_PRICE_DISCOUNT_TIME","Speciale aanbieding: <TIME>"
"TID_SHOP_TOP_UP_WITH_GEMS","<GEMS> edelstenen toevoegen"
"TID_BATTLE_END_REPLAY_TITLE","HOOGTEPUNT"
"TID_FEAT_MOST_KILLS","Meeste uitschakelingen"
"TID_FEAT_MOST_DAMAGE","Meeste schade"
"TID_FEAT_MOST_HEAL","Meeste genezing"
"TID_EVENT_MODIFIER_19","TOPDOG"
"TID_EVENT_MODIFIER_DESC_19","Knokkers genezen niet geleidelijk aan, maar moeten in plaats daarvan helende hotdogs verzamelen die op de kaart verschijnen of door verslagen vijanden worden achtergelaten."
"TID_EVENT_MODIFIER_22","GETIMEDE ONTPLOFFING"
"TID_EVENT_MODIFIER_DESC_22","Objecten op de kaart worden geleidelijk aan vernietigd."
"TID_SHARK_HANK_SKIN","HAAIENTANK-HANK"
"TID_SHARK_HANK_SKIN_SHOP","HAAIENTANK-\nHANK"
"TID_TECH_MAISIE_SKIN","TECH-MAISIE"
"TID_TECH_MAISIE_SKIN_SHOP","TECH-MAISIE"
"TID_BRAWL_PASS_SEASON_17","DE REDDING"
"TID_TITLE_MASTERY_HANK","Eenmansleger"
"TID_TITLE_MASTERY_MAISIE","Onheilbrenger"
"TID_HOW_TO_GET_COSMETIC_COINS_INFO_TITLE","MEER BLING KRIJGEN"
"TID_HOW_TO_GET_COSMETIC_COINS_INFO_TXT1","Elke 5 rangen word je beloond met BLING."
"TID_HOW_TO_GET_COSMETIC_COINS_INFO_TXT2","Extra trofeeën worden aan het einde van de trofeeëndivisie omgezet in BLING."
"TID_HOW_TO_GET_COSMETIC_COINS_INFO_TXT3","Voor elke nieuwe ladderrang krijg je bling als beloning."
"TID_HOW_TO_GET_COSMETIC_COINS_INFO_SUBTITLE1","KNOKKERRANG OMHOOG"
"TID_HOW_TO_GET_COSMETIC_COINS_INFO_SUBTITLE2","RESET VAN TROFEEËN"
"TID_HOW_TO_GET_COSMETIC_COINS_INFO_SUBTITLE3","LADDERMODUS"
"TID_BATTLE_END_REPLAY_FOLLOWING","VOLGEND"
"TID_JUNGLE_QUEEN_MAISIE_SKIN","JUNGLEKONINGIN-MAISIE"
"TID_JUNGLE_QUEEN_MAISIE_SKIN_MAISIE","JUNGLEKONINGIN-\nMAISIE"
"TID_DUELIST","CORDELIUS"
"TID_DUELIST_SHORT_DESC","AANVALLER"
"TID_DUELIST_DESC","De tuinier en conciërge van het Betoverd bos. Hij is geobsedeerd door paddenstoelen en gedraagt zich vijandig tegen vreemden."
"TID_DUELIST_WEAPON","PADDENSTOELEN"
"TID_DUELIST_WEAPON_DESC","Cordelius gebruikt zijn tuingereedschap om twee paddenstoelen af te vuren die schade toebrengen bij impact."
"TID_DUELIST_ULTI","MIJN DOMEIN"
"TID_DUELIST_ULTI_DESC","Cordelius schiet een schaduwpaddenstoel die door muren gaat en die bij impact hem en zijn doelwit overbrengt naar het Schaduwrijk gedurende <c00cc00><VALUE1></c> seconden. Cordelius kan <c00cc00><VALUE2>%</c> sneller bewegen en <c00cc00><VALUE3>%</c> sneller herladen in het Schaduwrijk."
"TID_SPEC_ABI_DUELIST_1","NIET-EETBAAR"
"TID_SPEC_ABI_DUELIST_1_DESC","Als de tweede paddenstoel hetzelfde doelwit raakt als de eerste, wordt er <c00cc00><VALUE1>%</c> extra schade toegebracht."
"TID_SPEC_ABI_DUELIST_2","PADDENSTOELENDANS"
"TID_SPEC_ABI_DUELIST_2_DESC","Nadat hij zijn super heeft gebruikt, brengt Cordelius <c00cc00><VALUE1></c> paddenstoelen voort in het Schaduwrijk om bondgenoten te genezen of vijanden te beschadigen met <c00cc00><VALUE2></c> levenspunten wanneer ze worden opgeraapt."
"TID_ACCESSORY_DUELIST_GADGET_1","HUPSAKEE"
"TID_ACCESSORY_DUELIST_GADGET_1_DESC","Cordelius maakt een kleine sprong."
"TID_ACCESSORY_DUELIST_GADGET_2","GIFTIGE PADDENSTOEL"
"TID_ACCESSORY_DUELIST_GADGET_2_DESC","Cordelius schiet met zijn volgende hoofdaanval een giftige paddenstoel die de vijand er <c00cc00><VALUE1></c> seconden lang van weerhoudt om aan te vallen."
"TID_REVIVER","DOUG"
"TID_REVIVER_SHORT_DESC","HELPER"
"TID_REVIVER_DESC","De hotdogs van Doug zullen de houdbaarheidsdatum van je vrienden verlengen."
"TID_REVIVER_WEAPON","SNACKAANVAL"
"TID_REVIVER_WEAPON_DESC","Vers eten voor vrienden, bedorven eten voor vijanden. Bondgenoten genezen en vijanden lopen schade op."
"TID_REVIVER_ULTI","TWEEDE PORTIE"
"TID_REVIVER_ULTI_DESC","Een speciale, gekruide hotdog om een bondgenoot of Doug zichzelf te versterken. Wanneer de versterkte knokker wordt verslagen, keert deze terug met <c00cc00><VALUE1>%</c> gezondheid na een korte vertraging."
"TID_SPEC_ABI_REVIVER_1","FASTFOOD"
"TID_SPEC_ABI_REVIVER_1_DESC","Als Doug een bondgenoot tot leven wekt, herstelt hij zelf <c00cc00><VALUE1>%</c> van zijn maximale gezondheid."
"TID_SPEC_ABI_REVIVER_2","ZELFBEDIENING"
"TID_SPEC_ABI_REVIVER_2_DESC","Met zijn Snackaanval geneest Doug zichzelf met <c00cc00><VALUE1></c>."
"TID_ACCESSORY_REVIVER_GADGET_1","DUBBELE WORST"
"TID_ACCESSORY_REVIVER_GADGET_1_DESC","Dougs volgende Snackaanval kan alleen bondgenoten genezen, maar is dubbel zo effectief."
"TID_ACCESSORY_REVIVER_GADGET_2","EXTRA MOSTERD"
"TID_ACCESSORY_REVIVER_GADGET_2_DESC","Dougs volgende Snackaanval kan alleen vijanden beschadigen, maar is dubbel zo effectief."
"TID_REVIVER_OVERCHARGE","GRATIS TOPPINGS"
"TID_REVIVER_OVERCHARGE_DESC","Dougs hoofdaanval wordt ook gespiegeld voor de bondgenoot die versterkt is door de Tweede portie."
"TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL","LUNAIRE KNOKPARTIJEN"
"TID_ERROR_POP_UP_LOGIN_BLOCKED_TITLE","AANMELDING GEBLOKKEERD"
"TID_BUTTON_READ_MORE","MEER LEZEN"
"TID_SAVE_FROGS_EVENT_TITLE","EVENEMENT: RED DE KIKKERS"
"TID_SAVE_FROGS_COLLECTED","AANTAL KIKKERS GERED"
"TID_POWER_LEAGUE_SEASON_RESET_REWARD","Beloning voor reset van het seizoen:"
"TID_SHOP_OFFER_TITLE_46","BRAWL PASS-BUNDEL"
"TID_TROPHY_ROAD_BLING_DESCRIPTION","Krijg meer bling!"
"TID_BRAWL_PASS_INFO_TEXT_17","Verdien een heleboel extra beloningen, waaronder:\n\n<BRAWLER>, de nieuwe chromatische knokker!\n\nTIJDELIJKE EXCLUSIEVE SKIN: <SKIN_1>!\n\nTIJDELIJKE EXCLUSIEVE en COOLE REACTIES voor <BRAWLER>\n\nTIJDELIJKE EXCLUSIEVE SPRAY & PROFIELPICTOGRAM\n\nEXTRA MUNTEN, KRACHTPUNTEN & BLING!\n\nEXTRA OPDRACHTEN om je Brawl Pass sneller te vervolledigen!\n\nEXCLUSIEVE CHROMATISCHE NAAM gedurende het hele seizoen!"
"TID_RANKED_BLING_TUTORIAL","Je sterpuntenbeloning voor het seizoenseinde is automatisch omgezet naar bling.\n\nJe kunt bling gebruiken om het grootste deel van de cosmetische items te kopen!"
"TID_RANKED_BLING_TITLE","BLING"
"TID_VOLLEY_491","Een-op-een"
"TID_VOLLEY_492","Overwinningsweg"
"TID_VOLLEY_493","Smashland"
"TID_VOLLEY_494","Snelle aanval"
"TID_VOLLEY_495","Spelverdeler"
"TID_TAGTEAM_491","Fatale spiraal"
"TID_TAGTEAM_492","Ogen in de grond"
"TID_TAGTEAM_493","Brutaal knelpunt"
"TID_TAGTEAM_494","Duivelspas"
"TID_TAGTEAM_495","Gehavend slagveld"
"TID_CATALOG_PREVIEW_DESC_EMOTE_SKIN_INFO_SHORT","Bijbehorende skin: <SKIN>"
"TID_CATALOG_PREVIEW_DESC_EMOTE_SHORT","<SKIN_INFO>"
"TID_TOPDOG_WIN","JIJ BENT DE TOPDOG!"
"TID_RANKED_REWARD_TRACK_OVERLAY_PAST","Je hebt deze beloning al opgehaald!"
"TID_RANKED_SEASON_START_NOTIFICATION","LADDERBELONING VOOR SEIZOENSRESET: <AMOUNT> BLING!"
"TID_TOP_TOOL_TIP_COSMETIC_COINS_EXTRAINFO_MAX_REACHED","\n\n<cFF0000>Je hebt de maximale limiet bereikt. Geef bling uit voordat je er meer verzamelt.</c>"
"TID_RANKED_RANK_UP_REWARD_NOTIFICATION","LADDERBELONING: <AMOUNT> BLING voor het bereiken van <RANK> in <MODE>!"
"TID_ACCESSORY_BLOCKED_SHADOW_REALM","Kan niet worden gebruikt in het Schaduwrijk!"
"TID_LOGIN_CALENDAR_REWARD_HERO_LVL_UP_MATERIAL","MUNTEN"
"TID_LOGIN_CALENDAR_REWARD_DESC_HERO_LVL_UP_MATERIAL","Gebruik munten om je knokkers te upgraden."
"TID_LOGIN_CALENDAR_REWARD_POWER_POINTS","KRACHTPUNTEN"
"TID_LOGIN_CALENDAR_REWARD_DESC_POWER_POINTS","Gebruik krachtpunten om je knokkers te upgraden."
"TID_LOGIN_CALENDAR_REWARD_RECRUIT_TOKEN","CREDITS"
"TID_LOGIN_CALENDAR_REWARD_DESC_RECRUIT_TOKEN","Gebruik credits om je knokkers te upgraden."
"TID_LOGIN_CALENDAR_REWARD_BLING","BLING"
"TID_LOGIN_CALENDAR_REWARD_DESC_BLING","Gebruik bling om skins, reacties, sprays en profielpictogrammen te kopen."
"TID_LOGIN_CALENDAR_CHRONOS_REWARD_BRAWLER_CHOICE","KNOKKER"
"TID_LOGIN_CALENDAR_CHRONOS_REWARD_DESC_BRAWLER","Ontgrendel <HERONAME1>"
"TID_LOGIN_CALENDAR_CHRONOS_LEFT_TITLE","DAGELIJKSE CADEAUS"
"TID_LOGIN_CALENDAR_CHRONOS_LEFT_SUBTITLE","<cfffc11>Meld je <NUM> dagen lang elke dag aan</c> om je <cfffc11>GRATIS CADEAUS</c> op te halen!"
"TID_LOGIN_CALENDAR_WELCOME_POPUP_TITLE","KLAAR OM TE KNOKKEN!"
"TID_LOGIN_CALENDAR_WELCOME_POPUP_DESCRIPTION","Kies een knokker om mee te spelen"
"TID_LOGIN_CALENDAR_WELCOME_POPUP_BUTTON_BRAWL","SPELEN"
"TID_LOGIN_CALENDAR_WELCOME_POPUP_HERO_LEVEL_UPGRADE","+ <AMOUNT>"
"TID_BUTTON_QUESTS","OPDRACHTEN"
"TID_SKIN_INFO_CAMPAIGN_CURSED","VERVLOEKTE PIRATEN"
"TID_SKIN_INFO_CAMPAIGN_ENCHANTED","BETOVERD BOS"
"TID_SKIN_INFO_CAMPAIGN_GOLDENBALL","GOUDEN KNOKBAL"
"TID_SHOP_CURSED_SKINS","VERVLOEKTE PIRATEN"
"TID_SKIN_INFO_CAMPAIGN_CURSED_TITLE","VERVLOEKTE PIRATEN"
"TID_SKIN_SET_INFO","Set van skins"
"TID_SHOP_GOLDENBALL_SKINS","GOUDEN KNOKBAL"
"TID_SKIN_INFO_CAMPAIGN_GOLDENBALL_TITLE","GOUDEN KNOKBAL"
"TID_SHOP_ENCHANTED_SKINS","BETOVERD BOS"
"TID_SKIN_INFO_CAMPAIGN_ENCHANTED_TITLE","BETOVERD BOS"
"TID_LOGIN_CALENDAR_WELCOME_POPUP_WELCOME_BACK","WELKOM TERUG"
"TID_RANDOM_REWARD_WAIT","Volgende dagelijkse beloningen over <TIME>"
"TID_LOGIN_CALENDAR_WELCOME_POPUP_LEVEL_UP","GEÜPGRADED!"
"TID_RANDOM_REWARD_TAP_1","Tik, tik, tik, tik, tik"
"TID_RANDOM_REWARD_TAP_2","Tik, tik, tik, tik"
"TID_RANDOM_REWARD_TAP_3","Tik, tik, tik"
"TID_RANDOM_REWARD_TAP_4","Tik, tik"
"TID_RANDOM_REWARD_TAP_5","Tik om te openen!"
"TID_LOGIN_CALENDAR_RE_ENGAGEMENT_BLING_DESCRIPTION","GEBRUIK BLING OM DE MEESTE SKINS, REACTIES, SPRAYS EN PICTOGRAMMEN VOOR JE PROFIEL TE KOPEN!"
"TID_LOGIN_CALENDAR_RE_ENGAGEMENT_FINAL_REWARD_MESSAGE","TAL VAN BLING OP DAG <NUM>!"
"TID_WELCOME_BACK_MISSED_YOU","TERWIJL JE WEG WAS..."
"TID_PAYLOAD_16","Middenland"
"TID_PAYLOAD_17","Turbulente transport"
"TID_PAYLOAD_18","Baantjes trekken"
"TID_PAYLOAD_19","IJzeren centrum"
"TID_PAYLOAD_20","Intensieve drukte"
"TID_PAYLOAD_21","Retourvracht"
"TID_SKIN_INFO_CAMPAIGN_PHOENIX","VLAMMEND"
"TID_LOGIN_CALENDAR_STAR_REWARD_FINAL_REWARD_MESSAGE","GRATIS STARR-REACTIE OP DAG <NUM>"
"TID_WELCOME_BACK_NEW_BRAWLER","NIEUWE KNOKKER"
"TID_RANDOM_REWARD_TOOLTIP","Win gevechten om Starr Drops te verdienen. Elke Starr Drop kan zeldzamer worden. Hoe hoger de zeldzaamheid, hoe hoger de kans dat je een betere beloning krijgt!\n\nStarr Drops worden vernieuwd over <cDE9700><TIME></c>."
"TID_RANDOM_REWARDS_INFO_TITLE","WIN ELKE DAG GEVECHTEN OM STARR DROPS TE VERDIENEN"
"TID_TUTORIAL_RECRUIT_ROAD_MOVED","Je kunt nu hier het sterrenpad openen."
"TID_STAR_REWARD_UPGRADE_CHANCES","UPGRADEKANSEN"
"TID_SHARK_MEG_SKIN","MEGALODON"
"TID_SHARK_MEG_ONELINER_SKIN_SHOP","MEGALODON"
"TID_BIG_BRAIN_CORDELIUS_SKIN","GEPARASITEERDE CORDELIUS"
"TID_BIG_BRAIN_CORDELIUS_SKIN_SHOP","GEPARASITEERDE\nCORDELIUS"
"TID_POISON_SPORE_CORDELIUS_SKIN","GIFHOED-CORDELIUS"
"TID_POISON_SPORE_CORDELIUS_SKIN_SHOP","GIFHOED-\nCORDELIUS"
"TID_HAUNTED_HOUSE_8BIT_SKIN","SPOOKHUIS-8-BIT"
"TID_HAUNTED_HOUSE_8BIT_SHOP","SPOOKHUIS-\n8-BIT"
"TID_WOOD_SPIRIT_CHESTER_SKIN","BOSGEEST-CHESTER"
